Time, Frame, EyeTrackingEnabled, EyeCalibrationValid, EyeTrackingEnabledAndValid, EyeTrackingDataValid, EyeGazeOrigin.x, EyeGazeOrigin.y, EyeGazeOrigin.z, EyeGazeDirection.x, EyeGazeDirection.y, EyeGazeDirection.z, EyeHitInfo.point.x, EyeHitInfo.point.y, EyeHitInfo.point.z, EyeHitPosition.x, EyeHitPosition.y, EyeHitPosition.z, EyeHitNormal.x, EyeHitNormal.y, EyeHitNormal.z, HeadGazeOrigin.x, HeadGazeOrigin.y, HeadGazeOrigin.z, HeadGazeDirection.x, HeadGazeDirection.y, HeadGazeDirection.z, transform.position.x, transform.position.y, transform.position.z, Movement
04/27/2023 16:18:02.5099, 0, True, True, True, True, 1.331365, -0.2631961, -3.028908, 0.02056534, -0.07445452, 0.9970123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.337146, -0.2618028, -3.035969, 0.1038701, 0.02541748, 0.0008407913, 1.095068, -0.2612629, -2.13702, start
04/27/2023 16:18:02.5201, 1, True, True, True, True, 1.331365, -0.2631961, -3.028908, 0.02056534, -0.07445452, 0.9970123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.337113, -0.2620844, -3.035205, 0.1046239, 0.02506272, 0.001603322, 1.094263, -0.263281, -2.136465, start
04/27/2023 16:18:02.5404, 2, True, True, True, True, 1.331694, -0.2631743, -3.028803, 0.009379124, -0.07336927, 0.9972607, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.337086, -0.2626781, -3.034786, 0.1049369, 0.02484791, 0.002690923, 1.093654, -0.2650003, -2.136206, start
04/27/2023 16:18:02.5603, 3, True, True, True, True, 1.332002, -0.2631566, -3.028703, -0.001359832, -0.07235117, 0.9973782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.337071, -0.262482, -3.03427, 0.1058889, 0.02488049, 0.003016837, 1.093647, -0.2666869, -2.135695, start
04/27/2023 16:18:02.5800, 4, True, True, True, True, 1.332352, -0.2631285, -3.028621, -0.01177067, -0.07131115, 0.9973847, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.336864, -0.2625547, -3.034295, 0.1063335, 0.02508756, 0.002997314, 1.093818, -0.2675578, -2.135622, start
04/27/2023 16:18:02.5901, 5, True, True, True, True, 1.332684, -0.2630863, -3.028555, -0.02174878, -0.07027847, 0.9972903, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.336737, -0.2622938, -3.034601, 0.1063179, 0.02523712, 0.003018162, 1.093955, -0.2672877, -2.135856, start
04/27/2023 16:18:02.6104, 6, True, True, True, True, 1.333093, -0.2630233, -3.028508, -0.0313455, -0.06919263, 0.9971107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.336642, -0.2619283, -3.034925, 0.1057891, 0.02563215, 0.003662366, 1.094444, -0.2663331, -2.13602, start
04/27/2023 16:18:02.6203, 7, True, True, True, True, 1.333486, -0.2629548, -3.028475, -0.04050565, -0.06805457, 0.996859, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.336601, -0.2614713, -3.035265, 0.104314, 0.0260625, 0.004322133, 1.095035, -0.2635977, -2.136181, start
04/27/2023 16:18:02.6404, 8, True, True, True, True, 1.343371, -0.2613237, -3.027953, -0.2583063, -0.03503519, 0.9654276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.336608, -0.2611573, -3.035551, 0.1031866, 0.02673962, 0.004865379, 1.09614, -0.2615781, -2.136171, start
04/27/2023 16:18:02.6604, 9, True, True, True, True, 1.343358, -0.2613158, -3.027974, -0.2582493, -0.03499895, 0.9654442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.336504, -0.2613831, -3.035798, 0.1016099, 0.02788163, 0.005381872, 1.097962, -0.2592965, -2.135907, start
