Time, Frame, EyeTrackingEnabled, EyeCalibrationValid, EyeTrackingEnabledAndValid, EyeTrackingDataValid, EyeGazeOrigin.x, EyeGazeOrigin.y, EyeGazeOrigin.z, EyeGazeDirection.x, EyeGazeDirection.y, EyeGazeDirection.z, EyeHitInfo.point.x, EyeHitInfo.point.y, EyeHitInfo.point.z, EyeHitPosition.x, EyeHitPosition.y, EyeHitPosition.z, EyeHitNormal.x, EyeHitNormal.y, EyeHitNormal.z, HeadGazeOrigin.x, HeadGazeOrigin.y, HeadGazeOrigin.z, HeadGazeDirection.x, HeadGazeDirection.y, HeadGazeDirection.z, transform.position.x, transform.position.y, transform.position.z, Movement
04/28/2023 11:20:24.1958, 0, True, True, True, True, 1.515495, 0.000900139, -3.421647, -0.6646741, 0.1265098, 0.7363448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.73895, -0.006306894, -3.322658, -0.05574327, -0.2846355, 0.07832751, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.2114, 1, True, True, True, True, 1.524634, 0.0008438415, -3.416971, -0.6716424, 0.126185, 0.7300505, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.746842, -0.004562471, -3.31487, -0.05009156, -0.289396, 0.08317778, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.2215, 2, True, True, True, True, 1.533734, 0.0008104994, -3.412197, -0.6786696, 0.1256418, 0.7236171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.755152, -0.001187913, -3.307189, -0.05468115, -0.2957148, 0.08505045, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.2451, 3, True, True, True, True, 1.542832, 0.0007970094, -3.407337, -0.6856881, 0.124645, 0.717144, 0.7152941, 0.1512275, -2.541837, 0.7152941, 0.1512275, -2.541837, 0.9207051, 0.1230484, 0.370353, 1.76399, -0.0005034618, -3.299501, -0.05290722, -0.3021025, 0.08520757, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.2597, 4, True, True, True, True, 1.551921, 0.000873542, -3.402382, -0.6927435, 0.1235654, 0.7105196, 0.7163353, 0.149918, -2.545355, 0.7163352, 0.149918, -2.545355, 0.9900879, 0.03574881, 0.1358234, 1.772924, -7.4137E-05, -3.292221, -0.0464315, -0.3079267, 0.08483265, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.2699, 5, True, True, True, True, 1.560995, 0.001018843, -3.397332, -0.699778, 0.1226023, 0.7037609, 0.7164619, 0.1489825, -2.547992, 0.7164618, 0.1489825, -2.547992, 0.9988444, -0.02661867, -0.04001594, 1.781725, 0.002234749, -3.285281, -0.04246744, -0.3135486, 0.08347587, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.2899, 6, True, True, True, True, 1.570086, 0.001241612, -3.392158, -0.7067801, 0.1219768, 0.6968382, 0.7161886, 0.1486081, -2.550272, 0.7161886, 0.1486081, -2.550272, 0.9800548, -0.05155413, -0.1919243, 1.790434, 0.003994381, -3.277805, -0.0425599, -0.3192839, 0.0813035, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.3097, 7, True, True, True, True, 1.579128, 0.001530106, -3.386889, -0.7137961, 0.1217928, 0.6896823, 0.7155749, 0.1488755, -2.552508, 0.7155749, 0.1488755, -2.552508, 0.9394391, -0.03374666, -0.3410507, 1.798922, 0.005772246, -3.27039, -0.0433769, -0.3253421, 0.07775007, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.3201, 8, True, True, True, True, 1.588113, 0.001833013, -3.381547, -0.7207749, 0.1221649, 0.682319, 0.7146056, 0.1498846, -2.554644, 0.7146056, 0.1498846, -2.554644, 0.8747463, 0.03352635, -0.4834199, 1.806815, 0.007517761, -3.26266, -0.04666563, -0.3321471, 0.07263751, 0.7014827, 0.1493817, -2.547392, start
04/28/2023 11:20:24.3398, 9, True, True, True, True, 1.597058, 0.002143953, -3.376114, -0.7278493, 0.1227137, 0.6746678, 0.713084, 0.15118, -2.556729, 0.713084, 0.15118, -2.556729, 0.7734147, 0.1198853, -0.6224607, 1.814783, 0.008064475, -3.255091, -0.05029233, -0.3401517, 0.06711103, 0.7014827, 0.1493817, -2.547392, start
