Time, Frame, EyeTrackingEnabled, EyeCalibrationValid, EyeTrackingEnabledAndValid, EyeTrackingDataValid, EyeGazeOrigin.x, EyeGazeOrigin.y, EyeGazeOrigin.z, EyeGazeDirection.x, EyeGazeDirection.y, EyeGazeDirection.z, EyeHitInfo.point.x, EyeHitInfo.point.y, EyeHitInfo.point.z, EyeHitPosition.x, EyeHitPosition.y, EyeHitPosition.z, EyeHitNormal.x, EyeHitNormal.y, EyeHitNormal.z, HeadGazeOrigin.x, HeadGazeOrigin.y, HeadGazeOrigin.z, HeadGazeDirection.x, HeadGazeDirection.y, HeadGazeDirection.z, transform.position.x, transform.position.y, transform.position.z, Movement
04/28/2023 15:56:13.1281, 0, True, True, True, True, 1.313591, -0.2983514, -2.858047, -0.03522047, -0.1048124, 0.9938682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318411, -0.2963621, -2.866709, 0.07177992, 0.0263627, 0.0164327, 1.545055, -0.5220986, -1.939222, start
04/28/2023 15:56:13.1382, 1, True, True, True, True, 1.313591, -0.2983514, -2.858047, -0.03522047, -0.1048124, 0.9938682, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318394, -0.2963114, -2.866689, 0.07165716, 0.02635399, 0.01641356, 1.545014, -0.5218264, -1.939142, start
04/28/2023 15:56:13.1583, 2, True, True, True, True, 1.313593, -0.2983367, -2.858042, -0.02895594, -0.1016834, 0.9943954, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318385, -0.2962232, -2.866649, 0.07149506, 0.02632281, 0.01635852, 1.544924, -0.5214589, -1.939015, start
04/28/2023 15:56:13.1786, 3, True, True, True, True, 1.313592, -0.2983266, -2.85804, -0.02293515, -0.09868871, 0.9948541, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318342, -0.2963266, -2.866628, 0.07127615, 0.02635478, 0.01632175, 1.544925, -0.5211657, -1.938909, start
04/28/2023 15:56:13.1886, 4, True, True, True, True, 1.313678, -0.2983084, -2.858042, -0.01720164, -0.09578998, 0.9952529, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318294, -0.2964208, -2.866712, 0.07150555, 0.0263941, 0.01667546, 1.545068, -0.5215449, -1.939108, start
04/28/2023 15:56:13.2082, 5, True, True, True, True, 1.313764, -0.2982965, -2.858044, -0.01169262, -0.09300102, 0.9955974, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318328, -0.2962285, -2.866761, 0.07123372, 0.02625627, 0.01681059, 1.54488, -0.5207981, -1.938968, start
04/28/2023 15:56:13.2284, 6, True, True, True, True, 1.313881, -0.298281, -2.858042, -0.006383252, -0.09033068, 0.9958914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318423, -0.2963698, -2.866767, 0.07119066, 0.02626394, 0.01650682, 1.544891, -0.5209802, -1.938964, start
04/28/2023 15:56:13.2382, 7, True, True, True, True, 1.31399, -0.2982697, -2.858041, -0.001276767, -0.0877557, 0.9961413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318412, -0.2962697, -2.866678, 0.07115988, 0.0263791, 0.0161244, 1.544975, -0.5209689, -1.93892, start
04/28/2023 15:56:13.2582, 8, True, True, True, True, 1.317028, -0.2979743, -2.857927, 0.1223866, -0.02448851, 0.9921803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318352, -0.2963605, -2.866678, 0.07106733, 0.02647241, 0.0161258, 1.54509, -0.5208806, -1.938919, start
04/28/2023 15:56:13.2788, 9, True, True, True, True, 1.317026, -0.2979769, -2.857929, 0.1223963, -0.0244885, 0.9921791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318327, -0.2963327, -2.866602, 0.07101113, 0.02657849, 0.01626905, 1.545309, -0.5206839, -1.938862, start
04/28/2023 15:56:13.2884, 10, True, True, True, True, 1.317, -0.2979805, -2.857929, 0.1224752, -0.02450433, 0.992169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318268, -0.2963983, -2.866661, 0.07101575, 0.02670159, 0.01628851, 1.545487, -0.5207431, -1.938977, start
04/28/2023 15:56:13.3083, 11, True, True, True, True, 1.316975, -0.2979863, -2.857931, 0.1225513, -0.02452245, 0.9921592, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318227, -0.2964094, -2.866611, 0.07115856, 0.02690011, 0.01623242, 1.545806, -0.521032, -1.939083, start
04/28/2023 15:56:13.3282, 12, True, True, True, True, 1.316965, -0.2979858, -2.857934, 0.1226311, -0.02453876, 0.9921489, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318181, -0.2964644, -2.866683, 0.07120014, 0.02690597, 0.01628212, 1.545788, -0.5211446, -1.939175, start
04/28/2023 15:56:13.3382, 13, True, True, True, True, 1.316957, -0.2979875, -2.857938, 0.1226993, -0.02455047, 0.9921402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318133, -0.2963139, -2.866704, 0.07125693, 0.02690728, 0.01640499, 1.545782, -0.5210509, -1.93922, start
04/28/2023 15:56:13.3581, 14, True, True, True, True, 1.316958, -0.2979882, -2.857941, 0.1227508, -0.0245631, 0.9921335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318189, -0.2963701, -2.866709, 0.07122487, 0.02681033, 0.01661079, 1.54572, -0.5209701, -1.939163, start
04/28/2023 15:56:13.3783, 15, True, True, True, True, 1.316958, -0.2979874, -2.857946, 0.122791, -0.02458054, 0.9921281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318187, -0.2963454, -2.866699, 0.07128582, 0.02672174, 0.01670732, 1.545584, -0.521026, -1.939139, start
04/28/2023 15:56:13.3885, 16, True, True, True, True, 1.316974, -0.2979875, -2.857952, 0.1223682, -0.02504033, 0.9921688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318167, -0.2963051, -2.866739, 0.07135411, 0.02660595, 0.01675398, 1.545362, -0.5211017, -1.939158, start
04/28/2023 15:56:13.4084, 17, True, True, True, True, 1.316992, -0.2979855, -2.857955, 0.1219625, -0.02548232, 0.9922075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318171, -0.2963069, -2.866781, 0.07134106, 0.02651701, 0.01666527, 1.54517, -0.52112, -1.939157, start
04/28/2023 15:56:13.4285, 18, True, True, True, True, 1.31701, -0.297988, -2.857958, 0.1215726, -0.02590556, 0.9922444, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318219, -0.2962556, -2.866701, 0.07134701, 0.02651993, 0.01664628, 1.545217, -0.5210873, -1.93908, start
04/28/2023 15:56:13.4380, 19, True, True, True, True, 1.317014, -0.2980151, -2.857971, 0.1188171, -0.0298605, 0.992467, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318247, -0.2963655, -2.866708, 0.07133476, 0.026515, 0.01665992, 1.54524, -0.5211691, -1.93908, start
04/28/2023 15:56:13.4583, 20, True, True, True, True, 1.316926, -0.2980454, -2.857984, 0.1161697, -0.03366471, 0.9926587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318217, -0.2963108, -2.866717, 0.07125949, 0.02658965, 0.01658743, 1.545326, -0.5209982, -1.939089, start
04/28/2023 15:56:13.4782, 21, True, True, True, True, 1.316842, -0.2980708, -2.857993, 0.1136348, -0.03731085, 0.9928218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318275, -0.2963896, -2.866801, 0.07107623, 0.02659278, 0.01666056, 1.545409, -0.5207046, -1.939089, start
04/28/2023 15:56:13.4981, 22, True, True, True, True, 1.316748, -0.2981001, -2.858004, 0.1112013, -0.04085954, 0.9929576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318306, -0.2962979, -2.866736, 0.0709992, 0.02672365, 0.01652122, 1.54564, -0.5205169, -1.93905, start
04/28/2023 15:56:13.5082, 23, True, True, True, True, 1.31666, -0.2981244, -2.858014, 0.1088701, -0.04426031, 0.9930701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318321, -0.296416, -2.866804, 0.07098047, 0.02674624, 0.01655415, 1.545708, -0.5205854, -1.939119, start
04/28/2023 15:56:13.5284, 24, True, True, True, True, 1.316603, -0.2981495, -2.858022, 0.1066184, -0.04756959, 0.9931614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318352, -0.2963203, -2.866773, 0.07090403, 0.02684881, 0.01640049, 1.545882, -0.5204024, -1.939102, start
04/28/2023 15:56:13.5382, 25, True, True, True, True, 1.315247, -0.2987856, -2.858222, 0.05222038, -0.126838, 0.990548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31837, -0.2963712, -2.86674, 0.07094907, 0.02691038, 0.01638744, 1.546013, -0.5205391, -1.939117, start
04/28/2023 15:56:13.5582, 26, True, True, True, True, 1.315298, -0.2987835, -2.858222, 0.05215691, -0.126879, 0.990546, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318373, -0.2964039, -2.866744, 0.07098783, 0.02698976, 0.01637155, 1.546161, -0.5206461, -1.939175, start
04/28/2023 15:56:13.5783, 27, True, True, True, True, 1.315348, -0.29878, -2.858223, 0.05209371, -0.1269243, 0.9905435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318428, -0.2963584, -2.866729, 0.07106525, 0.0269715, 0.0164001, 1.546192, -0.5207348, -1.939187, start
04/28/2023 15:56:13.5883, 28, True, True, True, True, 1.315445, -0.2987766, -2.858224, 0.05197341, -0.1269723, 0.9905437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318442, -0.2963208, -2.866738, 0.07114242, 0.02693524, 0.01651043, 1.546175, -0.5207995, -1.939212, start
04/28/2023 15:56:13.6085, 29, True, True, True, True, 1.315538, -0.298775, -2.858227, 0.05184933, -0.1270244, 0.9905435, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318468, -0.2963338, -2.866721, 0.07103571, 0.02686269, 0.01652768, 1.546067, -0.5206102, -1.939114, start
04/28/2023 15:56:13.6283, 30, True, True, True, True, 1.315614, -0.2987759, -2.858227, 0.05174142, -0.1270781, 0.9905422, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318439, -0.2963757, -2.866754, 0.07110684, 0.0267558, 0.01649192, 1.545827, -0.520806, -1.939132, start
04/28/2023 15:56:13.6381, 31, True, True, True, True, 1.315687, -0.2987784, -2.858227, 0.05163441, -0.1271419, 0.9905397, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318532, -0.2964285, -2.866705, 0.07100218, 0.02665133, 0.01656525, 1.545744, -0.5206398, -1.938987, start
04/28/2023 15:56:13.6587, 32, True, True, True, True, 1.315747, -0.2987739, -2.858227, 0.05154356, -0.1272052, 0.9905363, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318552, -0.2964665, -2.866715, 0.07115685, 0.02659695, 0.01671683, 1.545713, -0.5209095, -1.939041, start
04/28/2023 15:56:13.6784, 33, True, True, True, True, 1.315805, -0.2987647, -2.858227, 0.05145427, -0.1272561, 0.9905344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318636, -0.2962944, -2.866726, 0.07094837, 0.02649363, 0.01650652, 1.545531, -0.5204379, -1.938914, start
04/28/2023 15:56:13.6884, 34, True, True, True, True, 1.315858, -0.2987612, -2.858225, 0.05139947, -0.1273224, 0.9905287, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318643, -0.2961791, -2.866731, 0.07081217, 0.02649952, 0.01599546, 1.545385, -0.5202724, -1.938869, start
04/28/2023 15:56:13.7085, 35, True, True, True, True, 1.315909, -0.2987666, -2.858222, 0.05136027, -0.1274157, 0.9905187, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318642, -0.2963081, -2.866652, 0.07087218, 0.02670401, 0.01587971, 1.545734, -0.5205482, -1.938912, start
04/28/2023 15:56:13.7297, 36, True, True, True, True, 1.315951, -0.2987699, -2.858217, 0.05133611, -0.1275631, 0.990501, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318635, -0.296519, -2.866648, 0.07125447, 0.02684818, 0.01619404, 1.546106, -0.5213397, -1.939141, start
04/28/2023 15:56:13.7386, 37, True, True, True, True, 1.31599, -0.2987719, -2.858211, 0.05131718, -0.1277262, 0.990481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318638, -0.2964643, -2.866599, 0.07168263, 0.02697524, 0.01634033, 1.546404, -0.5220193, -1.939343, start
04/28/2023 15:56:13.7581, 38, True, True, True, True, 1.316017, -0.2987761, -2.858205, 0.05132791, -0.1279037, 0.9904575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318608, -0.2964265, -2.86658, 0.07195227, 0.02702752, 0.01629511, 1.546465, -0.5225009, -1.939472, start
04/28/2023 15:56:13.7787, 39, True, True, True, True, 1.316042, -0.2987819, -2.858201, 0.05133578, -0.1280772, 0.9904346, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318575, -0.2964784, -2.866574, 0.07209531, 0.02710175, 0.0162931, 1.546574, -0.5228166, -1.939566, start
04/28/2023 15:56:13.7887, 40, True, True, True, True, 1.316073, -0.2987894, -2.858198, 0.05133962, -0.1282477, 0.9904124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318535, -0.2965219, -2.866604, 0.072137, 0.0270644, 0.01639757, 1.546498, -0.5228983, -1.939597, start
04/28/2023 15:56:13.8098, 41, True, True, True, True, 1.316104, -0.2987942, -2.858195, 0.05134263, -0.1284139, 0.9903908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318485, -0.2965656, -2.866653, 0.0723132, 0.02699899, 0.01650887, 1.546363, -0.5232306, -1.939695, start
04/28/2023 15:56:13.8286, 42, True, True, True, True, 1.316167, -0.2987991, -2.858197, 0.05128692, -0.1285408, 0.9903771, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318478, -0.2965066, -2.86663, 0.07234854, 0.02698155, 0.01664909, 1.546369, -0.5231823, -1.939677, start
04/28/2023 15:56:13.8380, 43, True, True, True, True, 1.316229, -0.2988006, -2.858199, 0.05122737, -0.1286501, 0.9903661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318422, -0.2965225, -2.866743, 0.07239269, 0.0269138, 0.01682983, 1.546244, -0.5232121, -1.939778, start
04/28/2023 15:56:13.8583, 44, True, True, True, True, 1.316328, -0.2987964, -2.858199, 0.05110909, -0.1287142, 0.9903639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318422, -0.2964465, -2.86673, 0.07223278, 0.02684168, 0.01680331, 1.546096, -0.5228522, -1.939659, start
04/28/2023 15:56:13.8784, 45, True, True, True, True, 1.316423, -0.2987983, -2.858199, 0.05100125, -0.1287654, 0.9903628, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318436, -0.296321, -2.866676, 0.07206799, 0.02681326, 0.01667381, 1.546012, -0.5224724, -1.939519, start
04/28/2023 15:56:13.8894, 46, True, True, True, True, 1.316488, -0.2988051, -2.8582, 0.05095569, -0.1288234, 0.9903576, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318436, -0.296472, -2.866658, 0.07193846, 0.02688639, 0.0166862, 1.54615, -0.5223718, -1.939473, start
04/28/2023 15:56:13.9083, 47, True, True, True, True, 1.316552, -0.2988054, -2.858197, 0.05091907, -0.1288661, 0.9903539, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318446, -0.2965848, -2.866714, 0.07222553, 0.02690516, 0.01691013, 1.546273, -0.5229302, -1.939666, start
04/28/2023 15:56:13.9285, 48, True, True, True, True, 1.316578, -0.2988037, -2.858196, 0.05091769, -0.1288851, 0.9903515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318482, -0.2964299, -2.86663, 0.07206485, 0.02699496, 0.01694145, 1.546485, -0.5224568, -1.939547, start
04/28/2023 15:56:13.9386, 49, True, True, True, True, 1.316606, -0.298807, -2.858193, 0.05092458, -0.1288796, 0.9903519, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318389, -0.2963781, -2.866689, 0.07191205, 0.02703399, 0.01672684, 1.546394, -0.5222031, -1.939557, start
04/28/2023 15:56:13.9585, 50, True, True, True, True, 1.316631, -0.2988121, -2.858188, 0.05094318, -0.1288773, 0.9903512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318436, -0.2965048, -2.866622, 0.07161116, 0.02715181, 0.0165483, 1.546599, -0.521832, -1.939408, start
04/28/2023 15:56:13.9785, 51, True, True, True, True, 1.316654, -0.2988173, -2.858179, 0.05096199, -0.1288822, 0.9903496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.318441, -0.2965524, -2.866584, 0.07178611, 0.02722474, 0.01648613, 1.546726, -0.5222274, -1.939484, start
04/28/2023 15:56:13.9884, 52, True, True, True, True, 1.316638, -0.2988223, -2.858171, 0.05102783, -0.1289013, 0.9903437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.31845, -0.2965594, -2.866502, 0.07187825, 0.0272304, 0.01656934, 1.546774, -0.5223728, -1.939445, start
