,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError
0,0,05/04/2023 10:11:00.537750,212,True,True,True,True,1.308622,-0.2635398,-3.004385,-0.01764009,-0.1815628,0.9832212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.319868,0.7803539,2.915384,1.304074,-0.2611592,-3.013578,0.08704514,0.002729703,0.0004323974,0.9962006,9.987103,0.3207881,0.07776707,1.315869,-1.021989,-1.004111,-8.6613e-08,-0.4008001,2.111,0.9999847,0.001336724,-0.005363387,-0.0003862943,0.9848459,0.1734312,0.005513939,-0.1734265,0.9848314,static,-1.02784,-10.46244,-2.35081e-06,-10.75037,-0.8204405703131143,-0.3885501306503265,1.0674052267027856,10.39424984676004
1,1,05/04/2023 10:11:00.557459,213,True,True,True,True,1.308347,-0.2635127,-3.004359,-0.01758703,-0.1773398,0.9839925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.317517,0.7777919,2.917014,1.304006,-0.261292,-3.013483,0.08655101,0.00235454,0.0004843669,0.9962446,9.930279,0.2777635,0.0798445,1.31431,-1.020128,-1.003253,-1.480803e-07,-0.4008001,2.111,0.9999884,0.001372671,-0.004607549,-0.0005575201,0.9850174,0.1724542,0.00477524,-0.1724496,0.9850068,static,-1.023946,-10.21644,-4.019127e-06,-10.75037,-0.8150576810144878,-0.1518544811296447,1.1547893423019293,10.629809202214872
2,2,05/04/2023 10:11:00.577822,214,True,True,True,True,1.308085,-0.2634789,-3.004333,-0.0175568,-0.1733009,0.9847124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.314668,0.7773293,2.918488,1.304011,-0.2614323,-3.013532,0.08633447,0.001912409,0.0006995813,0.9962642,9.905354,0.2286575,0.1002814,1.312736,-1.019394,-1.002965,-7.404014e-08,-0.4008,2.111,0.9999917,0.001724149,-0.003689734,-0.001063722,0.9850917,0.1720265,0.003931326,-0.1720212,0.9850854,static,-1.021439,-9.981352,-2.009563e-06,-10.75037,-0.8110507501226902,0.0743514019710467,1.2785625560593419,10.855063034817139
3,3,05/04/2023 10:11:00.587588,215,True,True,True,True,1.307693,-0.2634523,-3.004313,-0.01742427,-0.1695522,0.9853671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.313179,0.7785063,2.918832,1.304044,-0.261233,-3.013522,0.08657859,0.00164884,0.0006554031,0.9962435,9.933472,0.1976998,0.0925677,1.311628,-1.020181,-1.003323,-1.962762e-07,-0.4008003,2.111,0.9999937,0.00159139,-0.003171803,-0.001020374,0.9850074,0.1725089,0.003398779,-0.1725046,0.9850029,static,-1.013057,-9.763283,-5.327239e-06,-10.75038,-0.8016618886029396,0.2841338461122031,1.414437760770286,11.063595666076187
4,4,05/04/2023 10:11:00.607289,216,True,True,True,True,1.307314,-0.2634316,-3.004295,-0.0173039,-0.1660046,0.9859732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.312181,0.7775255,2.91957,1.304051,-0.261232,-3.013546,0.08638579,0.001487295,0.0006979179,0.9962605,9.911303,0.1793803,0.09582954,1.311016,-1.019402,-1.003051,-1.501758e-08,-0.4007999,2.111,0.9999946,0.001647578,-0.002842886,-0.001133654,0.985074,0.1721275,0.003084046,-0.1721234,0.9850706,static,-1.005442,-9.557043,-4.076001e-07,-10.75037,-0.7930748163578818,0.4825392357160538,1.5604301088663493,11.260871054925616
5,5,05/04/2023 10:11:00.627369,217,True,True,True,True,1.306926,-0.2634189,-3.004285,-0.01712408,-0.1628563,0.9865012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.311493,0.7793911,2.919484,1.303976,-0.2613938,-3.013664,0.08678856,0.001336818,0.0004255884,0.9962257,9.957689,0.1592415,0.06282619,1.310002,-1.021192,-1.00378,-9.278301e-08,-0.4008,2.111,0.9999961,0.001080005,-0.002589672,-0.0006159233,0.9849351,0.1729231,0.002737417,-0.1729208,0.9849319,static,-0.9944631,-9.374114,-2.518273e-06,-10.75037,-0.7815019062259126,0.6584860599667479,1.6979494769117256,11.435590841334381
6,6,05/04/2023 10:11:00.647521,218,True,True,True,True,1.306556,-0.2634158,-3.004274,-0.01695098,-0.1599202,0.9869844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.311253,0.7872536,2.91749,1.30389,-0.261497,-3.0137,0.08825058,0.001255126,0.0001047348,0.9960976,10.12592,0.1466085,0.02503769,1.309202,-1.027193,-1.006054,-2.2116e-07,-0.4008,2.111,0.9999968,0.0004301833,-0.00248197,1.287897e-05,0.9844236,0.1758126,0.002518941,-0.1758121,0.9844205,static,-0.9839304,-9.203597,-6.002622e-06,-10.75037,-0.7704344650484817,0.8224922944722124,1.8331977343660066,11.598478421867823
7,7,05/04/2023 10:11:00.657453,219,True,True,True,True,1.306556,-0.2634158,-3.004274,-0.01695098,-0.1599202,0.9869844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.31109,0.7945756,2.915607,1.303968,-0.2616982,-3.013678,0.08936156,0.001257292,0.0003422222,0.9959984,10.2537,0.1493889,0.0527765,1.309567,-1.03187,-1.007745,-4.195317e-08,-0.4007999,2.111,0.9999966,0.0009064125,-0.002443358,-0.0004569984,0.9840288,0.1780088,0.002565684,-0.1780071,0.9840258,static,-0.9839304,-9.203597,-1.138674e-06,-10.75037,-0.7704344650484817,0.8224922944722124,1.8332003449766554,11.598478744956388
8,8,05/04/2023 10:11:00.677419,220,True,True,True,True,1.306556,-0.2634158,-3.004274,-0.01695098,-0.1599202,0.9869844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.311537,0.7997478,2.914028,1.304042,-0.261497,-3.013699,0.09020888,0.001349788,0.0005055288,0.9959219,10.35116,0.1619044,0.07283144,1.310216,-1.035079,-1.009081,-6.498885e-08,-0.4008001,2.111,0.9999959,0.00125046,-0.00259736,-0.0007634084,0.9837242,0.1796833,0.002779773,-0.1796806,0.9837211,static,-0.9839304,-9.203597,-1.763897e-06,-10.75037,-0.7704344650484817,0.8224922944722124,1.8332000094022773,11.598478703425732
9,9,05/04/2023 10:11:00.687359,221,True,True,True,True,1.306454,-0.2634989,-3.004292,-0.01659356,-0.1705036,0.9852173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.312454,0.800626,2.913381,1.304139,-0.2613658,-3.013675,0.09040054,0.001482234,0.000474842,0.9959044,10.37321,0.1769674,0.07070024,1.310825,-1.03572,-1.009357,-2.04891e-07,-0.4008,2.111,0.9999952,0.001213784,-0.002866474,-0.0006778049,0.983655,0.180062,0.003038178,-0.1800592,0.9836512,static,-0.9649153,-9.818464,-5.561056e-06,-10.75037,-0.7569657867267833,0.2306559006803006,1.3414542844036756,11.007084928111492
