,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.point.x,EyeHitInfo.point.y,EyeHitInfo.point.z,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError
0,0,05/04/2023 10:12:23.709667,206,True,True,True,True,1.297956,-0.2621777,-3.010289,-0.2879663,0.1008807,0.9523122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338232,0.5925366,2.957859,1.306883,-0.2621697,-3.018976,0.05718876,0.004588245,-0.004532313,0.9983426,6.559187,0.4984699,359.5083,0.7456371,-0.07572203,-1.066025,-0.5795999,0.4007999,1.915,0.9999168,-0.008524809,-0.009679675,0.009574392,0.9934178,0.1141463,0.008642886,-0.1142295,0.9934168,moving,-16.82461,6.046926,-16.83913,11.82109,-15.49787601882449,15.62220402755296,5.77418225632825,4.030810103748259
1,1,05/04/2023 10:12:23.729165,207,True,True,True,True,1.297909,-0.2621865,-3.01029,-0.2870132,0.1002461,0.9526669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338041,0.5931617,2.957951,1.306808,-0.2621547,-3.019138,0.05734756,0.004550373,-0.004656672,0.9983332,6.577457,0.493216,359.4938,0.7493544,-0.0810493,-1.066128,-0.5757664,0.3981489,1.915,0.9999152,-0.008775913,-0.009619674,0.009819726,0.9933791,0.1144616,0.008551478,-0.1145463,0.9933811,moving,-16.76616,6.006949,-16.734,11.74508,-15.443418717853865,15.58327614831158,5.738221121459246,4.049364112887333
2,2,05/04/2023 10:12:23.738811,208,True,True,True,True,1.297865,-0.2621927,-3.010292,-0.2860948,0.09964301,0.9530064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337874,0.5928584,2.958051,1.306834,-0.2622415,-3.019084,0.05724639,0.004529845,-0.004575781,0.9983394,6.565795,0.4914321,359.503,0.7536347,-0.08231936,-1.066503,-0.5717694,0.3953851,1.915,0.9999171,-0.00861773,-0.009568537,0.009654999,0.9934038,0.1142612,0.008520749,-0.1143441,0.9934046,moving,-16.70988,5.968958,-16.62426,11.66579,-15.390979643430128,15.546276401645866,5.697475372533346,4.071750870480608
3,3,05/04/2023 10:12:23.758794,209,True,True,True,True,1.29785,-0.2622025,-3.010291,-0.2849919,0.0989027,0.9534138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.338011,0.5921134,2.958235,1.306848,-0.2621192,-3.019183,0.05713177,0.004553571,-0.004556783,0.9983459,6.552642,0.4943407,359.5053,0.7574042,-0.08419753,-1.067212,-0.5677504,0.392606,1.915,0.999917,-0.008578183,-0.009612752,0.009618797,0.9934304,0.114033,0.008571403,-0.114116,0.9934305,moving,-16.64232,5.922414,-16.5138,11.58601,-15.32803701600178,15.500957712174872,5.665054019302552,4.090580575332019
4,4,05/04/2023 10:12:23.778733,210,True,True,True,True,1.297835,-0.2622119,-3.010293,-0.2839372,0.09817572,0.9538035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.33827,0.5914243,2.958161,1.306819,-0.2622024,-3.019096,0.05696947,0.004613692,-0.004476496,0.9983553,6.534002,0.5018632,359.5148,0.7611924,-0.08520079,-1.067449,-0.5641491,0.3901155,1.915,0.9999173,-0.008412589,-0.009722256,0.009463948,0.9934689,0.1137102,0.008702162,-0.1137929,0.9934664,moving,-16.57771,5.876802,-16.4147,11.51449,-15.26785053690597,15.456559000816146,5.640044170522427,4.105505047883228
5,5,05/04/2023 10:12:23.789290,211,True,True,True,True,1.297859,-0.2622257,-3.010289,-0.2827226,0.0973766,0.9542462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337883,0.5923824,2.958214,1.306772,-0.2621457,-3.019189,0.0571079,0.004565505,-0.0044111,0.998348,6.549835,0.4966853,359.5221,0.764813,-0.08723128,-1.067992,-0.5602209,0.3873991,1.915,0.9999194,-0.008286171,-0.009619743,0.009329076,0.9934385,0.1139868,0.008612107,-0.1140674,0.9934357,moving,-16.50342,5.826612,-16.3065,11.43643,-15.198630879618726,15.40767903089832,5.613273152049881,4.1228864710667485
6,6,05/04/2023 10:12:23.808943,212,True,True,True,True,1.297883,-0.2622403,-3.010291,-0.2815599,0.09659926,0.9546688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337503,0.5928164,2.958248,1.306846,-0.2622931,-3.019094,0.05704584,0.004525142,-0.004161217,0.9983527,6.542571,0.4937084,359.5506,0.7681416,-0.09021409,-1.068437,-0.5563856,0.384747,1.915,0.9999244,-0.007792445,-0.009510135,0.008825007,0.9934569,0.1138661,0.008560614,-0.1139414,0.9934506,moving,-16.43234,5.777874,-16.20074,11.36018,-15.132407195347607,15.360221472942788,5.587108271515418,4.140249601987634
7,7,05/04/2023 10:12:23.829258,213,True,True,True,True,1.29791,-0.2622471,-3.010287,-0.280231,0.095723,0.9551479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337229,0.5935339,2.958355,1.306874,-0.2623227,-3.019205,0.05720333,0.004459343,-0.004263726,0.9983436,6.560665,0.4853922,359.5384,0.7715921,-0.09285992,-1.068858,-0.5525571,0.3820995,1.915,0.9999239,-0.008003148,-0.009391712,0.009023506,0.9934192,0.1141791,0.008416114,-0.1142552,0.9934158,moving,-16.35117,5.722959,-16.09505,11.28403,-15.056777645429705,15.306740724058962,5.566965791294302,4.154541015771048
8,8,05/04/2023 10:12:23.838793,214,True,True,True,True,1.297934,-0.2622472,-3.010283,-0.2789634,0.09493729,0.9555974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.336708,0.5941391,2.958516,1.306886,-0.2621267,-3.019263,0.05742257,0.004341091,-0.004464086,0.9983306,6.58587,0.4703566,359.5147,0.7752982,-0.09836244,-1.069125,-0.548398,0.3792235,1.915,0.9999225,-0.008414714,-0.009180366,0.009411821,0.9933654,0.1146147,0.008155009,-0.1146922,0.9933676,moving,-16.27388,5.67364,-15.98011,11.20124,-14.984742289670994,15.258675413810863,5.535400850245627,4.177743292258649
9,9,05/04/2023 10:12:23.858613,215,True,True,True,True,1.297965,-0.2622555,-3.010278,-0.2775355,0.09406358,0.9560994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.336227,0.5884311,2.959648,1.306867,-0.2619733,-3.019063,0.05660013,0.004231883,-0.004717121,0.998377,6.491536,0.4564877,359.4845,0.7790294,-0.1001453,-1.069599,-0.5444822,0.3765156,1.915,0.9999197,-0.008939879,-0.008984006,0.009897979,0.9935483,0.1129766,0.007916048,-0.1130564,0.993557,moving,-16.1869,5.618828,-15.87177,11.12326,-14.903670847961868,15.205248260819133,5.513445253153785,4.195216815570103
