,Unnamed: 0,Unnamed: 0.1,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,0,0,05/04/2023 16:08:04.470884,218,True,True,True,True,Eyes,2.123944,0.1550739,-3.019161,-0.9459116,-0.01708563,0.3239743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.498394,0.1828557,3.561407,2.037234,0.1577164,-3.284364,0.0428693,-0.4583507,0.01635681,0.8875862,5.226589,305.3493,359.4095,0.5955985,0.04223438,-0.802171,0.0,0.0,0.0,0.8717735,0.1384856,-2.609427,-0.01149303,0.06503661,1.341348,0.5792942,-0.01026219,0.8150539,-0.0683345,0.9957893,0.06110609,-0.8122492,-0.09109471,0.5761538,moving,-71.09369,-3.018847,-0.4909136,2.77587,-60.26133085482576,0.0123181166492294,70.8401777277449,59.834271097991525,70.67963038593237
1,1,1,05/04/2023 16:08:04.483367,219,True,True,True,True,Eyes,2.119274,0.154972,-3.030473,-0.9426895,-0.01945183,0.3331038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.482386,0.1876291,3.569209,2.030246,0.1558162,-3.29025,0.04316143,-0.4552457,0.01699823,0.8891566,5.291984,305.7513,359.4781,0.593543,0.04220943,-0.8036944,0.0,0.0,0.0,0.8742971,0.1361741,-2.609343,-0.01181048,0.06374916,1.339807,0.5849248,-0.009069935,0.8110369,-0.06952628,0.9956962,0.0612778,-0.8081022,-0.09223128,0.5817768,moving,-70.53889,-3.342032,-0.5050527,2.724127,-59.766427595710674,-0.2474011132311719,70.29606427088328,59.33582841637665,70.11763176891432
2,2,2,05/04/2023 16:08:04.503234,220,True,True,True,True,Eyes,2.114491,0.1547795,-3.041543,-0.9394201,-0.02172416,0.3420788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.467942,0.1907915,3.576063,2.02307,0.1542221,-3.295889,0.04336903,-0.4523571,0.01665964,0.8906261,5.297283,306.1217,359.4498,0.5914651,0.04217679,-0.8052266,0.0,0.0,0.0,0.8769485,0.1337454,-2.609256,-0.01148972,0.06373353,1.338213,0.590191,-0.009561561,0.8072071,-0.06891159,0.9956832,0.06217896,-0.804317,-0.09232338,0.5869844,moving,-69.9915,-3.633763,-0.4919218,2.726699,-59.28001547101276,-0.4813093793740459,69.790019679259,58.875557536501546,69.59206619435899
3,3,3,05/04/2023 16:08:04.513169,221,True,True,True,True,Eyes,2.109589,0.1545077,-3.052367,-0.9361285,-0.02399306,0.3508387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.453773,0.1951002,3.582235,2.015621,0.1518434,-3.301233,0.04364804,-0.4495139,0.01609871,0.8920611,5.298621,306.4845,359.3947,0.589368,0.04213508,-0.8067648,0.0,0.0,0.0,0.8794246,0.1314772,-2.609174,-0.01056099,0.06524548,1.336957,0.5953562,-0.01051874,0.8033931,-0.06796287,0.9956714,0.06340025,-0.8005824,-0.09234662,0.5920642,moving,-69.4552,-3.912236,-0.4525857,2.793903,-58.80396727101662,-0.7044294907672493,69.32772230876971,58.456155034883494,69.10680727587186
4,4,4,05/04/2023 16:08:04.533107,222,True,True,True,True,Eyes,2.104575,0.1541669,-3.062959,-0.9327921,-0.02619467,0.3594618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.440554,0.2005831,3.587591,2.007923,0.1496534,-3.306371,0.04409385,-0.4467854,0.01573123,0.8934153,5.327312,306.8317,359.3502,0.5872557,0.0420834,-0.8083065,0.0,0.0,0.0,0.8819834,0.1291334,-2.609089,-0.008019269,0.06813756,1.335577,0.6002706,-0.01129192,0.7997171,-0.06751002,0.9956165,0.06473127,-0.7969425,-0.09284521,0.5968771,moving,-68.92528,-4.167886,-0.3440197,2.920546,-58.33493470985108,-0.9088326809985584,68.9466107401588,58.11721229345277,68.70024407727341
5,5,5,05/04/2023 16:08:04.553110,223,True,True,True,True,Eyes,2.099437,0.1537512,-3.073302,-0.9294266,-0.02832999,0.3679178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426091,0.2071445,3.593249,2.000215,0.1476678,-3.311408,0.04472179,-0.4439099,0.01516526,0.8948261,5.365021,307.1955,359.2769,0.5851303,0.04202118,-0.8098496,0.0,0.0,0.0,0.8845854,0.1267499,-2.609003,-0.004749417,0.06883063,1.334555,0.6054279,-0.01256436,0.7958009,-0.06684544,0.99554,0.06657244,-0.7930881,-0.09350048,0.6018878,moving,-68.40363,-4.403137,-0.2039035,2.952455,-57.874359396108375,-1.096536268227517,68.59524348193005,57.81241919825846,68.32932426333919
6,6,6,05/04/2023 16:08:04.570876,224,True,True,True,True,Eyes,2.094178,0.1532873,-3.083412,-0.9260347,-0.03037202,0.3762142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.411473,0.211952,3.598487,1.992067,0.1454226,-3.316145,0.04512446,-0.4410175,0.01425764,0.89625,5.362767,307.5608,359.1802,0.5829943,0.04194779,-0.8113924,0.0,0.0,0.0,0.8871197,0.1244285,-2.608919,-0.002168119,0.06857859,1.333525,0.6106005,-0.01424452,0.7918107,-0.06535818,0.995521,0.06830985,-0.7892372,-0.09346133,0.6069347,moving,-67.88988,-4.615516,-0.09315456,2.943931,-57.42209764003295,-1.2655000088227668,68.21686902323026,57.48327603826783,67.93482883266402
7,7,7,05/04/2023 16:08:04.583344,225,True,True,True,True,Eyes,2.0888,0.1527755,-3.093272,-0.9226011,-0.03236111,0.3843954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399784,0.2156772,3.602437,1.983846,0.1437926,-3.320714,0.0454807,-0.4384989,0.01326582,0.8974823,5.351775,307.8776,359.0749,0.5808499,0.04186336,-0.8129332,0.0,0.0,0.0,0.889712,0.1220539,-2.608833,0.0005097389,0.07060233,1.332472,0.6150855,-0.01607479,0.7882966,-0.06369815,0.995511,0.07000214,-0.7858832,-0.09327034,0.6113005,moving,-67.38129,-4.812214,0.02191858,3.033037,-56.97531742690328,-1.4216128101784635,67.85823818912475,57.171048769092515,67.55525978732535
8,8,8,05/04/2023 16:08:04.603302,226,True,True,True,True,Eyes,2.083305,0.1522121,-3.102894,-0.9191326,-0.03424567,0.3924568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387488,0.2175822,3.606279,1.975424,0.1421095,-3.324939,0.04560613,-0.4359234,0.01218665,0.8987449,5.313284,308.2022,358.9724,0.578699,0.04176805,-0.8144706,0.0,0.0,0.0,0.8923125,0.1196718,-2.608747,0.004433364,0.07083108,1.331549,0.6196446,-0.01785617,0.7846795,-0.06166694,0.9955431,0.07135165,-0.7824563,-0.09260144,0.6157818,moving,-66.8782,-4.986981,0.1907644,3.044951,-56.53474156041735,-1.5597329850730164,67.54818959336433,56.91209134329657,67.23045110186317
9,9,9,05/04/2023 16:08:04.613175,227,True,True,True,True,Eyes,2.077684,0.1516043,-3.112292,-0.9155586,-0.03609659,0.4005615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.372874,0.2199603,3.610861,1.967194,0.1401714,-3.328961,0.04577737,-0.4330935,0.01089449,0.9001199,5.269867,308.5578,358.8469,0.5765431,0.04166186,-0.8160035,0.0,0.0,0.0,0.8947901,0.1174024,-2.608665,0.007604539,0.06482077,1.331767,0.6246226,-0.02003906,0.7806696,-0.05926445,0.9955715,0.07297357,-0.7786747,-0.0918469,0.6206689,moving,-66.37038,-5.1493,0.3271617,2.786544,-56.09100021959543,-1.6875506099265287,67.1679960160758,56.595287056116796,66.8521682975575
