,Unnamed: 0,Unnamed: 0.1,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,0,301,05/04/2023 16:30:14.432977,502,True,True,True,True,Eyes,1.354961,-0.2906355,-3.028519,0.3019945,-0.1119098,0.9467183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.515973,-0.05846444,2.980366,1.368371,-0.2894657,-3.037753,-0.05542092,0.02429794,-0.004770185,0.9981561,353.6613,2.827928,359.2957,0.4069768,-0.08723731,-0.909263,0,0,0,2.02495,-0.5409026,-1.110656,0.5746002,-0.4608002,1.915002,0.9987737,-0.012216,-0.04797753,0.006829549,0.9938115,-0.1108692,0.049035,0.1104056,0.9926763,static,17.69221,-6.741542,16.70198,-13.52967,15.612063570057284,-2.035258053044899,6.8599735566023865,11.545970025535455,6.62540134337381
1,1,302,05/04/2023 16:30:14.452670,503,True,True,True,True,Eyes,1.354925,-0.2906419,-3.028514,0.303276,-0.1130366,0.9461746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.515915,-0.05881545,2.980494,1.368432,-0.2894398,-3.037831,-0.05539932,0.02427165,-0.004923904,0.9981573,353.6642,2.825857,359.2783,0.4069623,-0.08724002,-0.9092692,0,0,0,2.026012,-0.5402518,-1.110895,0.5746004,-0.4608002,1.915001,0.9987733,-0.01251892,-0.04790829,0.007140393,0.9938133,-0.1108335,0.04899941,0.1103554,0.9926836,static,17.77214,-6.812663,16.70199,-13.52968,15.685066691701186,-2.092895668918258,6.801730544559158,11.481906150576144,6.573300213573714
2,2,303,05/04/2023 16:30:14.482753,504,True,True,True,True,Eyes,1.354904,-0.2906461,-3.02851,0.3044385,-0.11406,0.9456784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.51646,-0.05925956,2.980237,1.368453,-0.2894357,-3.037852,-0.05550488,0.02436239,-0.004858572,0.9981495,353.652,2.835999,359.2849,0.4069485,-0.0872427,-0.9092751,0,0,0,2.026654,-0.5392423,-1.111035,0.5746002,-0.4608002,1.915001,0.9987657,-0.01240362,-0.04809526,0.006994698,0.9937912,-0.111041,0.04917395,0.1105676,0.9926513,static,17.84472,-6.87733,16.70198,-13.52967,15.751362736541882,-2.1453039651163666,6.749776454313135,11.423986309419174,6.526987945460205
3,3,304,05/04/2023 16:30:14.498087,505,True,True,True,True,Eyes,1.354883,-0.2906584,-3.028505,0.3055653,-0.1150439,0.9451956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.517499,-0.05998746,2.979731,1.368491,-0.2893845,-3.037875,-0.05560327,0.02452932,-0.004893779,0.9981397,353.6409,2.855548,359.2795,0.4069356,-0.08724527,-0.9092806,0,0,0,2.026972,-0.5393564,-1.111151,0.5746001,-0.4608002,1.915001,0.9987487,-0.01249717,-0.04842314,0.007041528,0.9937686,-0.1112397,0.04951158,0.1107596,0.9926132,static,17.91512,-6.939584,16.70198,-13.52967,15.815634898849842,-2.195750632739232,6.700816528378911,11.36852390866561,6.483502141100493
4,4,305,05/04/2023 16:30:14.502752,506,True,True,True,True,Eyes,1.354871,-0.2906665,-3.028503,0.3065744,-0.1160109,0.9447506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.518136,-0.05878314,2.979411,1.368451,-0.2895856,-3.037855,-0.0555262,0.02464883,-0.004713362,0.9981419,353.6493,2.86808,359.2997,0.4069234,-0.08724799,-0.9092858,0,0,0,2.027178,-0.5394626,-1.111256,0.5746003,-0.4608001,1.915001,0.9987404,-0.01214652,-0.04868264,0.006671896,0.9937892,-0.1110784,0.0497295,0.1106137,0.9926186,static,17.9784,-7.000607,16.70199,-13.52967,15.873757915605363,-2.2452654060901445,6.6526600804542095,11.314758301646329,6.440539919058491
5,5,306,05/04/2023 16:30:14.522630,507,True,True,True,True,Eyes,1.354859,-0.2906756,-3.0285,0.3075536,-0.1169306,0.9443189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.518363,-0.05828497,2.979285,1.368441,-0.2894984,-3.037849,-0.05542817,0.02468841,-0.004718014,0.9981464,353.6606,2.872566,359.2993,0.4069122,-0.08725069,-0.9092905,0,0,0,2.02705,-0.538739,-1.111092,0.5746003,-0.4608002,1.915001,0.9987364,-0.0121554,-0.04876227,0.00668167,0.993811,-0.1108838,0.04980831,0.1104179,0.9926364,static,18.03982,-7.05874,16.70198,-13.52967,15.930096515986182,-2.2924221734753454,6.607779576415968,11.263726862261281,6.400672491419212
6,6,307,05/04/2023 16:30:14.532861,508,True,True,True,True,Eyes,1.354852,-0.2906826,-3.028503,0.3083729,-0.1177381,0.9439512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.518701,-0.05796769,2.979163,1.368422,-0.2895136,-3.037898,-0.05550347,0.02475749,-0.004456924,0.9981416,353.6512,2.878933,359.3286,0.4069018,-0.08725342,-0.9092948,0,0,0,2.027155,-0.5392299,-1.111031,0.5746,-0.4608001,1.915001,0.9987344,-0.01164554,-0.04892821,0.006149031,0.993799,-0.1110213,0.04991771,0.11058,0.9926128,static,18.09134,-7.109725,16.70198,-13.52967,15.977508201260664,-2.333807473122407,6.568562629116434,11.219277922750221,6.365779498166604
7,7,308,05/04/2023 16:30:14.552732,509,True,True,True,True,Eyes,1.354845,-0.29069,-3.028501,0.3091536,-0.1185097,0.9435992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.517273,-0.05883652,2.97998,1.368389,-0.2894695,-3.038022,-0.05571932,0.02452978,-0.004275557,0.9981359,353.6258,2.851765,359.3503,0.4068923,-0.08725608,-0.9092988,0,0,0,2.027262,-0.5399981,-1.111088,0.5746003,-0.4608002,1.915001,0.99876,-0.01126874,-0.04849165,0.005801609,0.9937541,-0.1114407,0.04944457,0.1110211,0.9925873,static,18.14047,-7.15848,16.70199,-13.52967,16.022729840788134,-2.373384213004841,6.531560818556312,11.176945330679699,6.332930912311957
8,8,309,05/04/2023 16:30:14.572731,510,True,True,True,True,Eyes,1.35483,-0.2906968,-3.028497,0.309861,-0.1192507,0.9432738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.516921,-0.05938312,2.980047,1.368385,-0.2894866,-3.037922,-0.05578276,0.02447007,-0.004339133,0.9981337,353.6187,2.845358,359.3432,0.4068835,-0.0872587,-0.9093025,0,0,0,2.027527,-0.5415737,-1.111373,0.5746,-0.4608002,1.915001,0.9987648,-0.01139208,-0.04836471,0.005932052,0.9937389,-0.1115696,0.0493329,0.1111449,0.992579,static,18.18511,-7.205232,16.70198,-13.52967,16.063988685155554,-2.411363342130966,6.496013440006418,11.136596241950762,6.301285464884132
9,9,310,05/04/2023 16:30:14.602685,511,True,True,True,True,Eyes,1.354815,-0.290703,-3.028494,0.3105268,-0.1199547,0.9429655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.515871,-0.05865842,2.980582,1.368354,-0.2895917,-3.037913,-0.05577471,0.02430644,-0.004133594,0.998139,353.6189,2.825188,359.3679,0.4068753,-0.0872613,-0.9093059,0,0,0,2.028665,-0.5428365,-1.11192,0.5746,-0.4608001,1.915001,0.9987842,-0.01096317,-0.04806131,0.005540433,0.9937442,-0.1115428,0.0489835,0.1111409,0.9925968,static,18.22717,-7.249661,16.70198,-13.52967,16.10288922189215,-2.4474595222064126,6.462562771546672,11.098391722881827,6.271533500775046
