,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
0,301,05/05/2023 12:36:11.450809,491,True,True,True,True,Eyes,2.245667,0.05472753,-2.544459,-0.7550532,-0.5290765,-0.3872632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.167463,0.2123164,0.2078967,2.14222,0.05108105,-2.351468,-0.1406882,0.8617624,-0.2425968,-0.4227521,32.48467,231.5224,357.4614,0.6567733,0.01674655,-0.7539016,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.09569207,-0.06415235,1.052597,-0.6029752,-0.03736288,0.7968848,-0.4475962,0.8427072,-0.2991692,-0.6603627,-0.5370741,-0.5248551,static,62.84693,53.79734,-5.194509,-3.487678,56.34013882093032,61.302962954181325
1,302,05/05/2023 12:36:11.470482,492,True,True,True,True,Eyes,2.241231,0.05431423,-2.536742,-0.7486297,-0.5322085,-0.3953576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.163061,0.1917056,0.1638443,2.137084,0.0503221,-2.34497,-0.1400731,0.8647091,-0.2444262,-0.4158289,32.62974,230.5884,357.3481,0.6572593,0.01668441,-0.7534792,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.09278756,-0.05947071,1.052817,-0.6149319,-0.03896608,0.7876172,-0.445524,0.8412707,-0.3062221,-0.650667,-0.539208,-0.5346845,static,62.16109,53.39273,-5.036618,-3.233045,55.71114027488534,60.89869545202041
2,303,05/05/2023 12:36:11.480554,493,True,True,True,True,Eyes,2.236767,0.05387007,-2.52905,-0.7420589,-0.5352889,-0.4035025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15749,0.1721244,0.1188338,2.131927,0.04903989,-2.337942,-0.139446,0.8677547,-0.2458969,-0.4087682,32.73529,229.6266,357.2076,0.6577358,0.01662049,-0.7530648,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.08907804,-0.05979531,1.052775,-0.626927,-0.04098021,0.7779998,-0.4430396,0.840179,-0.3127542,-0.6408423,-0.5407586,-0.5448868,static,61.46439,52.9909,-4.836424,-3.250781,55.07192696842144,60.4972381050353
3,304,05/05/2023 12:36:11.500400,494,True,True,True,True,Eyes,2.232281,0.05341066,-2.521391,-0.735531,-0.5381837,-0.4115246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.150971,0.1529651,0.07476234,2.126552,0.04784107,-2.3309,-0.1388665,0.8706818,-0.2473399,-0.4018113,32.84068,228.68,357.063,0.6582046,0.01655379,-0.7526565,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.08479321,-0.05345529,1.053376,-0.6385276,-0.04304919,0.768394,-0.440585,0.8390782,-0.3191123,-0.6310052,-0.5423048,-0.5547414,static,60.77328,52.5965,-4.602194,-2.905077,54.4377257530723,60.10321909075054
4,305,05/05/2023 12:36:11.520264,495,True,True,True,True,Eyes,2.227755,0.05293437,-2.513752,-0.7289645,-0.5408692,-0.4196083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.143423,0.1314435,0.0359838,2.120901,0.0469669,-2.32363,-0.1375022,0.8735053,-0.2482961,-0.3955133,32.85698,227.8393,357.0106,0.6586643,0.01648432,-0.7522557,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.07958665,-0.04855075,1.053645,-0.6493248,-0.0438089,0.7592484,-0.4366265,0.8388845,-0.325008,-0.6226835,-0.5425438,-0.5638366,static,60.07431,52.19556,-4.319609,-2.638257,53.79636874857255,59.702658878544284
5,306,05/05/2023 12:36:11.540517,496,True,True,True,True,Eyes,2.22322,0.05243305,-2.506132,-0.7225898,-0.5431311,-0.427636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.135509,0.1051788,-0.002727032,2.115228,0.04607156,-2.316501,-0.1348158,0.8768368,-0.2480395,-0.3891764,32.67783,227.0014,357.0471,0.6591153,0.01641175,-0.7518622,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.07490674,-0.04394074,1.053899,-0.6607327,-0.04336061,0.7493677,-0.4294851,0.8406023,-0.3300461,-0.6156091,-0.5399145,-0.5740362,static,59.38253,51.78476,-4.065509,-2.38748,53.161996996805556,59.292197112537934
6,307,05/05/2023 12:36:11.550432,497,True,True,True,True,Eyes,2.218663,0.0518928,-2.498495,-0.716114,-0.5452667,-0.4357348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.126662,0.07895279,-0.04253078,2.109752,0.0448958,-2.308892,-0.1317881,0.8804204,-0.2471092,-0.3826602,32.4104,226.1353,357.0845,0.6595582,0.0163356,-0.7514753,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.07060099,-0.03672728,1.053988,-0.6724063,-0.04294007,0.7389359,-0.4211756,0.8431379,-0.3342599,-0.6086717,-0.5359801,-0.5850165,static,58.68069,51.37087,-3.83221,-1.995721,52.51832009324296,58.878658029028195
7,308,05/05/2023 12:36:11.580413,498,True,True,True,True,Eyes,2.214032,0.05136102,-2.490808,-0.709624,-0.5472855,-0.4437479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.116859,0.05306256,-0.08414936,2.104442,0.0434138,-2.300901,-0.1293847,0.8836865,-0.2475008,-0.3756347,32.31874,225.2185,357.1017,0.6599944,0.01625494,-0.751094,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.06634673,-0.03149924,1.054088,-0.6843166,-0.04273126,0.7279322,-0.4146107,0.8440059,-0.3402234,-0.5998409,-0.5346289,-0.5952842,static,57.98109,50.96431,-3.601579,-1.711657,51.876530879063495,58.47246400240992
8,309,05/05/2023 12:36:11.580413,499,True,True,True,True,Eyes,2.209353,0.05082271,-2.483102,-0.7030648,-0.5491554,-0.4518055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.105679,0.02434093,-0.1248879,2.098556,0.0429152,-2.292519,-0.1274895,0.8863963,-0.2498005,-0.3683041,32.46295,224.2955,357.1462,0.6604238,0.01617054,-0.7507183,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.06170684,-0.02775928,1.053932,-0.6961975,-0.0420073,0.7166206,-0.4100175,0.8426923,-0.3489347,-0.5892329,-0.5367542,-0.6039039,static,57.27427,50.55491,-3.350795,-1.508752,51.228080676696564,58.06343740257881
9,310,05/05/2023 12:36:11.600152,500,True,True,True,True,Eyes,2.204631,0.0502515,-2.475327,-0.6965391,-0.5508937,-0.4597276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.093892,0.0008218288,-0.1627948,2.092328,0.04241303,-2.284521,-0.1252027,0.8894215,-0.2496102,-0.3618681,32.31889,223.4518,357.1469,0.6608462,0.01608261,-0.7503483,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.05698919,-0.0231314,1.054153,-0.7067516,-0.04206407,0.7062103,-0.4033679,0.8440381,-0.3534035,-0.5812028,-0.534631,-0.6134927,static,56.57451,50.15459,-3.094488,-1.257046,50.585969021479755,57.66350050866316
10,311,05/05/2023 12:36:11.620254,501,True,True,True,True,Eyes,2.199882,0.04967741,-2.4675,-0.689831,-0.5527371,-0.4675629,1.027342,1.49119,-0.5181723,-2.947847,0.02510717,0.9512986,-0.3072469,-0.01699251,0.006329864,1.057914,2.086843,0.0410378,-2.275543,-0.1239813,0.8920291,-0.2501043,-0.3554725,32.29946,222.6024,357.0583,0.6612639,0.01599027,-0.7499822,0.0,0.0,0.0,1.490813,-0.5324409,-2.943238,-0.05108622,-0.01912954,1.054622,-0.716536,-0.04337944,0.6962002,-0.3990003,0.844153,-0.3580567,-0.5721672,-0.5343445,-0.6221744,static,55.87084,49.77197,-2.773258,-1.039161,49.9397164813079,57.281319427323226
