,Unnamed: 0,Unnamed: 0.1,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,0,0,05/07/2023 20:08:08.381140,228,True,True,True,True,Eyes,1.337451,-0.221638,-3.659912,-0.5249381,0.3532515,0.7743729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3587042,-0.8580455,3.79521,1.347312,-0.2263754,-3.660879,-0.14326,-0.2225326,0.02296488,0.9640687,344.5734,333.132,6.435084,0.3422808,-0.05653597,-0.9378949,0,0,0,0.6145779,0.2770633,-2.736551,-0.05806732,0.09772268,1.283517,0.8999037,0.1080395,0.4224936,0.01948061,0.9578984,-0.2864459,-0.4356534,0.2660041,0.8599116,moving,-34.13288,24.52141,-2.590341,4.353909,-33.39033448583417,27.67586057821447,37.43874815150104,38.63357379461558,34.73458292830797
1,1,1,05/07/2023 20:08:08.400784,229,True,True,True,True,Eyes,1.33758,-0.221752,-3.659528,-0.5231069,0.3516019,0.7763603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381613,-0.8457538,3.799321,1.347568,-0.2265111,-3.660225,-0.1419149,-0.2200134,0.02384929,0.9648241,344.731,333.4422,6.455765,0.3423206,-0.05656114,-0.9378789,0,0,0,0.6187196,0.2740959,-2.736596,-0.05499619,0.09575197,1.280221,0.9020506,0.1084671,0.4177794,0.01642562,0.9585828,-0.2843401,-0.4313176,0.2633515,0.8629085,moving,-33.97186,24.36506,-2.459821,4.277378,-33.23412818359818,27.51498303569363,37.37008924354671,38.56221298661886,34.70671389107852
2,2,2,05/07/2023 20:08:08.421054,230,True,True,True,True,Eyes,1.337711,-0.2218697,-3.659135,-0.5211842,0.349915,0.7784128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317669,-0.8314205,3.803849,1.347783,-0.2265651,-3.659726,-0.1402376,-0.2174467,0.02430908,0.9656394,344.9142,333.7684,6.418431,0.3423624,-0.05658716,-0.937862,0,0,0,0.62278,0.2711868,-2.736639,-0.05240726,0.09399766,1.277015,0.904252,0.107936,0.413132,0.01404078,0.959485,-0.2814097,-0.4267682,0.260266,0.8661007,moving,-33.80418,24.20505,-2.350036,4.209797,-33.07147808222191,27.35020827160558,37.27161543731027,38.4614825173233,34.649869837871485
3,3,3,05/07/2023 20:08:08.440897,231,True,True,True,True,Eyes,1.337842,-0.2219921,-3.658739,-0.5193047,0.3482426,0.7804164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975239,-0.8183558,3.807854,1.347929,-0.2267377,-3.659188,-0.1387384,-0.2149196,0.02472956,0.9664108,345.0766,334.0872,6.383522,0.3424062,-0.05661405,-0.9378444,0,0,0,0.6268684,0.2682575,-2.736683,-0.05043489,0.0915679,1.27372,0.906396,0.107433,0.4085393,0.01183739,0.9602802,-0.2787863,-0.4222631,0.2575269,0.8691224,moving,-33.64059,24.0477,-2.267529,4.111927,-32.91278772093466,27.188231849725863,37.17127925720677,38.36206104461155,34.58891802521169
4,4,4,05/07/2023 20:08:08.450776,232,True,True,True,True,Eyes,1.337971,-0.2221185,-3.658335,-0.5173536,0.3465444,0.7824655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793477,-0.8069244,3.811242,1.348055,-0.2269411,-3.658685,-0.137439,-0.2126393,0.02509286,0.9670911,345.2169,334.3739,6.352591,0.3424518,-0.05664185,-0.9378261,0,0,0,0.6311336,0.2652017,-2.736729,-0.04828495,0.08911368,1.270316,0.9083098,0.106984,0.4043857,0.009915691,0.9609618,-0.2765036,-0.4181807,0.2551607,0.8717902,moving,-33.47204,23.88797,-2.176775,4.012771,-32.74930048058946,27.02369260436197,37.07313241027558,38.26462893251918,34.530704865743616
5,5,5,05/07/2023 20:08:08.471153,233,True,True,True,True,Eyes,1.338107,-0.2222434,-3.657923,-0.5155365,0.3448583,0.7844073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261467,-0.7952827,3.814463,1.348129,-0.2271331,-3.658131,-0.1361233,-0.2103958,0.02553245,0.9677563,345.3612,334.6548,6.331326,0.342499,-0.05667059,-0.9378071,0,0,0,0.6350363,0.2624054,-2.736771,-0.04639494,0.08721685,1.267238,0.9101633,0.1066979,0.4002727,0.007861188,0.961637,-0.2742122,-0.4141749,0.2527246,0.8744081,moving,-33.31414,23.7323,-2.096723,3.937137,-32.59610659206942,26.863624606468456,36.964518153879105,38.15542207164985,34.46067379013917
6,6,6,05/07/2023 20:08:08.481368,234,True,True,True,True,Eyes,1.338239,-0.2223715,-3.657509,-0.5136514,0.3431545,0.7863888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2457117,-0.783473,3.817503,1.348277,-0.2272106,-3.657603,-0.1347193,-0.2084078,0.02568224,0.9683788,345.5098,334.9099,6.279139,0.3425479,-0.05670015,-0.9377875,0,0,0,0.6391494,0.2594585,-2.736815,-0.04423732,0.08474323,1.263995,0.9118133,0.1058933,0.3967156,0.006412808,0.9623823,-0.2716233,-0.4105552,0.2502137,0.8768339,moving,-33.15166,23.57489,-2.00442,3.835595,-32.438486115504844,26.70163964623389,36.87533493698227,38.066893465142144,34.40989765854415
7,7,7,05/07/2023 20:08:08.503938,235,True,True,True,True,Eyes,1.338386,-0.2225046,-3.657084,-0.5118575,0.3413934,0.7883226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2285782,-0.772082,3.820442,1.348289,-0.2273796,-3.657123,-0.1334127,-0.2062395,0.02599641,0.9690154,345.6506,335.1825,6.246506,0.3425982,-0.05673053,-0.9377672,0,0,0,0.643353,0.2564467,-2.736861,-0.04239696,0.08151758,1.260656,0.9135789,0.1054117,0.3927619,0.004648102,0.9630505,-0.2692808,-0.4066349,0.2478349,0.8793327,moving,-32.99565,23.41566,-1.926182,3.699757,-32.28709285661619,26.53816081511612,36.79712859597108,37.99180960240911,34.36863042200587
8,8,8,05/07/2023 20:08:08.520947,236,True,True,True,True,Eyes,1.33853,-0.2226466,-3.656654,-0.5100206,0.3395889,0.7902901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213306,-0.7615724,3.822998,1.348332,-0.2276655,-3.656634,-0.1322717,-0.2043302,0.02662426,0.9695591,345.7821,335.4173,6.258896,0.3426503,-0.05676177,-0.9377463,0,0,0,0.6474379,0.2535201,-2.736905,-0.04071105,0.0792318,1.257415,0.9150806,0.1056818,0.3891771,0.002426639,0.9635907,-0.2673707,-0.4032636,0.2456102,0.8815067,moving,-32.83653,23.25327,-1.854405,3.605536,-32.13268171715096,26.37143703262089,36.68685760392107,37.88218962503956,34.29672679992871
9,9,9,05/07/2023 20:08:08.531303,237,True,True,True,True,Eyes,1.338674,-0.2227918,-3.656223,-0.5081478,0.3377143,0.7922972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198439,-0.7484689,3.825958,1.348379,-0.2279876,-3.65615,-0.1308317,-0.2024709,0.02749429,0.9701199,345.9534,335.6464,6.292374,0.3427038,-0.05679404,-0.9377247,0,0,0,0.65152,0.2505954,-2.736948,-0.0390141,0.07675999,1.25419,0.9164991,0.1063247,0.3856479,-0.0003662948,0.9642543,-0.2649784,-0.4000364,0.2427112,0.8837772,moving,-32.67449,23.08598,-1.781726,3.502297,-31.975425292601745,26.199767893375878,36.5770899253096,37.77346505058418,34.225846430248694
