Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/07/2023 20:09:53.912028,11.45322,0.9741897,0.17928559872028188,0.019868
moving,05/07/2023 20:09:53.922205,11.27513,0.9231856,0.18524974039606565,0.010177
moving,05/07/2023 20:09:53.932411,11.08844,0.8750643,0.19279215651496348,0.010206
moving,05/07/2023 20:09:53.952040,10.8894,0.8181388,0.20702037134120407,0.019629
moving,05/07/2023 20:09:53.971964,10.67815,0.764436,0.21796915659753305,0.019924
moving,05/07/2023 20:09:53.982956,10.44333,0.7028558,0.2427602797659461,0.010992
moving,05/07/2023 20:09:54.007077,10.18788,0.6384994,0.26343205712471646,0.024121
moving,05/07/2023 20:09:54.022364,9.922284,0.5791195,0.27215291242242884,0.015287
moving,05/07/2023 20:09:54.037647,9.647215,0.5233655,0.28066254341646685,0.015283
moving,05/07/2023 20:09:54.052142,9.360143,0.4714134,0.2917350748168775,0.014495
moving,05/07/2023 20:09:54.072009,9.065509,0.4259679,0.29811824403456116,0.019867
moving,05/07/2023 20:09:54.082450,8.761367,0.3741319,0.308527676327425,0.010441
moving,05/07/2023 20:09:54.102311,8.453263,0.301882,0.3164618821691012,0.019861
moving,05/07/2023 20:09:54.121920,8.131653,0.2366621,0.32815640700131066,0.019609
moving,05/07/2023 20:09:54.132216,7.803485,0.1677124,0.3353331140136474,0.010296
moving,05/07/2023 20:09:54.152051,7.47004,0.1131171,0.33788491355355027,0.019835
moving,05/07/2023 20:09:54.171981,7.14628,0.07873649,0.32558034944383873,0.01993
moving,05/07/2023 20:09:54.182440,6.853229,0.04385623,0.29511950314858504,0.010459
moving,05/07/2023 20:09:54.202425,6.56663,0.007865767,0.2888499614470362,0.019985
moving,05/07/2023 20:09:54.222382,6.296293,-0.09233072,0.2883078729000319,0.019957
moving,05/07/2023 20:09:54.232161,6.01452,-0.2007556,0.3019138587942173,0.009779
moving,05/07/2023 20:09:54.252088,5.732251,-0.3472251,0.3180080231554704,0.019927
moving,05/07/2023 20:09:54.272099,5.461881,-0.531831,0.32738246015144107,0.020011
moving,05/07/2023 20:09:54.288896,5.2009,-0.7251571,0.3247861808978486,0.016797
moving,05/07/2023 20:09:54.302454,4.939934,-0.9239577,0.3280623899753824,0.013558
moving,05/07/2023 20:09:54.322355,4.682757,-1.150705,0.3428619946659155,0.019901
moving,05/07/2023 20:09:54.332421,4.426914,-1.397154,0.355236189386723,0.010066
moving,05/07/2023 20:09:54.352291,4.168136,-1.647768,0.36024079485810623,0.01987
moving,05/07/2023 20:09:54.372378,3.900085,-1.888721,0.36042986392639553,0.020087
moving,05/07/2023 20:09:54.402642,3.628157,-2.132021,0.36488316922543834,0.030264
moving,05/07/2023 20:09:54.412102,3.338878,-2.357876,0.3670052055025924,0.00946
moving,05/07/2023 20:09:54.422479,3.04393,-2.583295,0.3712250641659314,0.010377
moving,05/07/2023 20:09:54.432505,-4.619148,-8.1789,9.488601569784086,0.010026
moving,05/07/2023 20:09:54.452268,-4.637785,-8.1747,0.019104391353822497,0.019763
moving,05/07/2023 20:09:54.471965,-4.673231,-8.174294,0.03544832509442473,0.019697
moving,05/07/2023 20:09:54.482513,-4.722645,-8.172677,0.04944044988670675,0.010548
moving,05/07/2023 20:09:54.502365,-4.777575,-8.180493,0.05548328357262183,0.019852
moving,05/07/2023 20:09:54.522139,-4.844578,-8.176913,0.06709857233205543,0.019774
moving,05/07/2023 20:09:54.532088,-4.919694,-8.166297,0.07586246049265698,0.009949
moving,05/07/2023 20:09:54.552674,-5.020817,-8.164525,0.10113852437622403,0.020586
moving,05/07/2023 20:09:54.572072,-5.127702,-8.174047,0.10730830214386972,0.019398
moving,05/07/2023 20:09:54.582333,-5.127702,-8.174047,0.0,0.010261
moving,05/07/2023 20:09:54.602347,-5.127702,-8.174047,0.0,0.020014
moving,05/07/2023 20:09:54.622468,-5.337126,-8.199281,0.21093877436829794,0.020121
moving,05/07/2023 20:09:54.632455,-5.562854,-8.242751,0.2298755552119454,0.009987
moving,05/07/2023 20:09:54.653050,-5.817502,-8.29072,0.2591266656772325,0.020595
moving,05/07/2023 20:09:54.672115,-6.083557,-8.341465,0.2708510994070354,0.019065
moving,05/07/2023 20:09:54.682195,-6.374287,-8.400401,0.2966435318627394,0.01008
moving,05/07/2023 20:09:54.711994,-6.684776,-8.462285,0.31659603373542156,0.029799
moving,05/07/2023 20:09:54.722411,-7.001346,-8.539786,0.32591865534362974,0.010417
moving,05/07/2023 20:09:54.732239,-7.327328,-8.620782,0.33589375751865347,0.009828
moving,05/07/2023 20:09:54.753201,-7.661201,-8.703494,0.34396577601994094,0.020962
moving,05/07/2023 20:09:54.772003,-7.996485,-8.812148,0.3524500707504541,0.018802
moving,05/07/2023 20:09:54.782279,-8.334892,-8.92262,0.355982247356522,0.010276
moving,05/07/2023 20:09:54.802418,-8.683496,-9.051258,0.371581059608802,0.020139
moving,05/07/2023 20:09:54.822449,-9.044105,-9.192005,0.38710278853296826,0.020031
moving,05/07/2023 20:09:54.832296,-9.413685,-9.332992,0.3955587321359492,0.009847
moving,05/07/2023 20:09:54.853595,-9.77709,-9.47213,0.3891305398821839,0.021299
moving,05/07/2023 20:09:54.871989,-10.13689,-9.603632,0.3830780808190411,0.018394
moving,05/07/2023 20:09:54.882211,-10.48233,-9.706787,0.36051317260954585,0.010222
moving,05/07/2023 20:09:54.902337,-10.83263,-9.798564,0.3621230560582971,0.020126
moving,05/07/2023 20:09:54.922071,-11.18574,-9.876138,0.3615306315874205,0.019734
moving,05/07/2023 20:09:54.932588,-11.5524,-9.956822,0.37543236868442925,0.010517
moving,05/07/2023 20:09:54.954021,-11.93141,-10.02863,0.3857524711054995,0.021433
moving,05/07/2023 20:09:54.972506,-12.3146,-10.10957,0.39164506852506215,0.018485
moving,05/07/2023 20:09:54.982413,-12.69571,-10.18178,0.3878905982361518,0.009907
moving,05/07/2023 20:09:55.002080,-13.08787,-10.25763,0.399427951075035,0.019667
moving,05/07/2023 20:09:55.022097,-13.47746,-10.35033,0.40046680024691167,0.020017
moving,05/07/2023 20:09:55.037462,-13.86527,-10.43948,0.39792501630332316,0.015365
moving,05/07/2023 20:09:55.054471,-14.24196,-10.51956,0.3851079881020388,0.017009
moving,05/07/2023 20:09:55.072509,-14.6136,-10.59571,0.37936145310244623,0.018038
moving,05/07/2023 20:09:55.082425,-14.97182,-10.65408,0.36294438320491956,0.009916
moving,05/07/2023 20:09:55.102188,-15.33096,-10.71289,0.3639232827121671,0.019763
moving,05/07/2023 20:09:55.122069,-15.68721,-10.76568,0.36014003748542145,0.019881
moving,05/07/2023 20:09:55.142283,-16.05141,-10.81999,0.3682271256982575,0.020214
moving,05/07/2023 20:09:55.155107,-16.4088,-10.86416,0.3601091515082602,0.012824
moving,05/07/2023 20:09:55.172294,-16.76326,-10.90476,0.3567775940274272,0.017187
moving,05/07/2023 20:09:55.182695,-17.0981,-10.94517,0.33726961573791353,0.010401
moving,05/07/2023 20:09:55.202195,-17.42539,-10.98932,0.3302543967913235,0.0195
moving,05/07/2023 20:09:55.222281,-17.73275,-11.03908,0.3113618910528384,0.020086
moving,05/07/2023 20:09:55.232720,-18.03408,-11.08887,0.3054158034548966,0.010439
moving,05/07/2023 20:09:55.255623,-18.3217,-11.14831,0.2936977664198356,0.022903
moving,05/07/2023 20:09:55.272282,-18.60809,-11.21383,0.2937892144037973,0.016659
moving,05/07/2023 20:09:55.282442,-18.88914,-11.29018,0.29123602970786466,0.01016
moving,05/07/2023 20:09:55.302298,-19.16847,-11.3714,0.2908984999961308,0.019856
moving,05/07/2023 20:09:55.322296,-19.44432,-11.45834,0.28922618501788716,0.019998
moving,05/07/2023 20:09:55.332549,-19.71511,-11.54784,0.28519725472030605,0.010253
moving,05/07/2023 20:09:55.355890,-19.97298,-11.64836,0.2767692311294739,0.023341
moving,05/07/2023 20:09:55.372213,-20.22316,-11.76201,0.274784196961907,0.016323
moving,05/07/2023 20:09:55.382407,-20.46357,-11.8892,0.27198210272001444,0.010194
moving,05/07/2023 20:09:55.402114,-20.70096,-12.03,0.27600480448716574,0.019707
moving,05/07/2023 20:09:55.422303,-20.93865,-12.17745,0.27971063369132143,0.020189
moving,05/07/2023 20:09:55.432336,-21.17206,-12.33402,0.28105941186873595,0.010033
moving,05/07/2023 20:09:55.456378,-21.41087,-12.48744,0.2838448740069125,0.024042
moving,05/07/2023 20:09:55.472374,-21.65091,-12.64061,0.28474594026956834,0.015996
moving,05/07/2023 20:09:55.482005,-21.905,-12.78615,0.29282011491699195,0.009631
moving,05/07/2023 20:09:55.502295,-22.16239,-12.92077,0.29046885633402875,0.02029
moving,05/07/2023 20:09:55.522169,-22.43007,-13.04464,0.2949514524459935,0.019874
moving,05/07/2023 20:09:55.532134,-22.70287,-13.15576,0.2945632264896628,0.009965
moving,05/07/2023 20:09:55.556862,-22.98361,-13.26597,0.3015977315896102,0.024728
moving,05/07/2023 20:09:55.572487,-23.26547,-13.37513,0.3022597644411198,0.015625
moving,05/07/2023 20:09:55.582343,-23.55603,-13.49245,0.3133513938057392,0.009856
moving,05/07/2023 20:09:55.602161,-23.8476,-13.5976,0.3099509435378445,0.019818
moving,05/07/2023 20:09:55.622250,-24.13668,-13.70913,0.30984865224815666,0.020089
moving,05/07/2023 20:09:55.632278,-24.41721,-13.83994,0.3095292183300333,0.010028
