,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
302,05/08/2023 09:22:50.754722,483,True,True,True,True,Eyes,2.418324,0.2569591,-2.904927,-0.2466614,-0.3120362,-0.917492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.496527,-0.3843304,-2.855551,2.402442,0.2638155,-2.948422,-0.04608271,0.9970973,-0.05960104,-0.01101712,6.884683,180.951,354.7649,0.6575837,0.07279804,-0.7498552,-0.009587821,-0.04555402,-0.5710682,1.831249,-0.4144912,-4.786203,0.5796003,-0.4007998,1.915001,-0.9955104,-0.09058462,0.02746344,-0.09321115,0.9886482,-0.1178407,-0.01647713,-0.1198715,-0.992653,static,15.04777,18.78301,16.83913,-11.82108
303,05/08/2023 09:22:50.774583,484,True,True,True,True,Eyes,2.417108,0.2573048,-2.908205,-0.2483304,-0.3126788,-0.9168228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51547,-0.365922,-2.852355,2.396626,0.266992,-2.963496,-0.05036717,0.9968459,-0.0594971,-0.0148885,6.898951,181.3673,354.2974,0.655497,0.07225466,-0.7517323,-0.009012551,-0.04282078,-0.5368041,1.815816,-0.4161386,-4.796469,0.5795999,-0.4008,1.914999,-0.9944831,-0.09864497,0.03567649,-0.1021883,0.9878465,-0.1171191,-0.02368969,-0.1201186,-0.9924769,static,15.15548,18.83174,16.83913,-11.82109
304,05/08/2023 09:22:50.790045,485,True,True,True,True,Eyes,2.415716,0.2577398,-2.911907,-0.2502761,-0.3133753,-0.9160556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.538057,-0.3521837,-2.844495,2.390989,0.2688452,-2.977885,-0.05316084,0.9966347,-0.05926962,-0.01950369,6.904453,181.8803,354.0069,0.6537083,0.07181236,-0.7533306,-0.008471798,-0.04025153,-0.5045958,1.796123,-0.4171598,-4.805269,0.5796001,-0.4007999,1.915,-0.9935872,-0.1036519,0.04517775,-0.1082758,0.987322,-0.1160666,-0.03257446,-0.120214,-0.9922136,static,15.28089,18.88541,16.83913,-11.82108
305,05/08/2023 09:22:50.804474,486,True,True,True,True,Eyes,2.414151,0.2582642,-2.916,-0.2525755,-0.3141506,-0.9151585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.562658,-0.3515255,-2.832718,2.385482,0.2714403,-2.991801,-0.05425648,0.9964339,-0.05979348,-0.02450749,6.997143,182.4455,353.9161,0.6520532,0.07142919,-0.7548,-0.007963491,-0.03783644,-0.4743201,1.773399,-0.4183901,-4.812045,0.5796,-0.4007999,1.915,-0.9929114,-0.1051952,0.05532854,-0.1110568,0.986962,-0.1165011,-0.04235181,-0.1218199,-0.9916484,static,15.42903,18.94604,16.83913,-11.82109
306,05/08/2023 09:22:50.824595,487,True,True,True,True,Eyes,2.412424,0.2588598,-2.920467,-0.255133,-0.314824,-0.9142171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.586643,-0.3361993,-2.822916,2.380032,0.2741416,-3.005479,-0.05509812,0.9963824,-0.05756091,-0.02955117,6.774485,183.0332,353.8493,0.650484,0.07109404,-0.7561843,-0.007485681,-0.03556626,-0.4458609,1.749709,-0.4091325,-4.821967,0.5795999,-0.4008,1.914999,-0.9921819,-0.1063956,0.06523151,-0.1131996,0.9873019,-0.1114489,-0.05254553,-0.1179618,-0.991627,static,15.59297,19.0019,16.83913,-11.82109
307,05/08/2023 09:22:50.844229,488,True,True,True,True,Eyes,2.41057,0.259463,-2.925272,-0.2581404,-0.3157198,-0.9130632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.612579,-0.3157829,-2.811281,2.374642,0.276395,-3.018819,-0.05675615,0.9962456,-0.0552813,-0.0348937,6.552198,183.6503,353.6878,0.6489856,0.07080375,-0.757498,-0.00703654,-0.03343228,-0.4191092,1.725935,-0.4011992,-4.830957,0.5795999,-0.4007998,1.915,-0.9911224,-0.1092282,0.07580048,-0.1169441,0.9874454,-0.1061866,-0.06325027,-0.1141084,-0.9914529,static,15.78661,19.07441,16.83913,-11.82108
308,05/08/2023 09:22:50.855009,489,True,True,True,True,Eyes,2.408589,0.2600931,-2.930375,-0.2614735,-0.3167274,-0.9117649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.643994,-0.2989974,-2.793308,2.369384,0.2774187,-3.031786,-0.05912497,0.99591,-0.05457529,-0.04109905,6.520813,184.3529,353.453,0.6475443,0.07055365,-0.7587538,-0.006614348,-0.03142634,-0.3939627,1.700386,-0.401324,-4.8361,0.5796,-0.4008,1.915,-0.9896303,-0.1132803,0.08831544,-0.1222523,0.9870515,-0.1038442,-0.07540839,-0.1135641,-0.9906651,static,16.00169,19.15612,16.83913,-11.82109
309,05/08/2023 09:22:50.874699,490,True,True,True,True,Eyes,2.406513,0.2607482,-2.935754,-0.2651463,-0.3179088,-0.910292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.680802,-0.2894706,-2.768575,2.364453,0.2785856,-3.044217,-0.0617449,0.9953868,-0.0554559,-0.04813791,6.681191,185.1401,353.2011,0.6461486,0.0703401,-0.7599626,-0.006217487,-0.02954076,-0.3703249,1.672962,-0.407643,-4.837183,0.5795997,-0.4008,1.914999,-0.9877404,-0.117581,0.1026799,-0.1282592,0.9862244,-0.1044556,-0.08898345,-0.1163447,-0.9892147,static,16.23958,19.25115,16.83913,-11.82109
310,05/08/2023 09:22:50.890197,491,True,True,True,True,Eyes,2.404329,0.2614372,-2.941383,-0.2691939,-0.3192424,-0.9086357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.720317,-0.2798536,-2.74014,2.359673,0.279591,-3.056236,-0.06468625,0.9947363,-0.05673661,-0.0556481,6.896444,185.9767,352.9192,0.6447893,0.0701599,-0.7611328,-0.005844438,-0.02776831,-0.3481054,1.644669,-0.4161482,-4.836269,0.5796005,-0.4008,1.915,-0.9854383,-0.1223769,0.1180505,-0.1350061,0.9851933,-0.1056766,-0.1033702,-0.1200752,-0.9873688,static,16.50253,19.35854,16.83914,-11.82109
311,05/08/2023 09:22:50.904620,492,True,True,True,True,Eyes,2.402025,0.2621618,-2.947252,-0.2732788,-0.3202645,-0.9070553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.762928,-0.2761754,-2.706913,2.355044,0.2811029,-3.067926,-0.06709027,0.9939829,-0.05861086,-0.06373197,7.184681,186.879,352.7096,0.6434581,0.07001036,-0.7622722,-0.005493772,-0.02610222,-0.3272191,1.614256,-0.4258134,-4.832948,0.5795998,-0.4008,1.914999,-0.9828741,-0.1259024,0.1345614,-0.1408439,0.9841273,-0.1079648,-0.1188325,-0.125068,-0.9850059,static,16.76657,19.44719,16.83913,-11.82109
