Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/08/2023 12:05:45.222678,-18.50135,-1.928591,0.0019281402957253113,0.010424
moving,05/08/2023 12:05:45.242666,-18.50188,-1.926299,0.0023524803931172615,0.019988
moving,05/08/2023 12:05:45.262362,-18.50169,-1.925893,0.0004482588537886237,0.019696
moving,05/08/2023 12:05:45.272311,-18.50087,-1.926981,0.0013624037580693465,0.009949
moving,05/08/2023 12:05:45.292657,-18.50252,-1.924351,0.003104738314255421,0.020346
moving,05/08/2023 12:05:45.310263,-18.50468,-1.918671,0.006076841284746433,0.017606
moving,05/08/2023 12:05:45.322469,-18.50688,-1.912341,0.006701410299331955,0.012206
moving,05/08/2023 12:05:45.342645,-18.51009,-1.912344,0.0032100014018716745,0.020176
moving,05/08/2023 12:05:45.352375,-18.51713,-1.913708,0.007170920164107175,0.00973
moving,05/08/2023 12:05:45.372819,-18.52481,-1.917974,0.008785280644347974,0.020444
moving,05/08/2023 12:05:45.392771,-18.53628,-1.922045,0.012171028756849714,0.019952
moving,05/08/2023 12:05:45.402589,-18.54632,-1.924957,0.01045377175951346,0.009818
moving,05/08/2023 12:05:45.422626,-18.55549,-1.925332,0.009177664463247356,0.020037
moving,05/08/2023 12:05:45.442322,-18.56313,-1.923786,0.0077948518908335955,0.019696
moving,05/08/2023 12:05:45.452757,-18.56702,-1.92137,0.0045792091020161315,0.010435
moving,05/08/2023 12:05:45.472393,-18.56912,-1.919169,0.0030421046990545563,0.019636
moving,05/08/2023 12:05:45.492472,-18.5687,-1.915122,0.004068735552969847,0.020079
moving,05/08/2023 12:05:45.512683,-18.5677,-1.909752,0.005462316358469499,0.020211
moving,05/08/2023 12:05:45.527631,-18.56443,-1.905113,0.005675669211641818,0.014948
moving,05/08/2023 12:05:45.542960,-18.56111,-1.902033,0.00452866426223169,0.015329
moving,05/08/2023 12:05:45.562695,-18.54855,-1.911414,0.015676631047518205,0.019735
moving,05/08/2023 12:05:45.578534,-18.53797,-1.92237,0.015230572412090873,0.015839
moving,05/08/2023 12:05:45.594272,-18.50872,-1.95586,0.04446507168553837,0.015738
moving,05/08/2023 12:05:45.612611,-18.48061,-1.990311,0.04446395732500755,0.018339
moving,05/08/2023 12:05:45.628375,-18.43895,-2.044594,0.06842660074123243,0.015764
moving,05/08/2023 12:05:45.644187,-18.39862,-2.094193,0.06392628333478961,0.015812
moving,05/08/2023 12:05:45.662600,-18.34271,-2.159813,0.08620854076018275,0.018413
moving,05/08/2023 12:05:45.675932,-18.28862,-2.220614,0.08137868087527476,0.013332
moving,05/08/2023 12:05:45.692655,-18.22145,-2.288938,0.0958122010810738,0.016723
moving,05/08/2023 12:05:45.702512,-18.15664,-2.354629,0.0922802448035342,0.009857
moving,05/08/2023 12:05:45.722607,-18.07866,-2.429322,0.10798113098592739,0.020095
moving,05/08/2023 12:05:45.742329,-18.00401,-2.501878,0.10410089161961947,0.019722
moving,05/08/2023 12:05:45.752473,-17.91887,-2.581893,0.11683843470793523,0.010144
moving,05/08/2023 12:05:45.772792,-17.83658,-2.658574,0.11247941972200745,0.020319
moving,05/08/2023 12:05:45.792989,-17.739,-2.739249,0.12661086851056708,0.020197
moving,05/08/2023 12:05:45.812663,-17.64384,-2.816125,0.12233292678588203,0.019674
moving,05/08/2023 12:05:45.826814,-17.53998,-2.89338,0.12944201259637542,0.014151
moving,05/08/2023 12:05:45.842288,-17.44081,-2.968005,0.12411115793916408,0.015474
moving,05/08/2023 12:05:45.862495,-17.33545,-3.046015,0.13109649003691715,0.020207
moving,05/08/2023 12:05:45.873082,-17.23321,-3.120375,0.1264216247324815,0.010587
moving,05/08/2023 12:05:45.892471,-17.13169,-3.190949,0.12364060771445642,0.019389
moving,05/08/2023 12:05:45.913027,-17.03424,-3.257675,0.11810529867876256,0.020556
moving,05/08/2023 12:05:45.926174,-16.93587,-3.320939,0.11695721694705234,0.013147
moving,05/08/2023 12:05:45.942281,-16.84044,-3.384071,0.11442261281757231,0.016107
moving,05/08/2023 12:05:45.952788,-16.7424,-3.440532,0.11313569781903592,0.010507
moving,05/08/2023 12:05:45.972554,-16.64815,-3.492162,0.10746496824546947,0.019766
moving,05/08/2023 12:05:45.992513,-16.55252,-3.543572,0.10857294782771626,0.019959
moving,05/08/2023 12:05:46.002599,-16.46243,-3.596738,0.10460799040226328,0.010086
moving,05/08/2023 12:05:46.022621,-16.37129,-3.655851,0.1086317005712445,0.020022
moving,05/08/2023 12:05:46.042545,-16.28468,-3.712908,0.10371496203055482,0.019924
moving,05/08/2023 12:05:46.062844,-16.19392,-3.772591,0.10862521847619236,0.020299
moving,05/08/2023 12:05:46.072424,-16.10626,-3.829218,0.10435944005694912,0.00958
moving,05/08/2023 12:05:46.092944,-16.0122,-3.887402,0.11060136281257918,0.02052
moving,05/08/2023 12:05:46.110897,-15.92145,-3.942605,0.1062211547150566,0.017953
moving,05/08/2023 12:05:46.128453,-15.82214,-4.001259,0.11533762532669121,0.017556
moving,05/08/2023 12:05:46.142935,-15.7253,-4.056806,0.1116398441820826,0.014482
moving,05/08/2023 12:05:46.156071,-15.62014,-4.116351,0.12084797319359687,0.013136
moving,05/08/2023 12:05:46.172611,-15.51846,-4.171695,0.11576606038040674,0.01654
moving,05/08/2023 12:05:46.212764,-15.41464,-4.236963,0.12263157922819001,0.040153
moving,05/08/2023 12:05:46.224984,-15.30724,-4.30502,0.12714761204599942,0.01222
moving,05/08/2023 12:05:46.242298,-15.20347,-4.368612,0.12170519859069352,0.017314
moving,05/08/2023 12:05:46.262289,-15.09915,-4.443709,0.12853879495700885,0.019991
moving,05/08/2023 12:05:46.272309,-14.99895,-4.517207,0.12426582798178996,0.01002
moving,05/08/2023 12:05:46.296006,-14.89346,-4.598299,0.13305657655298475,0.023697
