Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
transition,05/08/2023 17:10:00.714091,-0.8126594,-0.1612383,0.009924204509178514,0.019416
transition,05/08/2023 17:10:00.724945,-0.8065531,-0.156821,0.007536540252662372,0.010854
transition,05/08/2023 17:10:00.744064,-0.8004212,-0.1531792,0.007131823388867647,0.019119
transition,05/08/2023 17:10:00.763934,-0.7951083,-0.1480968,0.0073523939074291,0.01987
transition,05/08/2023 17:10:00.774561,-0.7901387,-0.1434681,0.006791302367734801,0.010627
transition,05/08/2023 17:10:00.793785,-0.7832258,-0.1401346,0.007674660165766295,0.019224
transition,05/08/2023 17:10:00.814133,-0.7765638,-0.1362954,0.007689063703728769,0.020348
transition,05/08/2023 17:10:00.824282,-0.768989,-0.1332034,0.008181568250647302,0.010149
transition,05/08/2023 17:10:00.844261,-0.7607134,-0.1298751,0.008919817052496136,0.019979
transition,05/08/2023 17:10:00.864048,-0.7513822,-0.1269206,0.00978776602141672,0.019787
transition,05/08/2023 17:10:00.874450,-0.7414019,-0.1239632,0.010409255633809799,0.010402
transition,05/08/2023 17:10:00.894467,-0.7346718,-0.1235844,0.006740751846047997,0.020017
transition,05/08/2023 17:10:00.914069,-0.7286406,-0.1218038,0.00628855387191683,0.019602
transition,05/08/2023 17:10:00.924432,-0.7261598,-0.1240931,0.0033756870604366935,0.010363
transition,05/08/2023 17:10:00.944337,-0.7248632,-0.1246632,0.0014163988033036301,0.019905
transition,05/08/2023 17:10:00.964041,-0.7018681,-0.11515,0.024885248607357774,0.019704
transition,05/08/2023 17:10:00.974874,-0.6787841,-0.105804,0.024904191855990826,0.010833
transition,05/08/2023 17:10:00.994074,-0.1669287,0.28664,0.6449870104468461,0.0192
transition,05/08/2023 17:10:01.014488,0.3237567,0.6646008,0.6193759182514283,0.020414
transition,05/08/2023 17:10:01.024853,0.3237567,0.6646008,0.0,0.010365
transition,05/08/2023 17:10:01.044462,0.3237567,0.6646008,0.0,0.019609
transition,05/08/2023 17:10:01.064252,0.8336846,1.03435,0.6298737445703306,0.01979
transition,05/08/2023 17:10:01.073997,1.325382,1.391587,0.6077701928654942,0.009745
transition,05/08/2023 17:10:01.094325,1.828797,1.744222,0.6146365637106207,0.020328
transition,05/08/2023 17:10:01.114387,2.313721,2.08378,0.59198895356248,0.020062
transition,05/08/2023 17:10:01.125165,14.59403,10.60201,14.945441829145802,0.010778
transition,05/08/2023 17:10:01.144174,14.5954,10.60134,0.0015250573759693026,0.019009
transition,05/08/2023 17:10:01.164351,14.61436,10.60442,0.019208539767509344,0.020177
transition,05/08/2023 17:10:01.174239,14.63399,10.60719,0.01982447477236269,0.009888
static,05/08/2023 17:10:01.194534,14.66029,10.61332,0.027004942140281665,0.020295
static,05/08/2023 17:10:01.214535,14.68549,10.61889,0.025808233182455557,0.020001
static,05/08/2023 17:10:01.230051,14.7159,10.62276,0.030655260559975393,0.015516
static,05/08/2023 17:10:01.244064,14.74414,10.6263,0.02846101192860194,0.014013
static,05/08/2023 17:10:01.264056,14.77712,10.62819,0.03303411115801382,0.019992
static,05/08/2023 17:10:01.273808,14.80899,10.62857,0.031872265372890826,0.009752
static,05/08/2023 17:10:01.294130,14.85736,10.63732,0.04915505467396044,0.020322
static,05/08/2023 17:10:01.314504,14.90484,10.64607,0.048279528788089915,0.020374
static,05/08/2023 17:10:01.324733,14.96579,10.65968,0.062451057637160995,0.010229
static,05/08/2023 17:10:01.344185,15.02507,10.67353,0.060876439613366945,0.019452
static,05/08/2023 17:10:01.364235,15.08907,10.69209,0.06663687867840178,0.02005
static,05/08/2023 17:10:01.374214,15.15177,10.70978,0.06514772520971215,0.009979
static,05/08/2023 17:10:01.393761,15.21576,10.73055,0.06727639259056464,0.019547
static,05/08/2023 17:10:01.415096,15.27658,10.75136,0.06428163423560414,0.021335
static,05/08/2023 17:10:01.423809,15.33502,10.77089,0.06161699846633308,0.008713
static,05/08/2023 17:10:01.443908,15.39081,10.7888,0.05859430177073552,0.020099
static,05/08/2023 17:10:01.464237,15.44375,10.80544,0.05549354196661061,0.020329
static,05/08/2023 17:10:01.484177,15.49595,10.82228,0.054849116674747296,0.01994
static,05/08/2023 17:10:01.494066,15.5455,10.84043,0.052769546141690576,0.009889
static,05/08/2023 17:10:01.511540,15.59151,10.85139,0.047297375191440845,0.017474
static,05/08/2023 17:10:01.524711,15.62912,10.86016,0.03861897202153449,0.013171
static,05/08/2023 17:10:01.544094,15.66654,10.87544,0.04041948539998869,0.019383
static,05/08/2023 17:10:01.564027,15.70387,10.88757,0.0392513159015093,0.019933
static,05/08/2023 17:10:01.574090,15.73999,10.89411,0.03670730172595117,0.010063
static,05/08/2023 17:10:01.594261,15.77113,10.89244,0.031184747874560794,0.020171
