Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/15/2023 12:47:13.913765,-39.70638,35.10762,0.00991123100326287,0.01954
moving,05/15/2023 12:47:13.924483,-39.71459,35.11084,0.008818871809931829,0.010718
moving,05/15/2023 12:47:13.943694,-39.73254,35.11881,0.019639842158224414,0.019211
moving,05/15/2023 12:47:13.964734,-39.74947,35.12725,0.018917148305174204,0.02104
moving,05/15/2023 12:47:13.974389,-39.77083,35.13614,0.023136155687576366,0.009655
moving,05/15/2023 12:47:13.994249,-39.79099,35.14527,0.022131030251665865,0.01986
moving,05/15/2023 12:47:14.014458,-39.81566,35.15334,0.025956382644738426,0.020209
moving,05/15/2023 12:47:14.023964,-39.83913,35.16048,0.024532030083134437,0.009506
moving,05/15/2023 12:47:14.043826,-39.86401,35.16782,0.02594012336131315,0.019862
moving,05/15/2023 12:47:14.064432,-39.88798,35.17471,0.024940589407628427,0.020606
moving,05/15/2023 12:47:14.074386,-39.91126,35.18196,0.024382799265055172,0.009954
moving,05/15/2023 12:47:14.094299,-39.93395,35.18946,0.02389740780922065,0.019913
moving,05/15/2023 12:47:14.114229,-39.95416,35.19553,0.021101871954875527,0.01993
moving,05/15/2023 12:47:14.124290,-39.97318,35.20192,0.020064707822441616,0.010061
moving,05/15/2023 12:47:14.144013,-39.98846,35.20454,0.015502993259371857,0.019723
moving,05/15/2023 12:47:14.164450,-40.00212,35.20475,0.013661614106680316,0.020437
moving,05/15/2023 12:47:14.174243,-40.00999,35.20068,0.008860124152632,0.009793
moving,05/15/2023 12:47:14.194086,-40.01643,35.19517,0.00847547638778981,0.019843
moving,05/15/2023 12:47:14.213874,-39.98817,35.16722,0.03974707662206124,0.019788
moving,05/15/2023 12:47:14.223879,-39.95975,35.13871,0.040255639356488515,0.010005
moving,05/15/2023 12:47:14.243707,-39.90289,35.09336,0.07273020074219928,0.019828
moving,05/15/2023 12:47:14.263828,-39.84653,35.04682,0.07309186822075213,0.020121
moving,05/15/2023 12:47:14.274152,-39.76457,34.98418,0.1031562465389261,0.010324
moving,05/15/2023 12:47:14.294244,-39.68266,34.91944,0.10440553481497117,0.020092
moving,05/15/2023 12:47:14.314123,-39.57851,34.8398,0.1311096949123144,0.019879
moving,05/15/2023 12:47:14.324009,-39.47308,34.7585,0.13313592640605862,0.009886
moving,05/15/2023 12:47:14.344027,-39.34756,34.66239,0.15808985577828713,0.020018
moving,05/15/2023 12:47:14.364085,-39.21997,34.56486,0.16059672786205598,0.020058
moving,05/15/2023 12:47:14.381291,-39.07915,34.45739,0.17714421610654635,0.017206
moving,05/15/2023 12:47:14.393711,-38.93838,34.34837,0.17804930019519208,0.01242
moving,05/15/2023 12:47:14.413859,-38.78413,34.22622,0.1967579350369449,0.020148
moving,05/15/2023 12:47:14.424347,-38.62929,34.10593,0.19607424537659027,0.010488
moving,05/15/2023 12:47:14.444068,-38.4632,33.97995,0.20846306267537804,0.019721
moving,05/15/2023 12:47:14.464371,-38.29715,33.85431,0.2082258679895477,0.020303
moving,05/15/2023 12:47:14.473839,-38.12368,33.7243,0.21678201263020017,0.009468
moving,05/15/2023 12:47:14.494173,-37.9523,33.59235,0.21629125479315786,0.020334
moving,05/15/2023 12:47:14.514043,-37.77087,33.45283,0.22887261806516054,0.01987
moving,05/15/2023 12:47:14.531294,-37.5917,33.31421,0.22653342645181215,0.017251
