Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
301,05/15/2023 12:34:31.021964,530,True,True,True,True,Eyes,1.456092,-0.3559738,-3.663814,0.4127815,-0.3019364,0.8593286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.51622,1.057664,2.879484,1.457222,-0.3535092,-3.67328,0.1107418,0.1567244,-0.008714037,0.9813755,12.71432,18.26213,1.034304,0.3677723,-0.08984674,-0.9255651,0,0,0,1.885524,-0.65731,-2.820636,0.1494735,-0.1098609,0.9839319,0.9507231,0.01760842,-0.309541,0.05181538,0.9753206,0.2146273,0.305681,-0.2200901,0.9263474,static,25.65747,-19.3596,8.638011,-6.370973,23.401147364778808,-13.234171816865308
302,05/15/2023 12:34:31.041643,531,True,True,True,True,Eyes,1.456064,-0.3559915,-3.663827,0.4129029,-0.3022569,0.8591577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.516199,1.059681,2.878754,1.457248,-0.3534884,-3.673265,0.1110376,0.1567334,-0.008683778,0.9813409,12.74742,18.26511,1.043527,0.3677781,-0.08985449,-0.925562,0,0,0,1.885524,-0.65731,-2.820636,0.1477156,-0.1084024,0.9842881,0.9507185,0.0177631,-0.3095462,0.05185008,0.9751905,0.2152093,0.3056893,-0.2206535,0.9262106,static,25.66849,-19.38218,8.534886,-6.284816,23.409880009344906,-13.252050378888175
303,05/15/2023 12:34:31.061692,532,True,True,True,True,Eyes,1.45604,-0.3560044,-3.663837,0.4130189,-0.302571,0.8589913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.515501,1.062205,2.878596,1.457238,-0.3535381,-3.673392,0.1111906,0.1567031,-0.008327372,0.9813315,12.75835,18.2668,1.087105,0.3677827,-0.08986191,-0.9255594,0,0,0,1.885524,-0.65731,-2.820636,0.1461256,-0.1067874,0.9846289,0.9507496,0.01850399,-0.3094072,0.05119165,0.9751346,0.2156198,0.3057035,-0.2208395,0.9261616,static,25.67911,-19.4043,8.441466,-6.189789,23.418262743215678,-13.269564738971384
304,05/15/2023 12:34:31.072131,533,True,True,True,True,Eyes,1.456016,-0.3560185,-3.66385,0.4131402,-0.3029075,0.8588144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.515484,1.062709,2.878366,1.457285,-0.3534368,-3.673337,0.1112819,0.1566996,-0.008322125,0.9813218,12.76865,18.26694,1.0894,0.3677861,-0.08986892,-0.9255574,0,0,0,1.885524,-0.65731,-2.820636,0.1445992,-0.1057599,0.9849243,0.950752,0.0185423,-0.3093976,0.05120903,0.9750941,0.2157986,0.3056932,-0.2210149,0.9261231,static,25.69029,-19.42796,8.35207,-6.128865,23.42705328624778,-13.28829847400111
305,05/15/2023 12:34:31.091853,534,True,True,True,True,Eyes,1.455993,-0.3560283,-3.663859,0.4132572,-0.3032348,0.8586427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.515735,1.061939,2.878499,1.457286,-0.3534798,-3.673386,0.1112069,0.1567168,-0.008402785,0.9813269,12.76156,18.26757,1.078905,0.3677885,-0.08987557,-0.9255558,0,0,0,1.885524,-0.65731,-2.820636,0.1427154,-0.1048726,0.9852464,0.9507384,0.01836422,-0.3094498,0.05134773,0.9751248,0.2156268,0.305712,-0.2208942,0.9261457,static,25.7011,-19.45098,8.242111,-6.07586,23.43553980822231,-13.306525471696983
306,05/15/2023 12:34:31.111720,535,True,True,True,True,Eyes,1.455966,-0.3560399,-3.663868,0.4133641,-0.3035877,0.8584664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.516102,1.061495,2.878253,1.457274,-0.3533853,-3.67333,0.1112306,0.1567544,-0.008520904,0.9813171,12.76639,18.27065,1.066243,0.3677901,-0.0898818,-0.9255545,0,0,0,1.885524,-0.65731,-2.820636,0.1407721,-0.1032806,0.9856182,0.9507108,0.01814836,-0.3095472,0.0515952,0.9751102,0.2156336,0.3057561,-0.2209764,0.9261116,static,25.71149,-19.47561,8.128364,-5.982058,23.443467223358734,-13.326027386864562
307,05/15/2023 12:34:31.121779,536,True,True,True,True,Eyes,1.455941,-0.356048,-3.663877,0.4134556,-0.3039294,0.8583015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.515642,1.062148,2.878427,1.457228,-0.353433,-3.673353,0.1112908,0.1566967,-0.008476662,0.9813198,12.77249,18.2647,1.071721,0.3677909,-0.0898877,-0.9255536,0,0,0,1.885524,-0.65731,-2.820636,0.1391375,-0.102675,0.9858109,0.9507486,0.01824116,-0.3094259,0.05151442,0.9750851,0.2157671,0.3056524,-0.2210802,0.926121,static,25.72075,-19.49934,8.033669,-5.94608,23.450369550053242,-13.344816773233738
308,05/15/2023 12:34:31.141777,537,True,True,True,True,Eyes,1.455908,-0.356055,-3.663883,0.413571,-0.3042668,0.8581263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.514489,1.062899,2.879144,1.45725,-0.3533542,-3.673342,0.111352,0.156525,-0.008391077,0.9813411,12.77808,18.24579,1.080476,0.367791,-0.08989321,-0.925553,0,0,0,1.885524,-0.65731,-2.820636,0.1373831,-0.1025522,0.9859778,0.9508591,0.01838973,-0.3090775,0.05132777,0.9750606,0.2159219,0.30534,-0.2211755,0.9262013,static,25.73158,-19.52303,7.932347,-5.938019,23.458814307986152,-13.363574304099643
309,05/15/2023 12:34:31.162328,538,True,True,True,True,Eyes,1.455877,-0.3560593,-3.663884,0.4136766,-0.3045802,0.8579642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.513642,1.063348,2.879748,1.457253,-0.3533319,-3.673367,0.1114213,0.1563814,-0.0084058,0.9813561,12.7864,18.22899,1.078192,0.3677903,-0.08989836,-0.9255528,0,0,0,1.885524,-0.65731,-2.820636,0.1355847,-0.1028611,0.9861151,0.9509484,0.01835028,-0.3088048,0.0513466,0.9750292,0.216059,0.3050584,-0.221317,0.9262603,static,25.74154,-19.54503,7.828726,-5.954955,23.466561162363714,-13.380993719303417
310,05/15/2023 12:34:31.181692,539,True,True,True,True,Eyes,1.455846,-0.3560666,-3.663885,0.4137467,-0.3048784,0.8578245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.513364,1.062024,2.880347,1.457303,-0.3532718,-3.673249,0.1112615,0.1563148,-0.008463209,0.9813842,12.76933,18.21956,1.067663,0.3677889,-0.08990313,-0.9255528,0,0,0,1.885524,-0.65731,-2.820636,0.1338339,-0.1018077,0.9864014,0.9509881,0.01817233,-0.308693,0.05139497,0.9750985,0.2157348,0.3049265,-0.2210265,0.9263731,static,25.74898,-19.56566,7.726649,-5.892705,23.47196362784183,-13.3973285999313
311,05/15/2023 12:34:31.191958,540,True,True,True,True,Eyes,1.455815,-0.3560749,-3.663884,0.4138082,-0.3051753,0.8576893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.513367,1.06105,2.880748,1.4573,-0.353351,-3.673278,0.1111128,0.1563044,-0.008486945,0.9814025,12.75285,18.21725,1.061971,0.367787,-0.08990763,-0.9255532,0,0,0,1.885524,-0.65731,-2.820636,0.1324088,-0.09999493,0.9867744,0.9509938,0.01807663,-0.3086811,0.05139306,0.9751638,0.2154397,0.304909,-0.2207459,0.9264457,static,25.75585,-19.58612,7.642493,-5.786324,23.476823002998987,-13.413528933060967
312,05/15/2023 12:34:31.211761,541,True,True,True,True,Eyes,1.455779,-0.3560861,-3.663883,0.4138647,-0.3054998,0.8575464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.513137,1.061454,2.880735,1.457285,-0.353381,-3.67323,0.1112281,0.156251,-0.008584603,0.981397,12.76781,18.21033,1.052197,0.3677846,-0.08991192,-0.9255537,0,0,0,1.885524,-0.65731,-2.820636,0.1312153,-0.09862658,0.9870517,0.9510238,0.01790921,-0.3085984,0.05160883,0.9751092,0.2156352,0.304779,-0.2210006,0.9264278,static,25.76265,-19.60837,7.57231,-5.706076,23.481449822242524,-13.431146675067803
313,05/15/2023 12:34:31.222439,542,True,True,True,True,Eyes,1.455747,-0.3560943,-3.663878,0.4139159,-0.3058373,0.8574014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.513281,1.064,2.879705,1.457265,-0.3534497,-3.673259,0.111666,0.1562676,-0.008676251,0.981344,12.81932,18.21342,1.050154,0.3677817,-0.08991608,-0.9255545,0,0,0,1.885524,-0.65731,-2.820636,0.1302816,-0.09785943,0.9872669,0.9510103,0.01787081,-0.3086423,0.05192836,0.9749108,0.216454,0.3047669,-0.2218772,0.9262222,static,25.76922,-19.63145,7.517426,-5.660756,23.485775196149444,-13.449421674225887
