,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
302,05/15/2023 12:36:46.744223,513,True,True,True,True,Eyes,1.813114,-0.04351956,-3.550043,-0.2339877,-0.5675181,0.789413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.162184,1.109578,3.604573,1.605816,-0.03738351,-3.604822,0.1698439,-0.07028924,-0.06238094,0.9809797,18.9327,350.3172,351.1046,0.4749005,-0.01043072,-0.8799773,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.06590329,-0.2083751,0.9215933,0.9823362,-0.1462653,0.1167146,0.09851246,0.9345233,0.3419962,-0.1590947,-0.3244574,0.932425,static,-16.5102,-35.7128,4.090268,-12.74053
303,05/15/2023 12:36:46.753940,514,True,True,True,True,Eyes,1.803833,-0.04329725,-3.551942,-0.2233722,-0.5678998,0.7922087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.207833,1.114403,3.583782,1.595756,-0.03613769,-3.605067,0.17128,-0.06284039,-0.06179002,0.9812728,19.17042,351.2005,351.3049,0.4729032,-0.01047957,-0.8810518,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.06972937,-0.2065886,0.9222506,0.9844661,-0.1427923,0.1021603,0.09973913,0.9336903,0.3439107,-0.1444939,-0.328379,0.9334285,static,-15.7464,-35.63509,4.323783,-12.6261
304,05/15/2023 12:36:46.774164,515,True,True,True,True,Eyes,1.794518,-0.0430375,-3.553751,-0.2123264,-0.5682317,0.7950033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.261157,1.119742,3.55818,1.585351,-0.03403386,-3.604231,0.1735099,-0.05445217,-0.06228282,0.9813512,19.49749,352.166,351.389,0.4709011,-0.01051864,-0.882123,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.07431227,-0.2081108,0.9219777,0.9863116,-0.1411386,0.08526004,0.1033466,0.9320303,0.3473313,-0.1284868,-0.3337655,0.9338585,static,-14.95331,-35.55544,4.608132,-12.71976
305,05/15/2023 12:36:46.799542,516,True,True,True,True,Eyes,1.785165,-0.04272588,-3.555488,-0.2012974,-0.568605,0.7976012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.302173,1.089898,3.54769,1.574828,-0.03289869,-3.603953,0.1702613,-0.04723774,-0.06234569,0.9822896,19.18392,353.0654,351.5634,0.468895,-0.01054799,-0.8831907,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.07819131,-0.2077262,0.9219168,0.9877632,-0.1385686,0.07157216,0.1063975,0.9342482,0.340382,-0.1140324,-0.3286017,0.9375594,static,-14.16444,-35.48484,4.847873,-12.69783
306,05/15/2023 12:36:46.814126,517,True,True,True,True,Eyes,1.775765,-0.04236634,-3.557121,-0.190057,-0.5690631,0.8000284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.334474,1.087775,3.531758,1.564461,-0.0313234,-3.604007,0.1709331,-0.04150234,-0.06273775,0.982407,19.30788,353.7348,351.6252,0.4668842,-0.0105673,-0.8842551,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.0815683,-0.2086312,0.9212569,0.988683,-0.1374563,0.06009646,0.1090798,0.9336917,0.3410593,-0.1029923,-0.3306442,0.9381189,static,-13.36362,-35.42438,5.059788,-12.76018
307,05/15/2023 12:36:46.824001,518,True,True,True,True,Eyes,1.766311,-0.04198973,-3.558676,-0.1789063,-0.5694054,0.8023528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.366273,1.072858,3.518572,1.553889,-0.02985691,-3.60314,0.1703789,-0.03588259,-0.0645614,0.9826065,19.28076,354.3752,351.5255,0.4648692,-0.01057638,-0.8853159,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.08384188,-0.2106815,0.9201331,0.9890885,-0.1391042,0.04851712,0.1146496,0.9336057,0.3394641,-0.09251673,-0.3301976,0.9393669,static,-12.57002,-35.36216,5.206374,-12.89662
308,05/15/2023 12:36:46.843757,519,True,True,True,True,Eyes,1.756811,-0.04159341,-3.560184,-0.1677473,-0.5700341,0.8043145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.394845,1.051505,3.50878,1.543051,-0.0290942,-3.602907,0.1687041,-0.03055869,-0.0662999,0.9829596,19.12357,354.9939,351.4388,0.4628497,-0.01057583,-0.8863733,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.08596687,-0.210286,0.919577,0.989341,-0.140651,0.03770579,0.1200295,0.9342865,0.3357108,-0.08244605,-0.3276066,0.9412102,static,-11.7807,-35.32598,5.340787,-12.88074
309,05/15/2023 12:36:46.854070,520,True,True,True,True,Eyes,1.747269,-0.04117855,-3.561627,-0.1567129,-0.5708189,0.8059819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.416094,1.067106,3.491126,1.532272,-0.02817842,-3.603241,0.1715899,-0.02638073,-0.06665263,0.9825571,19.49211,355.4541,351.4573,0.4608246,-0.01056612,-0.887428,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.08784473,-0.2099466,0.9187658,0.989723,-0.1400334,0.02896732,0.1219267,0.9322287,0.3407104,-0.07471499,-0.333677,0.9397219,static,-11.00315,-35.30719,5.461543,-12.87162
310,05/15/2023 12:36:46.874173,521,True,True,True,True,Eyes,1.737697,-0.04068562,-3.563016,-0.1456923,-0.5718313,0.8073307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.431466,1.091025,3.472643,1.521651,-0.02725598,-3.603126,0.1748257,-0.02280525,-0.06508806,0.982181,19.90443,355.8799,351.694,0.4587942,-0.01054769,-0.8884796,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.0901807,-0.210262,0.9176626,0.990487,-0.1358304,0.02203963,0.1198826,0.9303991,0.3463897,-0.0675559,-0.3404523,0.9378318,static,-10.2296,-35.30989,5.612559,-12.90529
311,05/15/2023 12:36:46.893924,522,True,True,True,True,Eyes,1.7281,-0.04016959,-3.564324,-0.134649,-0.5727553,0.808592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.444188,1.120693,3.453474,1.511501,-0.02485487,-3.603174,0.178618,-0.01950446,-0.06246134,0.9817402,20.38193,356.2928,352.0525,0.4567584,-0.01051945,-0.8895283,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.09246621,-0.2111336,0.916047,0.9914363,-0.1296093,0.01598318,0.1156739,0.9283884,0.3531495,-0.06061005,-0.3482764,0.9354303,static,-9.4543,-35.31134,5.763939,-12.97906
312,05/15/2023 12:36:46.913864,523,True,True,True,True,Eyes,1.718511,-0.03964559,-3.565588,-0.1235511,-0.5734954,0.8098384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.462325,1.12555,3.43909,1.501207,-0.02375415,-3.602556,0.1784066,-0.01501796,-0.05878784,0.9820843,20.40506,356.9129,352.593,0.4547172,-0.01048179,-0.8905739,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.09572703,-0.2103947,0.9147807,0.9926369,-0.1208278,0.008521527,0.1101106,0.9294302,0.3521864,-0.05047407,-0.3486549,0.9358912,static,-8.674311,-35.30462,5.973961,-12.95248
313,05/15/2023 12:36:46.924475,524,True,True,True,True,Eyes,1.708911,-0.0390926,-3.566788,-0.1125238,-0.5742508,0.8109096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.471559,1.131988,3.428924,1.491214,-0.02296746,-3.602798,0.1776183,-0.0115767,-0.05376105,0.9825616,20.35264,357.4418,353.2771,0.4526716,-0.01043544,-0.8916159,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.1001856,-0.209806,0.9130628,0.9939515,-0.1097596,0.003651746,0.1015346,0.931123,0.3502867,-0.04184753,-0.3477972,0.9366354,static,-7.900056,-35.30446,6.261718,-12.94094
314,05/15/2023 12:36:46.944370,525,True,True,True,True,Eyes,1.699317,-0.03854277,-3.567919,-0.1014311,-0.5748051,0.8119795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.486268,1.145233,3.413461,1.48127,-0.02167942,-3.602449,0.1789653,-0.007803518,-0.05112605,0.9824952,20.54037,357.9417,353.6694,0.4506214,-0.01038051,-0.8926545,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.1063142,-0.210608,0.9108244,0.9946505,-0.1032553,-0.002965745,0.09766908,0.930715,0.3524631,-0.03363342,-0.3508673,0.935821,static,-7.120408,-35.2949,6.657609,-13.01956
315,05/15/2023 12:36:46.954008,526,True,True,True,True,Eyes,1.689709,-0.03801208,-3.569007,-0.09042159,-0.5752313,0.8129778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.506684,1.129965,3.404764,1.471342,-0.02119373,-3.601949,0.1769954,-0.003335868,-0.050481,0.9829106,20.34087,358.5071,353.8521,0.4485675,-0.01031795,-0.8936891,0.0,0.0,0.0,1.66521,-0.5565807,-2.831973,0.1136402,-0.210197,0.9085758,0.9948811,-0.1004175,-0.01131209,0.09805574,0.9322486,0.3482782,-0.02442753,-0.3476046,0.937323,static,-6.346508,-35.28173,7.129256,-13.02609
