Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
301,05/16/2023 18:36:07.025634,530,True,True,True,True,Eyes,1.344099,0.05668285,-1.833595,0.7283247,-0.424358,-0.5380181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7509966,-0.640999,-2.271875,1.617951,0.06686552,-1.874581,0.04171992,0.8652016,-0.111076,0.4871837,13.46532,120.9827,357.8764,0.5613917,0.0249074,-0.8271748,0.583961,0.001444424,-0.02550203,2.725343,-0.7464221,-2.616126,0.5795998,-0.4008,1.915,-0.5218232,-0.03603658,-0.8522923,0.1804211,0.9718432,-0.1515558,0.833756,-0.2328568,-0.5006285,static,-53.54648,38.26436,16.83912,-11.82109,-6.645709278108757,7.543987094848578
302,05/16/2023 18:36:07.045226,531,True,True,True,True,Eyes,1.356627,0.05694544,-1.8352,0.7217099,-0.4254138,-0.5460384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7229798,-0.6606587,-2.28797,1.630203,0.06689653,-1.879346,0.04220714,0.8674039,-0.1143999,0.4824331,13.8385,121.5699,357.8068,0.5654017,0.02489292,-0.8244395,0.586583,0.002282662,-0.02838181,2.734613,-0.741164,-2.628438,0.5795996,-0.4008001,1.915,-0.5309536,-0.03715928,-0.8465857,0.1836018,0.9702625,-0.1577375,0.8272716,-0.239186,-0.5083418,static,-52.88922,37.92184,16.83912,-11.82109,-6.593692960591612,7.519348887148283
303,05/16/2023 18:36:07.056192,532,True,True,True,True,Eyes,1.369251,0.05717422,-1.836736,0.714875,-0.4270762,-0.5536784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6922524,-0.6868844,-2.301994,1.642034,0.06611609,-1.884026,0.04342065,0.8696384,-0.1191117,0.4771332,14.39487,122.2116,357.7431,0.5693526,0.02488269,-0.8217162,0.5889725,0.002933456,-0.03149258,2.740412,-0.7429338,-2.639187,0.5795997,-0.4007999,1.915001,-0.5409172,-0.03814376,-0.8402106,0.1891848,0.9678541,-0.1657333,0.819523,-0.2486031,-0.5163127,static,-52.24183,37.64456,16.83912,-11.82108,-6.540265408229663,7.499638493533462
304,05/16/2023 18:36:07.075843,533,True,True,True,True,Eyes,1.381822,0.0573508,-1.838421,0.7077768,-0.4290613,-0.5612116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6578771,-0.7220395,-2.313399,1.653299,0.06530334,-1.888993,0.04509561,0.871936,-0.1255815,0.4710872,15.15826,122.9238,357.644,0.5732532,0.02487443,-0.8190001,0.5915041,0.003443792,-0.03421105,2.745692,-0.7465107,-2.649414,0.5795993,-0.4008,1.915,-0.5520865,-0.03967873,-0.8328422,0.1969607,0.9643913,-0.1765102,0.8101894,-0.2614861,-0.5246122,static,-51.58834,37.39888,16.83911,-11.82109,-6.4850863364426985,7.482337131797648
305,05/16/2023 18:36:07.085311,534,True,True,True,True,Eyes,1.394241,0.0574799,-1.840392,0.7007403,-0.4311466,-0.5683973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6211087,-0.7508339,-2.326425,1.664438,0.06428842,-1.894015,0.04638927,0.8745528,-0.130797,0.4646478,15.7766,123.7033,357.5934,0.5770956,0.02486513,-0.8162976,0.5937282,0.003766912,-0.03721417,2.753788,-0.7429861,-2.660649,0.5795993,-0.4008002,1.915,-0.5639008,-0.04040935,-0.8248531,0.2026888,0.9614803,-0.1856684,0.8005828,-0.2718871,-0.533989,static,-50.95317,37.18142,16.83912,-11.8211,-6.430675932778856,7.467138701232619
306,05/16/2023 18:36:07.105690,535,True,True,True,True,Eyes,1.406615,0.05758465,-1.84251,0.6934873,-0.433365,-0.5755607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5830519,-0.7787414,-2.339097,1.67529,0.06349255,-1.899247,0.04775806,0.8772582,-0.1357358,0.4579443,16.37314,124.521,357.5791,0.5808631,0.02485231,-0.8136214,0.5953608,0.003928186,-0.04089542,2.756524,-0.750002,-2.672617,0.5795996,-0.4007999,1.915001,-0.5760123,-0.04052652,-0.8164357,0.2081111,0.9585899,-0.1944095,0.7905058,-0.2818916,-0.5437256,static,-50.30898,36.9777,16.83912,-11.82108,-6.374878949470499,7.453000716075752
307,05/16/2023 18:36:07.125683,536,True,True,True,True,Eyes,1.418998,0.05765313,-1.844696,0.686291,-0.4351912,-0.5827635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5433155,-0.796382,-2.355031,1.686426,0.0630461,-1.904621,0.04782904,0.8803031,-0.1387165,0.4511503,16.70124,125.3705,357.5493,0.5845523,0.024835,-0.8109754,0.5967605,0.004006749,-0.04479352,2.757624,-0.7590438,-2.685135,0.5795998,-0.4007998,1.915001,-0.5883517,-0.04095585,-0.8075674,0.2093721,0.9569402,-0.2010689,0.7810286,-0.2873813,-0.5544425,static,-49.66378,36.75133,16.83912,-11.82108,-6.319809119579032,7.437146970283609
308,05/16/2023 18:36:07.135680,537,True,True,True,True,Eyes,1.431325,0.05766763,-1.847026,0.6789092,-0.4370871,-0.5899467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5032681,-0.8050237,-2.373187,1.697223,0.06202078,-1.910222,0.0471708,0.8835648,-0.1401154,0.4443603,16.82944,126.238,357.535,0.5881661,0.02481171,-0.808359,0.5981035,0.003971768,-0.04866445,2.756787,-0.7710277,-2.697655,0.5795996,-0.4008,1.915,-0.6006376,-0.04116649,-0.7984607,0.2078803,0.9562852,-0.2056803,0.7720233,-0.2895236,-0.5658233,static,-49.01058,36.53447,16.83912,-11.82109,-6.263607138817568,7.422030780539421
309,05/16/2023 18:36:07.155894,538,True,True,True,True,Eyes,1.443629,0.05762484,-1.849457,0.6716311,-0.4387175,-0.5970249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4639876,-0.8167716,-2.389299,1.708038,0.06076384,-1.915741,0.04687813,0.8865566,-0.1421415,0.4377394,17.04207,127.0729,357.5229,0.5917009,0.02478025,-0.8057762,0.5991995,0.00377698,-0.0527362,2.753743,-0.7875109,-2.70888,0.5795997,-0.4008,1.915,-0.6123733,-0.04132165,-0.7894881,0.2075621,0.9551965,-0.2109921,0.7628348,-0.2930737,-0.57636,static,-48.36554,36.30992,16.83912,-11.82109,-6.208486618481423,7.406314740964993
310,05/16/2023 18:36:07.175356,539,True,True,True,True,Eyes,1.455865,0.05749977,-1.852034,0.6642067,-0.4403657,-0.6040757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4265544,-0.8227566,-2.406331,1.718573,0.05917047,-1.921538,0.04618039,0.8894978,-0.1431518,0.431473,17.12861,127.8725,357.5184,0.5951574,0.02473854,-0.8032278,0.6001594,0.003421973,-0.05686335,2.752961,-0.7996765,-2.720067,0.5795994,-0.4007998,1.915001,-0.6233972,-0.04137754,-0.7808101,0.2056869,0.9547499,-0.2148152,0.7543669,-0.2945175,-0.5866776,static,-47.71444,36.09171,16.83911,-11.82108,-6.152540006784288,7.391091885988555
