Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,05/18/2023 16:19:40.943446,228,True,True,True,True,Eyes,0.3360822,0.09128311,-3.435929,-0.9255983,0.2705313,0.2647275,1.950899,-1.469666,0.6190622,-2.919473,0.805582,0.2979454,0.5121192,-0.3863109,0.2818385,1.908249,0.348358,0.09172319,-3.454996,-0.01393286,-0.5232226,-0.07904238,0.8484082,353.8948,297.0435,353.0951,0.1336585,0.02187556,-0.9907857,-0.4180145,-0.03104993,0.1359407,-0.886443,0.9043708,-4.199036,-0.5795998,0.4007999,1.915,0.4399809,-0.1195404,0.8900151,0.1487004,0.9871163,0.05907201,-0.88561,0.106355,0.4520881,moving,-74.03911,45.62124,-16.83912,11.82108,-71.91302438539334,34.98744000223012,66.4401209513175,59.747930340760554,55.633303742142544
1,05/18/2023 16:19:40.965669,229,True,True,True,True,Eyes,0.335712,0.09136114,-3.435523,-0.9253736,0.2707836,0.2652547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.906439,0.1181742,1.881403,0.3404324,0.09021598,-3.446301,-0.0006180431,-0.5193819,-0.07044596,0.8516334,355.743,297.5006,353.1266,0.1264879,0.0224957,-0.9917128,-0.6413286,0.01510423,0.3890421,-0.9055837,0.9032866,-4.183297,-0.5755448,0.3979959,1.915001,0.4505596,-0.1193463,0.8847331,0.1206303,0.990074,0.07212403,-0.8845589,0.07422941,0.4604841,moving,-74.00526,45.59095,-16.72791,11.74069,-71.88028164976099,34.96030390580843,66.53220968140245,59.84091049213883,55.72086896940665
2,05/18/2023 16:19:40.983020,230,True,True,True,True,Eyes,0.3350776,0.09128664,-3.434777,-0.9252227,0.2702942,0.2662782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.875874,0.1060498,1.908834,0.3310201,0.09213223,-3.436202,-0.003100634,-0.5132415,-0.07310531,0.8551195,355.3917,298.3386,352.9786,0.1209438,0.02301312,-0.9923923,-0.6028489,0.01419797,0.3656996,-0.9132041,0.9329499,-4.163767,-0.5718002,0.3954056,1.915,0.4624775,-0.1218448,0.8782189,0.1282103,0.989292,0.06973854,-0.8773124,0.08034418,0.4731471,moving,-73.94424,45.42883,-16.6251,11.66638,-71.82657644753843,34.81669580988795,66.52358108477097,59.85933614805369,55.77559537026854
3,05/18/2023 16:19:40.993145,231,True,True,True,True,Eyes,0.3341377,0.09117016,-3.43371,-0.9252356,0.26888,0.2676617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.84622,0.1255621,1.9358,0.3235936,0.08872663,-3.428041,0.0007636301,-0.5078293,-0.07130314,0.8585015,355.9223,299.0417,352.9049,0.1166721,0.02344293,-0.9928935,-0.5666779,0.01334609,0.3437576,-0.9165137,0.9678634,-4.138386,-0.567882,0.3926963,1.915001,0.4740505,-0.1232033,0.8718355,0.1216521,0.9898306,0.0737308,-0.8720533,0.07110848,0.4842176,moving,-73.86536,45.1301,-16.51741,11.5886,-71.76156282125797,34.55253235948782,66.43658323132293,59.826905405090415,55.821365494039206
4,05/18/2023 16:19:41.013335,232,True,True,True,True,Eyes,0.3329087,0.09108406,-3.432312,-0.9252063,0.2674417,0.2691993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.822262,0.1703229,1.950472,0.3152509,0.08781605,-3.419271,0.01113423,-0.5041403,-0.06481787,0.861114,357.3532,299.4696,352.9354,0.113392,0.02379995,-0.993265,-0.5326772,0.01254533,0.3231322,-0.9568385,0.9106014,-4.132814,-0.5640616,0.3900555,1.915001,0.4832825,-0.1228576,0.866801,0.1004047,0.9913494,0.08453027,-0.8696879,0.0461789,0.4914373,moving,-73.77705,44.81236,-16.41228,11.51276,-71.68795063251906,34.27149870620277,66.3293313498101,59.77758736660374,55.85525439163341
5,05/18/2023 16:19:41.033202,233,True,True,True,True,Eyes,0.3314318,0.09094691,-3.430625,-0.9252634,0.2654481,0.2709705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.799907,0.1563842,1.966654,0.3068445,0.0885569,-3.41023,0.008845097,-0.4998097,-0.06577031,0.8635894,357.1071,300.0571,352.9581,0.1108802,0.02409822,-0.9935414,-0.5007166,0.01179261,0.3037442,-0.9699952,0.9251466,-4.121849,-0.5600978,0.3873132,1.915,0.4917292,-0.1224388,0.862097,0.1047553,0.991192,0.08102232,-0.864424,0.0504682,0.5002241,moving,-73.67693,44.41016,-16.3031,11.43396,-71.60657012332994,33.91592051276047,66.17541941921411,59.69851217726761,55.88384614806481
6,05/18/2023 16:19:41.044198,234,True,True,True,True,Eyes,0.3296793,0.09072748,-3.4286,-0.9254154,0.2630587,0.2727753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.780675,0.1821303,1.975548,0.2993514,0.08732008,-3.401599,0.01515363,-0.4968596,-0.06115168,0.8655412,358.0209,300.4047,353.0508,0.1089611,0.02434664,-0.9937476,-0.4706736,0.01108505,0.2855196,-0.9616158,0.9824159,-4.100643,-0.5561142,0.3845592,1.915001,0.498782,-0.120917,0.8582516,0.09080013,0.9920617,0.08699977,-0.8619582,0.03453541,0.5058019,moving,-73.5766,43.96114,-16.19324,11.35478,-71.52729332453586,33.51910494532476,66.00018725230406,59.60800917330257,55.91410281465002
7,05/18/2023 16:19:41.066502,235,True,True,True,True,Eyes,0.3277036,0.0904041,-3.426302,-0.9256048,0.2601684,0.2748967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.760488,0.2048095,1.983633,0.2906403,0.08534183,-3.391944,0.01996973,-0.4936605,-0.05844308,0.867459,358.6789,300.7929,353.0419,0.1074919,0.02455174,-0.9939025,-0.4424332,0.01041995,0.2683884,-0.9936428,0.9417387,-4.096308,-0.5525675,0.3821064,1.915001,0.5057675,-0.1211105,0.8541263,0.08167739,0.9923713,0.09234792,-0.8587947,0.02305622,0.511801,moving,-73.45903,43.42327,-16.09533,11.28422,-71.43497262817814,33.043804825149564,65.7534228203559,59.46390146952477,55.91623089748339
8,05/18/2023 16:19:41.083119,236,True,True,True,True,Eyes,0.3255184,0.09002279,-3.423761,-0.9259462,0.2565122,0.2771735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.736292,0.2445027,1.996385,0.283216,0.08268949,-3.383131,0.02751928,-0.4897926,-0.05564218,0.8696263,359.6194,301.2453,352.8922,0.1062616,0.02472232,-0.9940306,-0.4158872,0.009794752,0.2522851,-1.014853,0.9334745,-4.081676,-0.548424,0.3792411,1.915,0.5140143,-0.1237333,0.8488106,0.06981833,0.9922932,0.1023692,-0.8549355,0.00664327,0.5186918,moving,-73.33541,42.78294,-15.98083,11.20175,-71.34160061193843,32.47818571384015,65.47457070338453,59.30852923005964,55.93288720543331
9,05/18/2023 16:19:41.102938,237,True,True,True,True,Eyes,0.323133,0.08962894,-3.420999,-0.9263347,0.2523363,0.279697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.710029,0.3002585,2.009414,0.2758512,0.08121236,-3.374828,0.0390578,-0.4855562,-0.05024387,0.8718859,1.106763,301.7031,352.7865,0.1050982,0.02486684,-0.9941506,-0.390934,0.009207067,0.237148,-1.033101,0.9320701,-4.056304,-0.5447065,0.3766697,1.915,0.5234214,-0.1255434,0.8427746,0.04968432,0.9919001,0.1169003,-0.8506242,-0.01931545,0.5254192,moving,-73.19887,42.05607,-15.87798,11.1277,-71.23944034419426,31.836175128779647,65.13254563771478,59.10780179977157,55.92607792376552
