Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/18/2023 16:21:47.095354,-27.39932,-10.33713,0.028239024416574988,0.010786
moving,05/18/2023 16:21:47.114866,-27.42436,-10.3398,0.02518194789923988,0.019512
moving,05/18/2023 16:21:47.134819,-27.4487,-10.34046,0.02434894658912242,0.019953
moving,05/18/2023 16:21:47.144697,-27.46752,-10.33826,0.01894815030550638,0.009878
moving,05/18/2023 16:21:47.164811,-27.48517,-10.33311,0.01838600010877827,0.020114
moving,05/18/2023 16:21:47.184683,-27.49868,-10.32266,0.017079888758419277,0.019872
moving,05/18/2023 16:21:47.195086,-27.51092,-10.30868,0.018581119449590906,0.010403
moving,05/18/2023 16:21:47.214861,-27.52141,-10.29106,0.02050620637758351,0.019775
moving,05/18/2023 16:21:47.234925,-27.53062,-10.27127,0.021828151547943937,0.020064
moving,05/18/2023 16:21:47.244728,-27.53778,-10.25144,0.021083038206102845,0.009803
moving,05/18/2023 16:21:47.265366,-27.54325,-10.23094,0.021217231204848485,0.020638
moving,05/18/2023 16:21:47.285118,-27.54747,-10.21046,0.020910255856876538,0.019752
moving,05/18/2023 16:21:47.295095,-27.5497,-10.18734,0.02322729644190093,0.009977
moving,05/18/2023 16:21:47.314934,-27.55123,-10.16407,0.023320244424105047,0.019839
moving,05/18/2023 16:21:47.338254,-27.55058,-10.1397,0.024378666903669167,0.02332
moving,05/18/2023 16:21:47.345281,-27.53737,-10.07973,0.061407694957554014,0.007027
moving,05/18/2023 16:21:47.364508,-27.52377,-10.02283,0.05850273497880142,0.019227
moving,05/18/2023 16:21:47.384716,-27.49289,-9.940912,0.08754503483350713,0.020208
moving,05/18/2023 16:21:47.395154,-27.46136,-9.849036,0.09713567972686545,0.010438
moving,05/18/2023 16:21:47.415230,-27.41094,-9.728842,0.13034099138797367,0.020076
moving,05/18/2023 16:21:47.435109,-27.35616,-9.608332,0.1323763895111208,0.019879
moving,05/18/2023 16:21:47.445493,-27.28598,-9.477437,0.1485218281095417,0.010384
moving,05/18/2023 16:21:47.465085,-27.21204,-9.352353,0.14530358101574742,0.019592
moving,05/18/2023 16:21:47.484978,-27.00622,-9.217855,0.24586903913262415,0.019893
moving,05/18/2023 16:21:47.494931,-26.79991,-9.083271,0.24632634685717122,0.009953
moving,05/18/2023 16:21:47.514835,-26.58621,-8.946425,0.25376074896642264,0.019904
moving,05/18/2023 16:21:47.534760,-26.36946,-8.796327,0.2636474390241643,0.019925
moving,05/18/2023 16:21:47.544910,-26.141,-8.635207,0.2795597002430804,0.01015
moving,05/18/2023 16:21:47.565361,-25.9048,-8.456056,0.2964549220387446,0.020451
moving,05/18/2023 16:21:47.584659,-25.65666,-8.274796,0.30729244572556846,0.019298
moving,05/18/2023 16:21:47.595244,-25.40289,-8.093522,0.3118645154165503,0.010585
moving,05/18/2023 16:21:47.614973,-25.14515,-7.93807,0.30099041829267464,0.019729
moving,05/18/2023 16:21:47.635065,-24.88118,-7.789368,0.30297268144834494,0.020092
moving,05/18/2023 16:21:47.645601,-24.6151,-7.670818,0.29129481440629756,0.010536
moving,05/18/2023 16:21:47.665329,-24.34259,-7.563092,0.2930300175340406,0.019728
moving,05/18/2023 16:21:47.685244,-24.07167,-7.480745,0.2831583917333198,0.019915
moving,05/18/2023 16:21:47.694772,-23.79321,-7.406199,0.2882656374179923,0.009528
moving,05/18/2023 16:21:47.715220,-23.51469,-7.347722,0.284592603433396,0.020448
moving,05/18/2023 16:21:47.735217,-23.23,-7.295163,0.28950102690836993,0.019997
moving,05/18/2023 16:21:47.745841,-22.95493,-7.248957,0.278923823536104,0.010624
moving,05/18/2023 16:21:47.765232,-22.67667,-7.194417,0.2835546494064235,0.019391
moving,05/18/2023 16:21:47.784699,-22.41685,-7.128668,0.2680100061583533,0.019467
moving,05/18/2023 16:21:47.795230,-22.15794,-7.033279,0.27592290485024995,0.010531
moving,05/18/2023 16:21:47.816582,-21.91795,-6.90415,0.27252430853228415,0.021352
moving,05/18/2023 16:21:47.824713,-21.68168,-6.735749,0.2901420509009342,0.008131
moving,05/18/2023 16:21:47.842878,-21.46729,-6.578093,0.26611742978617686,0.018165
moving,05/18/2023 16:21:47.864850,-21.24669,-6.433734,0.2636358869368865,0.021972
moving,05/18/2023 16:21:47.884604,-21.02452,-6.317183,0.2508857200021574,0.019754
moving,05/18/2023 16:21:47.895223,-20.78799,-6.222011,0.25495911531851373,0.010619
moving,05/18/2023 16:21:47.914833,-20.78799,-6.222011,0.0,0.01961
moving,05/18/2023 16:21:47.934527,-20.78799,-6.222011,0.0,0.019694
moving,05/18/2023 16:21:47.945409,-20.52899,-6.185842,0.2615132818061067,0.010882
moving,05/18/2023 16:21:47.965151,-20.26683,-6.144809,0.26535179043865664,0.019742
moving,05/18/2023 16:21:47.984771,-20.26683,-6.144809,0.0,0.01962
moving,05/18/2023 16:21:47.995407,-20.26683,-6.144809,0.0,0.010636
moving,05/18/2023 16:21:48.015002,-19.99784,-6.076487,0.27753110777712714,0.019595
moving,05/18/2023 16:21:48.035134,-19.72785,-5.995359,0.2819155059304118,0.020132
moving,05/18/2023 16:21:48.045464,-19.47948,-5.920992,0.2592645513544044,0.01033
moving,05/18/2023 16:21:48.064999,-19.23008,-5.832898,0.2645012529951397,0.019535
moving,05/18/2023 16:21:48.084540,-19.23008,-5.832898,0.0,0.019541
moving,05/18/2023 16:21:48.095077,-19.23008,-5.832898,0.0,0.010537
moving,05/18/2023 16:21:48.114916,-18.98573,-5.747769,0.25875445723890517,0.019839
moving,05/18/2023 16:21:48.134679,-12.88028,-3.533571,6.49455098414848,0.019763
moving,05/18/2023 16:21:48.150097,-12.89078,-3.561108,0.02947094109457618,0.015418
