Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
302,05/18/2023 18:12:43.137348,531,True,True,True,True,Eyes,2.472623,-0.01023813,-2.403971,-0.735335,-0.5817211,-0.3476825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.245722,0.7983062,1.332124,2.541192,-0.001785036,-2.547332,0.1449796,-0.7993287,0.1664757,0.5588742,25.35264,249.2689,357.1016,0.7204126,-0.003228497,-0.6935344,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.1105943,-0.2015092,0.8978056,-0.3332811,-0.04569489,0.9417196,-0.4178507,0.9025335,-0.1040868,-0.8451772,-0.4281883,-0.319891,static,64.69418,59.13412,7.022486,-12.65019,5.51051724378282,6.154569833121452,92.08154783128776,18.865445711701458,107.3425207489511
303,05/18/2023 18:12:43.152399,532,True,True,True,True,Eyes,2.475221,-0.01002093,-2.410394,-0.7393676,-0.5807674,-0.3406534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.233436,0.8010961,1.373098,2.542387,-0.001658317,-2.55314,0.1437234,-0.7963736,0.1639517,0.5641388,25.0427,250.009,357.2206,0.7200713,-0.003202556,-0.6938894,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.1058654,-0.1971861,0.9004501,-0.322182,-0.04393202,0.9456578,-0.4138981,0.9049268,-0.09897369,-0.8514031,-0.4232935,-0.3097345,static,65.26276,59.60593,6.705447,-12.352,5.5467700376999,6.175193970363763,92.7733937918888,18.563390011483577,106.94959772605287
304,05/18/2023 18:12:43.167029,533,True,True,True,True,Eyes,2.477755,-0.009814274,-2.416798,-0.743253,-0.5798708,-0.3336537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.215996,0.8203949,1.415021,2.543244,-0.001247343,-2.559271,0.1448275,-0.7925105,0.161602,0.5699447,24.91226,250.8115,357.1341,0.7197078,-0.003172391,-0.6942667,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.1018099,-0.1913244,0.9032154,-0.3083762,-0.0453462,0.9501831,-0.413763,0.9058197,-0.09105521,-0.8565655,-0.4212298,-0.2980958,static,65.82421,60.08417,6.431203,-11.95994,5.582286471183055,6.19633828949081,93.36960461624622,18.17611346240813,106.64671563890671
305,05/18/2023 18:12:43.186887,534,True,True,True,True,Eyes,2.480224,-0.009604624,-2.423204,-0.7470583,-0.5790518,-0.3265009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.197625,0.8456734,1.454665,2.544375,-0.001263738,-2.565576,0.1469321,-0.7883183,0.1602475,0.5755745,24.94783,251.6085,357.0166,0.7193244,-0.003138778,-0.6946644,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.0964734,-0.1850262,0.9060028,-0.2942498,-0.04718976,0.9545627,-0.4161274,0.9054633,-0.08351136,-0.8603807,-0.4217929,-0.2860694,static,66.39233,60.58333,6.078092,-11.54237,5.6178770915621525,6.218695038068178,94.02086952379585,17.767026454880856,106.28717443527036
306,05/18/2023 18:12:43.196951,535,True,True,True,True,Eyes,2.48262,-0.009378959,-2.429643,-0.7507448,-0.5782031,-0.3194736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.180597,0.8676403,1.491895,2.545365,-0.0009800643,-2.572132,0.1487474,-0.7843249,0.1592044,0.5808293,24.9944,252.3649,356.9394,0.7189217,-0.003101982,-0.6950815,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.09185067,-0.1788931,0.9086877,-0.2810232,-0.04839137,0.9584802,-0.4182737,0.9050564,-0.07694234,-0.8637552,-0.4225297,-0.2745826,static,66.9482,61.0781,5.771885,-11.13737,5.652554860000154,6.240971730922704,94.64468090864972,17.378751422327266,105.95474474058715
307,05/18/2023 18:12:43.217341,536,True,True,True,True,Eyes,2.484956,-0.009179133,-2.436098,-0.7545085,-0.5772058,-0.3123306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.164111,0.8833997,1.530071,2.545982,-0.0004098788,-2.578969,0.1495054,-0.7807767,0.156614,0.5860956,24.82259,253.0945,356.8496,0.7185,-0.003061842,-0.6955176,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.08686355,-0.1738884,0.9106109,-0.2682805,-0.04987917,0.9620489,-0.4170423,0.9062404,-0.06931218,-0.8683903,-0.41981,-0.2639284,static,67.51277,61.58183,5.448981,-10.81093,5.687747619207049,6.26367380184264,95.35525997790641,17.076273143995643,105.54783896447215
308,05/18/2023 18:12:43.237544,537,True,True,True,True,Eyes,2.487268,-0.008987394,-2.442599,-0.7581055,-0.5762502,-0.3053063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.149058,0.8880363,1.571117,2.546918,-0.0008693449,-2.585882,0.148468,-0.7775449,0.1535901,0.5914316,24.48554,253.8434,356.9006,0.7180603,-0.003019437,-0.6959721,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.08299267,-0.1678368,0.9127951,-0.2563318,-0.04920493,0.9653357,-0.4125571,0.9087347,-0.06322902,-0.8741229,-0.4144636,-0.2532374,static,68.06424,62.08466,5.195132,-10.41868,5.721877591824621,6.286529623650249,95.96488447276568,16.71351218291965,105.23666151774536
309,05/18/2023 18:12:43.252056,538,True,True,True,True,Eyes,2.489521,-0.008783915,-2.449138,-0.7616266,-0.5753461,-0.2981642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.136682,0.8944606,1.606716,2.54867,-0.000883542,-2.593193,0.1481928,-0.7742581,0.1527348,0.5960165,24.40368,254.532,357.0155,0.7176047,-0.002975396,-0.6964422,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.07920167,-0.1614479,0.9148904,-0.2456067,-0.04741409,0.9682093,-0.4115439,0.9094219,-0.05986155,-0.8776725,-0.413163,-0.2428731,static,68.62048,62.60526,4.947736,-10.00778,5.755996511600675,6.310429708865216,96.57573145739636,16.338214503338975,104.92998884303914
310,05/18/2023 18:12:43.266985,539,True,True,True,True,Eyes,2.491704,-0.008569259,-2.455685,-0.7649738,-0.574457,-0.2912292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.124153,0.9035679,1.639197,2.549541,-0.0003902018,-2.600687,0.1485571,-0.7708697,0.1525082,0.6003602,24.42509,255.1978,357.1093,0.7171328,-0.002929462,-0.6969286,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.0755887,-0.1565324,0.9165984,-0.2349974,-0.04591663,0.970911,-0.4121558,0.9093441,-0.05675236,-0.8802863,-0.4135033,-0.2326183,static,69.15794,63.11662,4.714318,-9.691214,5.788773249057404,6.33404874345781,97.23148208399601,16.061242171111296,104.57956437872727
311,05/18/2023 18:12:43.287196,540,True,True,True,True,Eyes,2.493827,-0.008358805,-2.462265,-0.7683355,-0.5735116,-0.2841566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.114527,0.9013628,1.670881,2.550176,0.0001247823,-2.607906,0.1473567,-0.7681103,0.1518532,0.6043453,24.2921,255.8112,357.3067,0.7166443,-0.002881455,-0.6974311,0.0,0.0,0.0,1.773581,-0.5271688,-2.715402,0.07270527,-0.1525489,0.9178907,-0.2261057,-0.04282897,0.973161,-0.409916,0.9104532,-0.05517126,-0.8836545,-0.4113886,-0.223415,static,69.70389,63.64306,4.52889,-9.436032,5.821907951237076,6.358482576237478,97.9200404030986,15.847352653399227,104.21574517404613
