Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/09/2023 18:09:15.147309,-24.07384,-13.02576,0.00505974307648238,0.010145
moving,05/09/2023 18:09:15.167513,-24.07332,-13.02084,0.004947403359339546,0.020204
moving,05/09/2023 18:09:15.186800,-24.07341,-13.01624,0.004600880350541563,0.019287
moving,05/09/2023 18:09:15.196957,-24.07519,-13.01093,0.005600401771301526,0.010157
moving,05/09/2023 18:09:15.217153,-24.07966,-13.00375,0.008457736103710683,0.020196
moving,05/09/2023 18:09:15.237133,-24.0845,-12.99688,0.008403719414638387,0.01998
moving,05/09/2023 18:09:15.247123,-24.09017,-12.99132,0.007941190087136396,0.00999
moving,05/09/2023 18:09:15.267429,-24.0948,-12.98741,0.006060115510448981,0.020306
moving,05/09/2023 18:09:15.277000,-24.09829,-12.98634,0.0036503424496882545,0.009571
moving,05/09/2023 18:09:15.296939,-24.09995,-12.98553,0.0018470787747150669,0.019939
moving,05/09/2023 18:09:15.316892,-24.10198,-12.98545,0.0020315757431130636,0.019953
moving,05/09/2023 18:09:15.333617,-24.10348,-12.98721,0.002312487837805204,0.016725
moving,05/09/2023 18:09:15.347291,-24.10455,-12.99162,0.004537951079506826,0.013674
moving,05/09/2023 18:09:15.367095,-24.10504,-12.99591,0.004317893004696613,0.019804
moving,05/09/2023 18:09:15.377115,-24.09204,-12.99506,0.013027758824907332,0.01002
moving,05/09/2023 18:09:15.397081,-24.0779,-12.99422,0.014164928520823282,0.019966
moving,05/09/2023 18:09:15.417136,-24.0278,-12.97717,0.05292175828522788,0.020055
moving,05/09/2023 18:09:15.437188,-23.97804,-12.96084,0.05237104639015639,0.020052
moving,05/09/2023 18:09:15.447131,-23.89977,-12.93957,0.0811086049688931,0.009943
moving,05/09/2023 18:09:15.467051,-23.81153,-12.91526,0.09152744779572854,0.01992
moving,05/09/2023 18:09:15.476989,-23.69141,-12.87225,0.12758790890989655,0.009938
moving,05/09/2023 18:09:15.497139,-23.56508,-12.82401,0.1352270923299053,0.02015
moving,05/09/2023 18:09:15.516801,-23.42587,-12.77199,0.14861192583369434,0.019662
moving,05/09/2023 18:09:15.537092,-23.28525,-12.73048,0.14661877267253196,0.020291
moving,05/09/2023 18:09:15.547464,-23.12828,-12.7019,0.15955061046577151,0.010372
moving,05/09/2023 18:09:15.567363,-22.9639,-12.68737,0.1650209238248303,0.019899
moving,05/09/2023 18:09:15.576992,-22.79218,-12.67715,0.17202385532245285,0.009629
moving,05/09/2023 18:09:15.596914,-22.61711,-12.66338,0.175610699560133,0.019922
moving,05/09/2023 18:09:15.617119,-22.43505,-12.63345,0.1845037899339739,0.020205
moving,05/09/2023 18:09:15.636862,-22.25121,-12.60421,0.18615080768022466,0.019743
moving,05/09/2023 18:09:15.647356,-22.03998,-12.57671,0.2130125885951349,0.010494
moving,05/09/2023 18:09:15.667186,-21.8253,-12.55489,0.21578603940014415,0.01983
moving,05/09/2023 18:09:15.676890,-21.59039,-12.53353,0.23587911671023284,0.009704
moving,05/09/2023 18:09:15.696939,-21.35145,-12.51564,0.2396087972091171,0.020049
