Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/10/2023 13:11:15.109610,-34.84759,29.11559,0.1702706918409611,0.019395
moving,05/10/2023 13:11:15.129949,-34.97448,29.21843,0.16333137389981411,0.020339
moving,05/10/2023 13:11:15.139719,-35.09459,29.31673,0.15520728752220014,0.00977
moving,05/10/2023 13:11:15.159275,-35.20965,29.41083,0.14863920613351564,0.019556
moving,05/10/2023 13:11:15.180233,-35.31857,29.50155,0.14175219504473177,0.020958
moving,05/10/2023 13:11:15.189929,-35.42312,29.58859,0.13603920060041108,0.009696
moving,05/10/2023 13:11:15.209783,-35.52314,29.67119,0.12971800337655534,0.019854
moving,05/10/2023 13:11:15.229728,-35.61909,29.75076,0.12465066145031256,0.019945
moving,05/10/2023 13:11:15.240023,-35.70984,29.82776,0.11901496754610424,0.010295
moving,05/10/2023 13:11:15.259757,-35.79714,29.90186,0.11450807831764322,0.019734
moving,05/10/2023 13:11:15.280024,-35.87747,29.97395,0.10793459593661558,0.020267
moving,05/10/2023 13:11:15.289985,-35.95394,30.04303,0.10305196407638482,0.009961
moving,05/10/2023 13:11:15.309432,-36.02335,30.1097,0.09624259452030312,0.019447
moving,05/10/2023 13:11:15.329672,-36.08985,30.17471,0.09299758115133867,0.02024
moving,05/10/2023 13:11:15.339633,-36.15108,30.23442,0.08552424802358755,0.009961
moving,05/10/2023 13:11:15.359671,-36.20979,30.29188,0.0821493499669938,0.020038
moving,05/10/2023 13:11:15.379430,-36.23557,30.32516,0.0420971115398708,0.019759
moving,05/10/2023 13:11:15.389373,-36.2599,30.35588,0.0391875911482178,0.009943
moving,05/10/2023 13:11:15.409714,-36.26084,30.36922,0.013373077431914673,0.020341
moving,05/10/2023 13:11:15.429549,-36.24087,30.36338,0.02080640526376478,0.019835
moving,05/10/2023 13:11:15.439304,-36.22046,30.3558,0.02177210371094032,0.009755
moving,05/10/2023 13:11:15.465092,-36.17535,30.3302,0.0518678329988824,0.025788
moving,05/10/2023 13:11:15.480803,-36.12822,30.30197,0.054937872183042344,0.015711
moving,05/10/2023 13:11:15.489617,-36.07946,30.27072,0.05791459315233202,0.008814
moving,05/10/2023 13:11:15.514081,-36.0073,30.2228,0.08662212188580723,0.024464
moving,05/10/2023 13:11:15.529479,-35.93206,30.17098,0.09135846977702756,0.015398
moving,05/10/2023 13:11:15.539584,-35.832,30.10053,0.12237322460407739,0.010105
moving,05/10/2023 13:11:15.559310,-35.73342,30.02681,0.12309612016631304,0.019726
moving,05/10/2023 13:11:15.579695,-35.61462,29.93638,0.14930179134893293,0.020385
moving,05/10/2023 13:11:15.589889,-35.49723,29.84586,0.14823725071654675,0.010194
moving,05/10/2023 13:11:15.609499,-35.36507,29.74511,0.166183116170083,0.01961
moving,05/10/2023 13:11:15.629582,-35.23526,29.64315,0.16506507110834195,0.020083
moving,05/10/2023 13:11:15.639711,-35.09237,29.53001,0.18225863957573546,0.010129
moving,05/10/2023 13:11:15.659677,-34.952,29.41577,0.18098208336739233,0.019966
moving,05/10/2023 13:11:15.669641,-34.79998,29.2902,0.19717480898938386,0.009964
moving,05/10/2023 13:11:15.691309,-34.65249,29.16592,0.1928699522994679,0.021668
moving,05/10/2023 13:11:15.713503,-34.49369,29.0349,0.20587297151398884,0.022194
moving,05/10/2023 13:11:15.729524,-34.33955,28.90828,0.1994787306957792,0.016021
moving,05/10/2023 13:11:15.739660,-34.17772,28.77685,0.2084773220280831,0.010136
