,Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,0,05/10/2023 15:32:01.782106,212,True,True,True,True,Eyes,1.17282,-0.3131296,-2.791951,-0.1570955,-0.1531648,0.9756339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.164033,1.038573,2.615801,1.157538,-0.3111991,-2.799872,0.1300131,0.003021438,0.007352034,0.9914804,14.93757,0.4686575,0.9111453,0.3824124,-0.1030727,-0.9182239,0,0,0,0.8256451,-0.67031,-0.6645895,-0.3460801,0.2082401,2.153,0.9998736,0.01536445,-0.004079672,-0.01379314,0.9660851,0.2578554,0.007903114,-0.2577665,0.9661749,static,-9.147192,-8.922042,-9.131793,5.524517,-9.164994677167568,4.317840537715494,14.446567207114708,1.207133147584885,14.265306394628
1,1,05/10/2023 15:32:01.807068,213,True,True,True,True,Eyes,1.172804,-0.3131264,-2.791954,-0.1570964,-0.1532038,0.9756276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.162597,1.039043,2.616366,1.157615,-0.311117,-2.799955,0.1300563,0.002769995,0.00745355,0.9914748,14.94276,0.4407019,0.9192376,0.3826947,-0.1030508,-0.9181084,0,0,0,0.8246512,-0.6704684,-0.6648798,-0.34608,0.20824,2.153,0.9998735,0.01550052,-0.003553997,-0.0140595,0.9660596,0.2579364,0.007431523,-0.2578539,0.9661554,static,-9.147298,-8.924339,-9.13179,5.524514,-9.16503104719804,4.315620125000816,14.44886132239053,1.2093508044522752,14.267565447503358
2,2,05/10/2023 15:32:01.822347,214,True,True,True,True,Eyes,1.172789,-0.3131257,-2.791955,-0.1570759,-0.1532567,0.9756227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.162294,1.039616,2.616351,1.157743,-0.3111237,-2.799974,0.1301565,0.002692751,0.007457561,0.9914618,14.9544,0.4317882,0.9185881,0.3829482,-0.1030309,-0.9180046,0,0,0,0.8244492,-0.6709048,-0.6650228,-0.34608,0.2082401,2.153,0.9998742,0.01548873,-0.003398218,-0.01408682,0.9660074,0.2581306,0.00728082,-0.2580503,0.966104,static,-9.146171,-8.927415,-9.13179,5.524515,-9.163829876515116,4.312626041267892,14.451937155207291,1.2123124192978876,14.270633109904066
3,3,05/10/2023 15:32:01.837032,215,True,True,True,True,Eyes,1.172778,-0.313124,-2.791957,-0.1569562,-0.1533166,0.9756325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.163662,1.040675,2.615241,1.157739,-0.3111835,-2.799894,0.1303401,0.002959439,0.007510552,0.9914365,14.97534,0.4641687,0.9290708,0.3831759,-0.1030131,-0.9179114,0,0,0,0.8256127,-0.6718057,-0.6649026,-0.3460801,0.2082401,2.153,0.9998696,0.01566394,-0.003910339,-0.014121,0.9659101,0.2584923,0.007826042,-0.2584034,0.9660054,static,-9.139228,-8.930759,-9.131792,5.524515,-9.15689218751066,4.309278070864886,14.455275912592327,1.2154961181948758,14.274101315646702
4,4,05/10/2023 15:32:01.852292,216,True,True,True,True,Eyes,1.172782,-0.3131242,-2.791959,-0.1567656,-0.1533695,0.9756548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1654,1.040935,2.61443,1.157817,-0.3111592,-2.799927,0.1304151,0.003259394,0.007491508,0.9914259,14.98375,0.4992336,0.9315251,0.3833806,-0.102997,-0.9178277,0,0,0,0.826988,-0.6721085,-0.6647893,-0.3460801,0.2082399,2.153,0.9998665,0.0157047,-0.004508883,-0.0140044,0.9658716,0.2586427,0.008416906,-0.258545,0.9659625,static,-9.12811,-8.933589,-9.131793,5.524512,-9.145857477145247,4.306359424836384,14.458101469096487,1.2182337648805817,14.277162134148123
5,5,05/10/2023 15:32:01.872389,217,True,True,True,True,Eyes,1.172789,-0.3131222,-2.791962,-0.1565527,-0.1534256,0.9756802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.167448,1.040394,2.613743,1.157873,-0.3112022,-2.799909,0.1303462,0.003610682,0.00743855,0.9914341,14.97548,0.5396521,0.9306732,0.3835649,-0.1029824,-0.9177523,0,0,0,0.8285543,-0.6718388,-0.6644849,-0.3460801,0.2082401,2.153,0.9998633,0.01569094,-0.005220331,-0.01380839,0.9659091,0.2585131,0.009098679,-0.2584057,0.9659936,static,-9.115692,-8.936574,-9.131792,5.524515,-9.13353771589608,4.3032696806400175,14.461097962323644,1.221246567070981,14.280428374045488
6,6,05/10/2023 15:32:01.882106,218,True,True,True,True,Eyes,1.17279,-0.3131194,-2.791965,-0.1562988,-0.1534847,0.9757116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.169751,1.040398,2.612768,1.157938,-0.3111434,-2.799941,0.1304282,0.00399062,0.007316367,0.9914229,14.98467,0.582538,0.9222457,0.3837309,-0.1029693,-0.9176844,0,0,0,0.8302476,-0.6720724,-0.6643164,-0.3460801,0.2082401,2.153,0.9998611,0.0155482,-0.006004263,-0.01346625,0.96587,0.2586773,0.009821304,-0.2585606,0.9659451,static,-9.100865,-8.93968,-9.131791,5.524515,-9.118841580118348,4.300023687709512,14.464228061514413,1.2245597826770864,14.28387948834276
7,7,05/10/2023 15:32:01.902144,219,True,True,True,True,Eyes,1.172793,-0.3131143,-2.791968,-0.1560339,-0.1535388,0.9757455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.171582,1.04025,2.611983,1.157941,-0.3111221,-2.799921,0.1304654,0.004300193,0.007213589,0.9914175,14.98874,0.6173989,0.9149787,0.3838803,-0.1029573,-0.9176233,0,0,0,0.8315747,-0.6721598,-0.6641115,-0.3460801,0.20824,2.153,0.999859,0.01542541,-0.006644326,-0.0131813,0.9658535,0.2587533,0.01040882,-0.2586292,0.9659206,static,-9.08539,-8.942473,-9.131791,5.524514,-9.10351645537089,4.297069951238436,14.467061412428233,1.2277696619130822,14.28705527002656
8,8,05/10/2023 15:32:01.922323,220,True,True,True,True,Eyes,1.172798,-0.3131135,-2.79197,-0.1557317,-0.1535853,0.9757865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.173337,1.039657,2.611419,1.157977,-0.3110605,-2.799901,0.1304538,0.004571746,0.007041974,0.9914188,14.98727,0.6466685,0.8989848,0.3840148,-0.1029464,-0.9175683,0,0,0,0.8327597,-0.6719491,-0.6638911,-0.34608,0.2082401,2.153,0.999859,0.01515589,-0.007227724,-0.01277029,0.9658645,0.2587332,0.01090233,-0.2586044,0.9659218,static,-9.067712,-8.944767,-9.13179,5.524515,-9.086036224006222,4.294563110719496,14.469423885753296,1.2308026072292708,14.289821697692055
9,9,05/10/2023 15:32:01.942125,221,True,True,True,True,Eyes,1.172803,-0.3131119,-2.791973,-0.1554353,-0.1536273,0.9758271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.174428,1.040573,2.610564,1.157968,-0.3111597,-2.799895,0.1306425,0.004762191,0.006988434,0.9913936,15.00894,0.6684493,0.8958112,0.3841359,-0.1029366,-0.9175187,0,0,0,0.8335716,-0.6728363,-0.6638935,-0.3460801,0.20824,2.153,0.9998569,0.01510087,-0.007616437,-0.01261229,0.9657674,0.2591029,0.01126838,-0.2589698,0.9658197,static,-9.050368,-8.94681,-9.131791,5.524514,-9.068892406887958,4.292304523611053,14.471553061710583,1.233813773110917,14.29234251742763
