,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
0,05/10/2023 16:27:07.084950,218,True,True,True,True,Eyes,1.286907,-0.3610676,-3.233377,-0.5519562,0.5595018,0.6183059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7290674,-1.070832,3.258618,1.289785,-0.3659465,-3.24027,-0.2048999,-0.2881828,-0.02137531,0.9351524,336.7,324.7383,4.879215,0.3676264,-0.1030869,-0.924242,0,0,0,0.6329419,0.2735244,-2.547908,-0.07279867,0.206976,1.129043,0.8329875,0.07811891,0.5477491,0.1580756,0.9151183,-0.3709052,-0.53023,0.3955452,0.7499334,moving,-41.755,42.14178,-3.689221,10.38811
1,05/10/2023 16:27:07.104677,219,True,True,True,True,Eyes,1.286884,-0.3611085,-3.233291,-0.5502974,0.5590445,0.6201952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72261,-1.069291,3.260517,1.289903,-0.3660083,-3.240171,-0.2046587,-0.2872699,-0.02163232,0.9354801,336.713,324.8655,4.815661,0.3676457,-0.1030981,-0.9242331,0,0,0,0.6369448,0.2705802,-2.547768,-0.06945175,0.2044803,1.125782,0.8340161,0.07711133,0.546325,0.1580578,0.9152937,-0.3704795,-0.528616,0.3953368,0.7511817,moving,-41.58255,42.03153,-3.530217,10.29463
2,05/10/2023 16:27:07.124864,220,True,True,True,True,Eyes,1.286815,-0.3611536,-3.233236,-0.5484456,0.5585015,0.6223211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7170942,-1.067656,3.262238,1.289958,-0.3660355,-3.240113,-0.2043962,-0.2864764,-0.02191721,0.9357741,336.7281,324.9783,4.751207,0.3676633,-0.1031096,-0.9242249,0,0,0,0.6409401,0.2676415,-2.547628,-0.06595963,0.2016411,1.122625,0.8349018,0.07609025,0.545114,0.1581285,0.9154837,-0.3699797,-0.5271948,0.3950948,0.752307,moving,-41.38942,41.90636,-3.362537,10.18264
3,05/10/2023 16:27:07.135429,221,True,True,True,True,Eyes,1.28675,-0.3611971,-3.233183,-0.5466246,0.5579643,0.6244017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7118776,-1.064472,3.264414,1.290031,-0.3660005,-3.240082,-0.2039072,-0.2857381,-0.02206325,0.936103,336.7736,325.0858,4.695211,0.3676779,-0.1031215,-0.9242178,0,0,0,0.6451721,0.2645286,-2.54748,-0.06306833,0.1988955,1.119017,0.8357339,0.07522117,0.5439583,0.1578351,0.9158702,-0.3691477,-0.5259628,0.3943649,0.7535512,moving,-41.20012,41.78392,-3.225805,10.07858
4,05/10/2023 16:27:07.154546,222,True,True,True,True,Eyes,1.286644,-0.3612467,-3.233156,-0.5446294,0.5573376,0.6267006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069868,-1.062783,3.26601,1.290052,-0.3659988,-3.240057,-0.2036556,-0.2850546,-0.02206475,0.9363661,336.7981,325.1781,4.667042,0.3676899,-0.1031336,-0.9242116,0,0,0,0.649214,0.2615556,-2.547338,-0.06076282,0.1967561,1.115601,0.836514,0.07478458,0.5428181,0.1574273,0.9160751,-0.3688132,-0.5248438,0.3939718,0.7545364,moving,-40.99203,41.64735,-3.117616,10.00227
5,05/10/2023 16:27:07.175108,223,True,True,True,True,Eyes,1.286545,-0.3612908,-3.23313,-0.5426618,0.5567197,0.6289526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.700889,-1.061292,3.267747,1.290118,-0.3660342,-3.239964,-0.2034646,-0.2842409,-0.02177879,0.9366616,336.8253,325.2796,4.671259,0.3676983,-0.1031461,-0.9242069,0,0,0,0.6532007,0.2586233,-2.547199,-0.05899748,0.1959205,1.112091,0.8374656,0.07486723,0.5413375,0.1564646,0.9162557,-0.3687741,-0.5236127,0.3935358,0.7556185,moving,-40.78771,41.51376,-3.036748,9.991446
6,05/10/2023 16:27:07.191121,224,True,True,True,True,Eyes,1.286395,-0.3613451,-3.233131,-0.5405401,0.5560123,0.6314006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6946044,-1.059848,3.269591,1.290212,-0.3659399,-3.239972,-0.2032422,-0.2833804,-0.02166977,0.9369732,336.8496,325.3915,4.652561,0.3677036,-0.1031588,-0.9242034,0,0,0,0.6573815,0.2555482,-2.547053,-0.057266,0.1942749,1.108345,0.838452,0.07458171,0.5398481,0.1557977,0.9164461,-0.3685834,-0.5222312,0.3931465,0.7567763,moving,-40.56673,41.3672,-2.957729,9.942016
7,05/10/2023 16:27:07.204809,225,True,True,True,True,Eyes,1.286252,-0.361398,-3.233129,-0.5384527,0.555307,0.6338003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6874839,-1.056941,3.271877,1.290214,-0.3660452,-3.239798,-0.2028676,-0.2824297,-0.02128394,0.9373502,336.8999,325.5119,4.657619,0.3677046,-0.1031719,-0.9242015,0,0,0,0.6613495,0.2526296,-2.546914,-0.05543482,0.1923997,1.10501,0.839561,0.07469065,0.5381066,0.1544927,0.9167835,-0.3682935,-0.5208352,0.3923384,0.7581564,moving,-40.34996,41.22337,-2.871939,9.87708
8,05/10/2023 16:27:07.224714,226,True,True,True,True,Eyes,1.286078,-0.361448,-3.233145,-0.5362317,0.5545174,0.6363693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679703,-1.055069,3.274026,1.290236,-0.3660557,-3.239708,-0.2026444,-0.2814025,-0.02071065,0.9377201,336.9395,325.6348,4.688552,0.3677019,-0.1031854,-0.9242011,0,0,0,0.6653346,0.2496985,-2.546774,-0.05383405,0.1910618,1.101414,0.8407675,0.0752077,0.5361473,0.1528909,0.9170126,-0.3683915,-0.5193596,0.3917036,0.7594957,moving,-40.11891,41.06814,-2.79823,9.841137
9,05/10/2023 16:27:07.239738,227,True,True,True,True,Eyes,1.285912,-0.361493,-3.23316,-0.5340377,0.553757,0.6388717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671482,-1.05424,3.275929,1.290286,-0.3659013,-3.239645,-0.202556,-0.2803222,-0.02008956,0.9380763,336.9653,325.7607,4.729076,0.367695,-0.103199,-0.9242023,0,0,0,0.6695815,0.2465747,-2.546626,-0.05125463,0.1893298,1.097879,0.8420318,0.07587081,0.5340656,0.151253,0.9171349,-0.3687629,-0.5177886,0.3912891,0.7607811,moving,-39.89251,40.91787,-2.67292,9.78445
