Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/11/2023 12:15:41.455335,-19.94138,5.570533,0.007554577155605493,0.009986
moving,05/11/2023 12:15:41.475541,-19.93955,5.563982,0.00680180130553614,0.020206
moving,05/11/2023 12:15:41.495338,-19.93843,5.56176,0.0024883094662849397,0.019797
moving,05/11/2023 12:15:41.511346,-19.9366,5.559129,0.0032048496064561414,0.016008
moving,05/11/2023 12:15:41.525478,-19.93476,5.556743,0.0030130708587741807,0.014132
moving,05/11/2023 12:15:41.545290,-19.93307,5.554237,0.0030226041752107746,0.019812
moving,05/11/2023 12:15:41.555168,-19.93185,5.550302,0.004119784581746348,0.009878
moving,05/11/2023 12:15:41.575104,-19.93126,5.544622,0.005710560392815906,0.019936
moving,05/11/2023 12:15:41.595461,-19.93101,5.538109,0.00651779633004902,0.020357
moving,05/11/2023 12:15:41.611343,-19.92989,5.530224,0.007964146219150755,0.015882
moving,05/11/2023 12:15:41.625494,-19.92846,5.523775,0.0066056416039622255,0.014151
moving,05/11/2023 12:15:41.645688,-19.92731,5.517211,0.006663977490958855,0.020194
moving,05/11/2023 12:15:41.655258,-19.92652,5.510679,0.006579599075931406,0.00957
moving,05/11/2023 12:15:41.675826,-19.92517,5.503467,0.00733726406775688,0.020568
moving,05/11/2023 12:15:41.695498,-19.92356,5.495986,0.007652284691515387,0.019672
moving,05/11/2023 12:15:41.711704,-19.91902,5.488727,0.00856181528649111,0.016206
moving,05/11/2023 12:15:41.725306,-19.91386,5.481366,0.00898943385314077,0.013602
moving,05/11/2023 12:15:41.745361,-19.90538,5.475169,0.010503009521083993,0.020055
moving,05/11/2023 12:15:41.755471,-19.89704,5.467865,0.01108620836896068,0.01011
moving,05/11/2023 12:15:41.775533,-19.88577,5.460105,0.013683219650359416,0.020062
moving,05/11/2023 12:15:41.795362,-19.87524,5.45366,0.012345805968019576,0.019829
moving,05/11/2023 12:15:41.811765,-19.86092,5.445006,0.016731829427771495,0.016403
moving,05/11/2023 12:15:41.825815,-19.8478,5.43693,0.015406368034031174,0.01405
moving,05/11/2023 12:15:41.845688,-19.82074,5.421882,0.030962653374669583,0.019873
moving,05/11/2023 12:15:41.865256,-19.79526,5.407005,0.029505178003192852,0.019568
moving,05/11/2023 12:15:41.875525,-19.74518,5.376303,0.05874197140035185,0.010269
moving,05/11/2023 12:15:41.895190,-19.69666,5.346836,0.056767019377452,0.019665
moving,05/11/2023 12:15:41.915383,-19.63346,5.304463,0.07609015132722634,0.020193
moving,05/11/2023 12:15:41.925224,-19.57278,5.263865,0.07300862965430696,0.009841
moving,05/11/2023 12:15:41.945747,-19.49867,5.212135,0.09037856493660516,0.020523
moving,05/11/2023 12:15:41.965726,-19.42663,5.161801,0.08788215493489111,0.019979
moving,05/11/2023 12:15:41.975584,-19.34505,5.100972,0.10176179853461621,0.009858
moving,05/11/2023 12:15:41.995177,-19.26756,5.042748,0.09692643744613826,0.019593
moving,05/11/2023 12:15:42.015709,-19.18217,4.979548,0.10623413811011956,0.020532
moving,05/11/2023 12:15:42.025491,-19.0998,4.919602,0.10187413713008892,0.009782
moving,05/11/2023 12:15:42.045559,-19.00767,4.851717,0.11443911099357411,0.020068
moving,05/11/2023 12:15:42.065128,-18.91833,4.786448,0.1106421165786337,0.019569
moving,05/11/2023 12:15:42.075661,-18.8225,4.71716,0.1182548766182601,0.010533
moving,05/11/2023 12:15:42.095216,-18.73157,4.648916,0.11369040608600195,0.019555
moving,05/11/2023 12:15:42.111995,-18.63778,4.577538,0.11786171127215321,0.016779
moving,05/11/2023 12:15:42.127596,-18.54809,4.508101,0.11342747933812217,0.015601
moving,05/11/2023 12:15:42.145510,-18.4561,4.435392,0.11725510130053957,0.017914
moving,05/11/2023 12:15:42.165548,-18.3666,4.367548,0.1123078729920578,0.020038
moving,05/11/2023 12:15:42.175576,-18.27423,4.288147,0.12180613983293198,0.010028
moving,05/11/2023 12:15:42.195663,-18.18597,4.209596,0.11815281292038583,0.020087
moving,05/11/2023 12:15:42.211855,-18.09685,4.123231,0.12410192434044015,0.016192
moving,05/11/2023 12:15:42.225705,-18.01034,4.03901,0.12073589748289444,0.01385
moving,05/11/2023 12:15:42.246406,-17.92148,3.947719,0.12739759134693274,0.020701
moving,05/11/2023 12:15:42.265258,-17.83596,3.861881,0.1211686124538854,0.018852
moving,05/11/2023 12:15:42.275420,-17.74369,3.772144,0.12871084674183386,0.010162
moving,05/11/2023 12:15:42.295716,-17.6555,3.68625,0.123106682743059,0.020296
moving,05/11/2023 12:15:42.315225,-17.56323,3.598014,0.12766888656207434,0.019509
moving,05/11/2023 12:15:42.325566,-17.47478,3.512418,0.12308565195017793,0.010341
moving,05/11/2023 12:15:42.345405,-17.38159,3.424351,0.1282192364234007,0.019839
