,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
300,05/15/2023 09:22:00.348478,528,True,True,True,True,Eyes,1.379076,-0.3328178,-3.311915,0.4505515,-0.3652579,0.8146104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.662637,1.020023,2.216668,1.38302,-0.3321512,-3.319733,0.1555759,0.210793,-0.04902624,0.9638253,18.69708,24.38519,358.2506,0.3825765,-0.09211255,-0.9193203,0,0,0,1.796425,-0.6512322,-2.582514,0.09598529,-0.06326887,0.9026678,0.9063255,-0.0289168,-0.4215898,0.1600941,0.9467851,0.2792273,0.3910806,-0.3205648,0.8627249,static,28.94647,-24.15068,6.069746,-4.00936
301,05/15/2023 09:22:00.358294,529,True,True,True,True,Eyes,1.37913,-0.3328201,-3.311854,0.4508608,-0.3649638,0.814571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.662321,1.017325,2.218506,1.383044,-0.3323454,-3.31985,0.154865,0.2107676,-0.04879828,0.9639568,18.6107,24.38173,358.2587,0.3825949,-0.0921386,-0.91931,0,0,0,1.796425,-0.6512322,-2.582514,0.09471291,-0.06095479,0.9026358,0.9063914,-0.02879782,-0.4214561,0.1593599,0.9472711,0.2779961,0.3912275,-0.3191364,0.8631877,static,28.9643,-24.13449,5.990085,-3.863306
302,05/15/2023 09:22:00.378652,530,True,True,True,True,Eyes,1.379181,-0.3328388,-3.3118,0.4511893,-0.3645709,0.8145651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.663489,1.009067,2.220648,1.383122,-0.33166,-3.319735,0.1535466,0.2109878,-0.04883276,0.9641177,18.46228,24.39968,358.2257,0.3826133,-0.09216221,-0.9192999,0,0,0,1.796425,-0.6512322,-2.582514,0.09320545,-0.05948417,0.9022763,0.906199,-0.02936811,-0.4218304,0.158954,0.9480776,0.2754678,0.391838,-0.3166803,0.8638151,static,28.98216,-24.11162,5.897755,-3.771868
303,05/15/2023 09:22:00.395279,531,True,True,True,True,Eyes,1.379259,-0.3328534,-3.311763,0.451551,-0.3640851,0.8145819,0.8951092,1.783447,-0.6587493,-2.582623,-0.8653111,-0.5011823,-0.007280272,0.06111231,-0.04584551,0.8970914,1.383157,-0.3317416,-3.319809,0.1521457,0.2112408,-0.04870765,0.9642909,18.30067,24.42408,358.2099,0.3826316,-0.09218404,-0.9192901,0,0,0,1.796425,-0.6512322,-2.582514,0.09156492,-0.05715926,0.9021997,0.9060098,-0.02965792,-0.4222164,0.1582154,0.9489585,0.2728474,0.3925737,-0.3140035,0.864458,static,29.00113,-24.08271,5.795148,-3.625154
304,05/15/2023 09:22:00.408581,532,True,True,True,True,Eyes,1.379332,-0.3328723,-3.311732,0.451946,-0.3635548,0.8145998,0.8930117,1.782925,-0.6575311,-2.584285,-0.8998793,-0.4198597,-0.1180472,0.06089634,-0.04615667,0.8950738,1.383211,-0.3316756,-3.319841,0.1515212,0.2115762,-0.04914495,0.9642934,18.24117,24.45335,358.1498,0.3826503,-0.09220411,-0.9192803,0,0,0,1.796425,-0.6512322,-2.582514,0.08884647,-0.05404443,0.9020312,0.9056405,-0.03066372,-0.4229361,0.1588969,0.9492522,0.271426,0.3931501,-0.3130176,0.8645536,static,29.02184,-24.05114,5.625261,-3.428729
305,05/15/2023 09:22:00.428963,533,True,True,True,True,Eyes,1.379405,-0.3328916,-3.311704,0.4523506,-0.3630228,0.8146124,0.891561,1.782703,-0.6565486,-2.585428,-0.9147093,-0.3543809,-0.194219,0.06065845,-0.04576316,0.8938088,1.383135,-0.3318089,-3.319974,0.1512231,0.2119387,-0.04944728,0.9642451,18.2155,24.49036,358.1142,0.3826692,-0.09222269,-0.9192706,0,0,0,1.796425,-0.6512322,-2.582514,0.08516845,-0.05144483,0.9021137,0.9052739,-0.03125853,-0.4236768,0.1594587,0.9493731,0.2706727,0.3937666,-0.3125919,0.8644271,static,29.04321,-24.0196,5.393302,-3.263871
306,05/15/2023 09:22:00.438618,534,True,True,True,True,Eyes,1.379472,-0.3329096,-3.31168,0.4527516,-0.3625115,0.8146173,0.8904388,1.782619,-0.6557039,-2.586313,-0.9203216,-0.2980921,-0.2532768,0.06031752,-0.04572842,0.8927646,1.383188,-0.3318397,-3.320019,0.1509661,0.2122318,-0.04925561,0.9642307,18.18218,24.52795,358.1357,0.3826881,-0.09223995,-0.919261,0,0,0,1.796425,-0.6512322,-2.582514,0.08083788,-0.04919538,0.9021055,0.9050631,-0.03090793,-0.4241527,0.1590671,0.9495662,0.270225,0.394409,-0.3120394,0.8643337,static,29.06462,-23.98946,5.120611,-3.121474
307,05/15/2023 09:22:00.458715,535,True,True,True,True,Eyes,1.379544,-0.3329279,-3.311665,0.453127,-0.3620251,0.814625,0.8895344,1.782616,-0.6549616,-2.587028,-0.9206501,-0.2486364,-0.3009705,0.06029326,-0.04521948,0.8920166,1.383132,-0.3318218,-3.320081,0.15101,0.2123783,-0.04908685,0.9642001,18.18328,24.54908,358.1593,0.3827069,-0.09225596,-0.9192516,0,0,0,1.796425,-0.6512322,-2.582514,0.07665858,-0.04648757,0.9022433,0.9049718,-0.03051661,-0.4243756,0.1588016,0.9495729,0.2703578,0.3947251,-0.3120577,0.8641829,static,29.08456,-23.9607,4.856439,-2.949524
308,05/15/2023 09:22:00.478663,536,True,True,True,True,Eyes,1.379617,-0.3329503,-3.311653,0.4534974,-0.3615521,0.8146288,0.8887566,1.782666,-0.6542821,-2.587646,-0.9173625,-0.2033488,-0.3421918,0.06054404,-0.04492556,0.891371,1.383176,-0.3318473,-3.320224,0.1509013,0.2123294,-0.04896965,0.9642339,18.16797,24.54454,358.1692,0.3827257,-0.09227084,-0.9192423,0,0,0,1.796425,-0.6512322,-2.582514,0.07337528,-0.04363906,0.9023172,0.9050363,-0.03035478,-0.4242497,0.158518,0.9496615,0.270213,0.3946913,-0.3118038,0.86429,static,29.10434,-23.93282,4.648991,-2.768857
309,05/15/2023 09:22:00.495414,537,True,True,True,True,Eyes,1.379696,-0.3329674,-3.31165,0.4538077,-0.3611602,0.8146299,0.8881475,1.782744,-0.653731,-2.588139,-0.9119554,-0.1665675,-0.3749567,0.06046176,-0.04455452,0.8907797,1.383276,-0.3319675,-3.320275,0.1508047,0.2124764,-0.04901934,0.9642143,18.15851,24.56098,358.1639,0.3827445,-0.0922848,-0.9192331,0,0,0,1.796425,-0.6512322,-2.582514,0.0703761,-0.04078184,0.9024163,0.9049018,-0.0304454,-0.4245301,0.1586152,0.9497101,0.2699852,0.3949608,-0.311647,0.8642235,static,29.12097,-23.90975,4.45926,-2.58754
310,05/15/2023 09:22:00.508578,538,True,True,True,True,Eyes,1.3798,-0.3329659,-3.31166,0.4540865,-0.3607799,0.8146432,0.8875952,1.782845,-0.6531925,-2.588586,-0.9050671,-0.1306397,-0.4047061,0.06040776,-0.0433583,0.8904731,1.383289,-0.3318498,-3.320409,0.151248,0.2126141,-0.04921446,0.9641045,18.21388,24.57702,358.1551,0.3827632,-0.09229776,-0.919224,0,0,0,1.796425,-0.6512322,-2.582514,0.06705204,-0.038652,0.9023929,0.9047463,-0.03058084,-0.4248516,0.1592107,0.949404,0.2707103,0.3950772,-0.3125651,0.8638386,static,29.13553,-23.88705,4.249537,-2.452639
311,05/15/2023 09:22:00.528788,539,True,True,True,True,Eyes,1.379895,-0.3329486,-3.311673,0.4543758,-0.3603172,0.8146865,0.887073,1.782959,-0.6525762,-2.588987,-0.8976514,-0.08959826,-0.431502,0.0605683,-0.04361127,0.8901019,1.383237,-0.3313943,-3.320366,0.1510937,0.2127096,-0.04912872,0.9641119,18.19445,24.58924,358.163,0.3827824,-0.09230927,-0.9192148,0,0,0,1.796425,-0.6512322,-2.582514,0.06359568,-0.03719445,0.9022738,0.904682,-0.030453,-0.4249977,0.1590093,0.9495141,0.2704422,0.3953055,-0.3122428,0.8638507,static,29.14976,-23.85871,4.031756,-2.360568
312,05/15/2023 09:22:00.538765,540,True,True,True,True,Eyes,1.379981,-0.3329191,-3.311696,0.45467,-0.359735,0.8147796,0.8865751,1.78308,-0.6518512,-2.589332,-0.8897432,-0.04127232,-0.4545916,0.0607858,-0.04563169,0.8897763,1.383116,-0.3310111,-3.320475,0.1499542,0.2127383,-0.04845314,0.9643177,18.04855,24.59772,358.2132,0.3828019,-0.09231902,-0.9192058,0,0,0,1.796425,-0.6512322,-2.582514,0.06065243,-0.03541444,0.9021935,0.9047894,-0.02964642,-0.4248261,0.1572504,0.950332,0.2685913,0.3957631,-0.3098227,0.8645123,static,29.16275,-23.82203,3.846079,-2.247918
313,05/15/2023 09:22:00.558534,541,True,True,True,True,Eyes,1.380064,-0.3328808,-3.311717,0.4549685,-0.3591116,0.8148881,0.8861176,1.783219,-0.6510959,-2.58963,-0.8802847,0.009082555,-0.4743589,0.06127971,-0.04845572,0.8895054,1.382986,-0.3307135,-3.32072,0.1483258,0.2125787,-0.04753524,0.9646503,17.8409,24.58442,358.2754,0.3828213,-0.09232685,-0.9191969,0,0,0,1.796425,-0.6512322,-2.582514,0.058092,-0.0330781,0.9022223,0.9051014,-0.02864797,-0.4242297,0.1547716,0.9514797,0.265955,0.3960268,-0.306375,0.8656195,static,29.1755,-23.78252,3.684056,-2.09969
314,05/15/2023 09:22:00.578547,542,True,True,True,True,Eyes,1.380142,-0.332842,-3.31174,0.4552578,-0.358382,0.8150476,0.8857105,1.783368,-0.6502646,-2.589844,-0.870173,0.06447785,-0.4885095,0.06171179,-0.05176203,0.8889526,1.382996,-0.3304872,-3.320713,0.1463248,0.2124884,-0.04678397,0.9650125,17.59535,24.57431,358.3102,0.3828405,-0.09233271,-0.9191883,0,0,0,1.796425,-0.6512322,-2.582514,0.05639261,-0.0313026,0.902231,0.9053199,-0.02810957,-0.4237992,0.1524788,0.9528006,0.2625284,0.3964165,-0.3022926,0.8668755,static,29.18624,-23.73542,3.576535,-1.987061
315,05/15/2023 09:22:00.598975,543,True,True,True,True,Eyes,1.38025,-0.3328118,-3.31178,0.4554513,-0.3576955,0.815241,0.8854102,1.783511,-0.649519,-2.589958,-0.8607112,0.1141754,-0.4961253,0.06243125,-0.05417803,0.8885551,1.382955,-0.3304639,-3.320794,0.1445878,0.212286,-0.04654495,0.9653304,17.39224,24.54347,358.2901,0.3828594,-0.09233679,-0.91918,0,0,0,1.796425,-0.6512322,-2.582514,0.05529457,-0.03003334,0.9020687,0.9055365,-0.0284746,-0.4233118,0.1512504,0.9538559,0.2593882,0.3963924,-0.2989116,0.8680581,static,29.19081,-23.68996,3.5077,-1.906893
316,05/15/2023 09:22:00.608743,544,True,True,True,True,Eyes,1.38036,-0.3327773,-3.311825,0.4555637,-0.357103,0.815438,0.8852143,1.783631,-0.64889,-2.589987,-0.8528886,0.1561345,-0.4981998,0.06317934,-0.05604753,0.8898621,1.382397,-0.3292454,-3.321989,0.1435948,0.2120358,-0.04655454,0.9655331,17.27951,24.50714,358.2593,0.3828787,-0.09233942,-0.9191718,0,0,0,1.796425,-0.6512322,-2.582514,0.0553306,-0.02877699,0.9019744,0.9057469,-0.02900543,-0.4228251,0.1507943,0.9544264,0.2575485,0.3960851,-0.2970335,0.8688427,static,29.19094,-23.64995,3.510346,-1.82737
317,05/15/2023 09:22:00.628443,545,True,True,True,True,Eyes,1.380465,-0.3327413,-3.311866,0.4556515,-0.3564852,0.8156593,0.8850623,1.783745,-0.6482528,-2.589957,-0.8452241,0.1985942,-0.4961418,0.06416613,-0.0561446,0.8897418,1.382313,-0.3291003,-3.322012,0.1432246,0.2116061,-0.0466074,0.9656798,17.23809,24.45194,358.2359,0.3828982,-0.09234063,-0.9191635,0,0,0,1.796425,-0.6512322,-2.582514,0.05606905,-0.02803968,0.9018261,0.9061012,-0.02940124,-0.4220381,0.15063,0.9546289,0.2568934,0.3953368,-0.296343,0.8694191,static,29.18902,-23.60781,3.557659,-1.780873
318,05/15/2023 09:22:00.638320,546,True,True,True,True,Eyes,1.380565,-0.3327026,-3.311913,0.4557074,-0.3558639,0.8158993,0.8849742,1.783854,-0.647633,-2.589863,-0.8380695,0.2399474,-0.489964,0.0649465,-0.05673926,0.8895568,1.382326,-0.3290404,-3.321999,0.1425894,0.211221,-0.04647352,0.9658645,17.16212,24.40382,358.2284,0.3829179,-0.09234052,-0.9191552,0,0,0,1.796425,-0.6512322,-2.582514,0.05759996,-0.02825516,0.9015465,0.9064518,-0.02953851,-0.4212749,0.15001,0.955017,0.2558116,0.3947684,-0.2950763,0.8701079,static,29.18484,-23.56498,3.655668,-1.795106
319,05/15/2023 09:22:00.658751,547,True,True,True,True,Eyes,1.380664,-0.3326591,-3.311956,0.4557883,-0.3553466,0.8160795,0.8848918,1.783987,-0.6471025,-2.589814,-0.8291036,0.2752819,-0.4866283,0.06584099,-0.05690463,0.8895819,1.382294,-0.3289449,-3.322172,0.1422344,0.2107562,-0.04637276,0.9660233,17.11857,24.34709,358.2227,0.3829376,-0.09233915,-0.9191472,0,0,0,1.796425,-0.6512322,-2.582514,0.05914178,-0.02814855,0.9013917,0.9068628,-0.02964081,-0.4203823,0.1495479,0.9552379,0.2552567,0.3939991,-0.2943501,0.8707024,static,29.18378,-23.52982,3.753889,-1.788644
320,05/15/2023 09:22:00.678589,548,True,True,True,True,Eyes,1.380757,-0.3326228,-3.312005,0.4558812,-0.3549508,0.8161999,0.8848251,1.784132,-0.6466922,-2.589811,-0.8195767,0.3026809,-0.4864958,0.06624365,-0.05699623,0.8894563,1.382394,-0.3287773,-3.32214,0.1420187,0.2105941,-0.04646783,0.9660858,17.09615,24.32464,358.2033,0.3829572,-0.09233653,-0.9191393,0,0,0,1.796425,-0.6512322,-2.582514,0.06042901,-0.02848119,0.9011212,0.9069818,-0.02996723,-0.4201024,0.1496004,0.9553429,0.2548327,0.3937052,-0.2939761,0.8709617,static,29.18516,-23.50336,3.836499,-1.81031
321,05/15/2023 09:22:00.688693,549,True,True,True,True,Eyes,1.380844,-0.3325866,-3.312056,0.4559696,-0.3545615,0.8163198,0.8847758,1.784275,-0.646294,-2.589796,-0.8099418,0.3291809,-0.4854216,0.06651077,-0.05746415,0.8894572,1.382314,-0.3289052,-3.322293,0.1414832,0.2105117,-0.04623183,0.9661937,17.02955,24.31558,358.2158,0.3829767,-0.09233297,-0.9191316,0,0,0,1.796425,-0.6512322,-2.582514,0.06136346,-0.02900535,0.9009724,0.9070949,-0.02977006,-0.4198722,0.1489055,0.9556903,0.2539357,0.3937081,-0.292865,0.8713347,static,29.1863,-23.4773,3.896286,-1.843908
322,05/15/2023 09:22:00.708447,550,True,True,True,True,Eyes,1.380926,-0.3325496,-3.312111,0.4560438,-0.3541928,0.8164383,0.8847555,1.784413,-0.6459236,-2.589763,-0.800764,0.353892,-0.4832573,0.06669438,-0.05729586,0.8895453,1.382245,-0.3288721,-3.322402,0.1413316,0.210504,-0.04631094,0.9662136,17.0143,24.3125,358.2027,0.3829958,-0.09232856,-0.9191241,0,0,0,1.796425,-0.6512322,-2.582514,0.06240997,-0.02970882,0.9007541,0.9070867,-0.02999078,-0.419874,0.1489943,0.9557613,0.2536158,0.3936932,-0.2926103,0.8714269,static,29.18673,-23.45249,3.963482,-1.889054
323,05/15/2023 09:22:00.729085,551,True,True,True,True,Eyes,1.380986,-0.332512,-3.312156,0.4561555,-0.3539819,0.8164674,0.8847155,1.784554,-0.6456853,-2.589815,-0.7914081,0.3697921,-0.4867514,0.06704557,-0.05694409,0.8896446,1.382211,-0.3288168,-3.322564,0.1413775,0.2103788,-0.04639439,0.9662303,17.0213,24.29618,358.1919,0.3830145,-0.09232336,-0.9191168,0,0,0,1.796425,-0.6512322,-2.582514,0.06385139,-0.0300758,0.9006441,0.9071767,-0.03016972,-0.4196669,0.149141,0.9557199,0.2536855,0.3934304,-0.2927271,0.8715065,static,29.19183,-23.43929,4.055213,-1.912605
324,05/15/2023 09:22:00.738419,552,True,True,True,True,Eyes,1.381042,-0.3324666,-3.312204,0.4562636,-0.3537583,0.8165039,0.8846935,1.784695,-0.6454343,-2.589849,-0.7819902,0.386513,-0.4889773,0.06707948,-0.05695435,0.8896192,1.382253,-0.3287528,-3.322596,0.1412807,0.2104027,-0.04632463,0.9662426,17.00867,24.29971,358.198,0.3830323,-0.09231748,-0.91911,0,0,0,1.796425,-0.6512322,-2.582514,0.0653652,-0.02992524,0.9004576,0.9071695,-0.03006998,-0.4196896,0.1489733,0.9557876,0.2535291,0.3935105,-0.2925164,0.871541,static,29.19653,-23.42514,4.15188,-1.903431
325,05/15/2023 09:22:00.758369,553,True,True,True,True,Eyes,1.381069,-0.3324188,-3.312237,0.4564342,-0.3536597,0.8164513,0.8846394,1.784849,-0.6452801,-2.589972,-0.7716615,0.3967447,-0.4971238,0.06736001,-0.05749695,0.8896855,1.382188,-0.3285248,-3.322716,0.1409544,0.2104105,-0.0464411,0.966283,16.97456,24.29694,358.1765,0.3830492,-0.09231077,-0.9191036,0,0,0,1.796425,-0.6512322,-2.582514,0.0671238,-0.02961245,0.9003028,0.9071413,-0.0304339,-0.4197243,0.1490671,0.9559502,0.2528602,0.3935401,-0.291947,0.8717185,static,29.20722,-23.42067,4.263908,-1.883874
326,05/15/2023 09:22:00.778580,554,True,True,True,True,Eyes,1.381102,-0.3323756,-3.312272,0.4565562,-0.3536443,0.8163897,0.8845977,1.78497,-0.6452085,-2.590096,-0.7636981,0.4015906,-0.5054603,0.06736737,-0.05850813,0.8895371,1.382259,-0.3284206,-3.322699,0.140393,0.2105233,-0.04647835,0.9663382,16.91207,24.30695,358.1602,0.3830648,-0.09230332,-0.9190979,0,0,0,1.796425,-0.6512322,-2.582514,0.06915995,-0.02903256,0.9001466,0.9070394,-0.0307156,-0.4199239,0.1489396,0.9562591,0.2517647,0.393823,-0.2909037,0.8719394,static,29.21558,-23.42133,4.393511,-1.847329
327,05/15/2023 09:22:00.796134,555,True,True,True,True,Eyes,1.381135,-0.3323387,-3.312308,0.4566819,-0.3536221,0.816329,0.8845544,1.785095,-0.6451367,-2.59022,-0.7554951,0.4064257,-0.5138534,0.06731883,-0.05929789,0.8894118,1.382358,-0.3284807,-3.322773,0.1398391,0.210642,-0.04657668,0.966388,16.85195,24.31672,358.1372,0.3830793,-0.09229531,-0.9190927,0,0,0,1.796425,-0.6512322,-2.582514,0.07108751,-0.02790183,0.8998911,0.9069211,-0.03111029,-0.4201502,0.1489343,0.9565513,0.2506557,0.3940972,-0.2898997,0.87215,static,29.22412,-23.42158,4.516739,-1.775931
328,05/15/2023 09:22:00.808841,556,True,True,True,True,Eyes,1.381169,-0.3323114,-3.312346,0.4568066,-0.3536308,0.8162555,0.8844973,1.785213,-0.6450969,-2.59037,-0.7473421,0.4089468,-0.5236814,0.06724513,-0.05934298,0.8893092,1.382397,-0.3286022,-3.322822,0.1396396,0.2108234,-0.04688675,0.9663623,16.83727,24.33257,358.0996,0.3830928,-0.09228697,-0.9190878,0,0,0,1.796425,-0.6512322,-2.582514,0.07266223,-0.02667087,0.8996119,0.9067102,-0.03174055,-0.4205581,0.1494978,0.9566048,0.2501153,0.3943691,-0.2896546,0.8721085,static,29.23298,-23.42397,4.617792,-1.698156
329,05/15/2023 09:22:00.828753,557,True,True,True,True,Eyes,1.381208,-0.3322836,-3.312386,0.4569168,-0.3537455,0.816144,0.8844356,1.785321,-0.6451488,-2.590559,-0.7402162,0.4055391,-0.5363003,0.06707332,-0.05851087,0.8892709,1.382461,-0.3287988,-3.322919,0.1399872,0.2109713,-0.0471011,0.9662693,16.88218,24.34884,358.0861,0.3831054,-0.09227858,-0.9190834,0,0,0,1.796425,-0.6512322,-2.582514,0.07323888,-0.02524579,0.8994128,0.9065452,-0.03195815,-0.4208972,0.1500912,0.9563702,0.2506566,0.3945229,-0.2904045,0.8717895,static,29.24221,-23.43361,4.655304,-1.607824
330,05/15/2023 09:22:00.838513,558,True,True,True,True,Eyes,1.381248,-0.3322518,-3.312425,0.4570394,-0.353878,0.816018,0.8843694,1.785439,-0.6452106,-2.590763,-0.7323905,0.4014292,-0.5499625,0.06679341,-0.05780143,0.8892575,1.382485,-0.3287371,-3.32292,0.1403328,0.2112951,-0.04762397,0.9661228,16.93478,24.38136,358.04,0.3831173,-0.09227014,-0.9190793,0,0,0,1.796425,-0.6512322,-2.582514,0.07321006,-0.0237247,0.8993662,0.9061727,-0.03271792,-0.4216404,0.1513245,0.9560773,0.2510321,0.3949076,-0.2912829,0.8713222,static,29.25253,-23.44466,4.653721,-1.511075
331,05/15/2023 09:22:00.858704,559,True,True,True,True,Eyes,1.381248,-0.3322178,-3.312445,0.4572143,-0.3540459,0.8158472,0.8843004,1.785563,-0.6453007,-2.590991,-0.7240992,0.395393,-0.565106,0.06641352,-0.05753087,0.8892512,1.382536,-0.3286053,-3.322949,0.1405794,0.2116104,-0.04781563,0.9660085,16.96804,24.41776,358.0297,0.3831287,-0.09226154,-0.9190754,0,0,0,1.796425,-0.6512322,-2.582514,0.07295457,-0.02316608,0.899493,0.9058694,-0.03288447,-0.4222787,0.1518767,0.9559022,0.2513652,0.3953912,-0.2918383,0.8709169,static,29.26699,-23.45897,4.6369,-1.475303
