,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY
301,05/15/2023 09:18:24.494977,492,True,True,True,True,Eyes,2.38604,0.06290814,-3.112677,-0.7320859,-0.5100305,0.451574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599537,1.843927,3.464491,2.315731,0.05484213,-3.258018,0.2368843,-0.3902199,0.05984377,0.8877123,27.85753,311.2752,354.8978,0.6205306,0.01761807,-0.7839838,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04440612,-0.08580916,1.179342,0.6882942,-0.07862582,0.7211581,-0.291122,0.8806092,0.3738656,-0.6644539,-0.4672745,0.5832286,static,-58.33239,-48.47876,2.156357,-4.161519
302,05/15/2023 09:18:24.505372,493,True,True,True,True,Eyes,2.382464,0.06244148,-3.118762,-0.7270756,-0.512301,0.4570654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171614,1.865114,3.462708,2.309661,0.05479455,-3.262787,0.2397711,-0.3842394,0.05982174,0.8895456,28.19972,312.0027,354.9334,0.6193143,0.01746025,-0.7849486,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04216123,-0.09004876,1.176809,0.6975629,-0.07783072,0.712284,-0.2906874,0.8778623,0.380603,-0.6549098,-0.4725465,0.5897398,static,-57.84508,-48.26125,2.051843,-4.375712
303,05/15/2023 09:18:24.524845,494,True,True,True,True,Eyes,2.37878,0.062028,-3.124795,-0.7219435,-0.5146317,0.4625492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6748067,1.888156,3.459288,2.303537,0.0552237,-3.267695,0.2428786,-0.3781718,0.06031198,0.8912681,28.59116,312.747,355.022,0.6180874,0.01730523,-0.7859185,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04242754,-0.09257087,1.174351,0.7066971,-0.0761914,0.7034017,-0.2912079,0.8747449,0.3873233,-0.6448079,-0.4785564,0.5959921,static,-57.35231,-48.05091,2.069111,-4.507149
304,05/15/2023 09:18:24.545356,495,True,True,True,True,Eyes,2.375027,0.06166152,-3.130727,-0.7168697,-0.5168171,0.4679721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6375458,1.902557,3.458833,2.297219,0.05611654,-3.272514,0.2450705,-0.3728907,0.05982652,0.8929244,28.83418,313.3896,355.0277,0.6168499,0.01715416,-0.7868934,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.04400176,-0.08914724,1.172677,0.7147467,-0.07592788,0.6952497,-0.2896101,0.8727225,0.3930413,-0.6366028,-0.4822763,0.601786,static,-56.86352,-47.83951,2.148871,-4.347279
305,05/15/2023 09:18:24.554951,496,True,True,True,True,Eyes,2.371154,0.06133481,-3.136593,-0.7118021,-0.5187862,0.4734962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5980388,1.902385,3.466043,2.290599,0.05695216,-3.277208,0.2455562,-0.3676006,0.05788542,0.8951097,28.82637,314.0513,354.9639,0.6156031,0.01700788,-0.7878724,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.042752,-0.08812764,1.170699,0.7230381,-0.07690562,0.686514,-0.2841609,0.8727028,0.397042,-0.6296574,-0.4821569,0.6091439,static,-56.36785,-47.61329,2.091419,-4.304983
306,05/15/2023 09:18:24.575173,497,True,True,True,True,Eyes,2.367174,0.06105864,-3.142398,-0.7067497,-0.5205516,0.4790937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560317,1.889018,3.479285,2.283803,0.05755097,-3.28157,0.2444212,-0.3627056,0.05496936,0.8975975,28.59787,314.6839,354.8623,0.6143466,0.01686698,-0.7888557,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.03817624,-0.08365369,1.169502,0.730846,-0.07862518,0.6779987,-0.2759866,0.8744732,0.3989084,-0.624256,-0.4786592,0.6174058,static,-55.86732,-47.37484,1.869651,-4.09136
307,05/15/2023 09:18:24.595346,498,True,True,True,True,Eyes,2.363085,0.06080159,-3.148155,-0.7016587,-0.5220999,0.4848575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5207181,1.871621,3.494689,2.277124,0.05844183,-3.28607,0.2427317,-0.3575117,0.05222559,0.9002995,28.32061,315.3752,354.8172,0.6130809,0.01673232,-0.7898425,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.03274947,-0.07500112,1.168825,0.7389157,-0.07952151,0.6690888,-0.2675962,0.8767076,0.3997199,-0.6183816,-0.474405,0.6265333,static,-55.3549,-47.11813,1.604959,-3.67152
308,05/15/2023 09:18:24.605010,499,True,True,True,True,Eyes,2.358926,0.06056637,-3.153874,-0.6965909,-0.5235893,0.4905256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4816129,1.853867,3.509745,2.270356,0.05861184,-3.290764,0.2406865,-0.3521176,0.05048814,0.9030693,28.05174,316.1247,354.9091,0.611805,0.01660372,-0.790834,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.02888,-0.07262626,1.16764,0.7469283,-0.07831135,0.6602768,-0.2606885,0.879042,0.3991577,-0.6116697,-0.4702687,0.6361664,static,-54.84755,-46.86738,1.416845,-3.559167
309,05/15/2023 09:18:24.625158,500,True,True,True,True,Eyes,2.354659,0.06037334,-3.159554,-0.6914619,-0.5250816,0.496155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4518459,1.851682,3.515727,2.263823,0.05893563,-3.296189,0.2404294,-0.3475182,0.05032297,0.9049268,28.04197,316.7488,355.0583,0.6105198,0.01648122,-0.7918292,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.0259707,-0.07125288,1.166383,0.7533974,-0.07602998,0.6531553,-0.2581844,0.8793226,0.4001657,-0.6047588,-0.4701183,0.6428496,static,-54.33886,-46.62247,1.275538,-3.495784
310,05/15/2023 09:18:24.645489,501,True,True,True,True,Eyes,2.350286,0.06022003,-3.165187,-0.6864006,-0.5265208,0.5016274,1.137068,1.569802,-0.53847,-2.594802,-0.3876441,0.8461607,-0.3657106,-0.0203023,-0.06479654,1.150663,2.256886,0.05976793,-3.300963,0.2411198,-0.3434763,0.05050643,0.906275,28.14713,317.2777,355.1797,0.6092244,0.01636528,-0.7928287,0.0,0.0,0.0,1.575619,-0.5511677,-2.589314,0.02047431,-0.06818953,1.16495,0.7589463,-0.07409246,0.6469241,-0.2571833,0.8786206,0.4023462,-0.5982118,-0.4717372,0.6477706,static,-53.84035,-46.38697,1.006885,-3.349945
