Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,05/15/2023 13:12:42.633684,182,True,True,True,True,Eyes,0.8646945,0.1053628,-1.891761,-0.8116691,0.0896871,-0.5771911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.031384,-0.1444321,-0.05363417,0.7878575,0.1169225,-1.875064,0.01742679,-0.8408106,0.037466,0.5397502,4.692948,245.4223,0.6403951,0.4435468,0.05006736,-0.8948511,-0.3520443,-0.01679201,0.02187321,-0.7342199,0.3532203,-3.213439,-0.5795999,0.4008001,1.915,-0.4167321,0.0111393,0.9089611,-0.0697498,0.9965852,-0.04419138,-0.9063494,-0.08181582,-0.4145321,moving,54.58275,-8.832299,-16.83912,11.82109,5.23745097364224,5.040927998615376,74.34814047091037,23.094275973047587,107.06857135860669
1,05/15/2023 13:12:42.652567,183,True,True,True,True,Eyes,0.8604908,0.1058361,-1.891185,-0.8089564,0.08961134,-0.5809985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026385,-0.1393331,-0.07867837,0.7780191,0.1166019,-1.874282,0.01998726,-0.8429637,0.03851278,0.5362177,4.954511,244.9406,0.4373967,0.44073,0.05012185,-0.8962387,-0.3309216,-0.01578449,0.02056082,-0.7359054,0.3434614,-3.221042,-0.5757322,0.3981258,1.914999,-0.4241419,0.007605417,0.9055636,-0.07499953,0.9962345,-0.04349472,-0.9024845,-0.08636479,-0.4219744,moving,54.31381,-8.768024,-16.73307,11.74442,5.209982630342512,5.044078919381269,73.94876277928886,22.943237115424854,107.44337194571801
2,05/15/2023 13:12:42.662387,184,True,True,True,True,Eyes,0.8560627,0.106298,-1.890617,-0.806105,0.08958018,-0.5849531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.02028,-0.142639,-0.1073308,0.7677255,0.1167939,-1.873594,0.02005303,-0.8455733,0.03925537,0.5320365,5.032712,244.3762,0.4519754,0.4380357,0.05019891,-0.8975545,-0.3110663,-0.01483742,0.01932717,-0.7347872,0.3378065,-3.231243,-0.5712545,0.395029,1.915,-0.4330703,0.007857964,0.901326,-0.07568319,0.9961138,-0.0450487,-0.8981773,-0.08772447,-0.4307926,moving,54.03334,-8.706678,-16.61012,11.65557,5.181535505498913,5.046902586062476,73.51951839059547,22.771709085142923,107.84692566388331
3,05/15/2023 13:12:42.682687,185,True,True,True,True,Eyes,0.8514274,0.106733,-1.890053,-0.8030735,0.08953308,-0.5891153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013917,-0.1487452,-0.1367757,0.7578963,0.117001,-1.873125,0.01903469,-0.8483386,0.03964897,0.5276243,5.011623,243.7831,0.5489256,0.4354423,0.05029602,-0.89881,-0.2924023,-0.01394717,0.01816754,-0.7313606,0.3354693,-3.243641,-0.5678837,0.3926976,1.915001,-0.442501,0.009543781,0.8967175,-0.07413525,0.9961312,-0.04718517,-0.8936988,-0.08735783,-0.4400814,moving,53.73713,-8.641621,-16.51745,11.58864,5.151482542236619,5.049906535088793,73.10929811661798,22.633993744921614,108.2336408176918
4,05/15/2023 13:12:42.702381,186,True,True,True,True,Eyes,0.8465809,0.1071574,-1.889492,-0.7999157,0.08947551,-0.5934045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006915,-0.1546491,-0.1682253,0.7482417,0.116792,-1.872543,0.01808824,-0.851379,0.0402136,0.5226945,5.013087,243.123,0.6464314,0.4329313,0.05041016,-0.9000158,-0.2748582,-0.01311034,0.01707749,-0.726284,0.3316761,-3.257173,-0.5640981,0.3900799,1.915002,-0.4529268,0.01123896,0.891477,-0.07283875,0.9961113,-0.04956478,-0.8885674,-0.08738327,-0.4503469,moving,53.43073,-8.574655,-16.41328,11.51346,5.12040722850567,5.052987061982663,72.6754298035679,22.481934886436324,108.64277627326187
5,05/15/2023 13:12:42.712753,187,True,True,True,True,Eyes,0.8415502,0.107566,-1.888961,-0.7966086,0.08929276,-0.5978642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000481,-0.1555863,-0.1998339,0.7386658,0.1170072,-1.872631,0.01890405,-0.8543764,0.04088949,0.5176985,5.131578,242.4523,0.5772584,0.4304858,0.0505394,-0.9011809,-0.2583667,-0.01232372,0.01605284,-0.72179,0.3259537,-3.27071,-0.5602578,0.3874246,1.915001,-0.4632619,0.01003451,0.8861646,-0.07463922,0.9959414,-0.05029684,-0.8830727,-0.08944324,-0.4606327,moving,53.11134,-8.494504,-16.30751,11.43716,5.087652568575806,5.057039646566054,72.22359701047432,22.32619351927438,109.06799186026777
6,05/15/2023 13:12:42.732453,188,True,True,True,True,Eyes,0.8363586,0.1079919,-1.888463,-0.793204,0.08906095,-0.6024081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.993837,-0.1547968,-0.230592,0.7291765,0.1170754,-1.872729,0.02068864,-0.8572463,0.04215807,0.5127608,5.364782,241.7923,0.4467769,0.428091,0.05068164,-0.9023131,-0.2428647,-0.0115843,0.01508967,-0.7180272,0.3166386,-3.28351,-0.5562069,0.3846232,1.915,-0.4732968,0.007763495,0.8808689,-0.07870453,0.9955893,-0.05106305,-0.8773801,-0.09349634,-0.4705983,moving,52.78473,-8.40978,-16.1958,11.35662,5.054060888219722,5.061408411496602,71.75670064907457,22.162722682755334,109.50733534335598
7,05/15/2023 13:12:42.752453,189,True,True,True,True,Eyes,0.8310153,0.1083879,-1.888002,-0.7896941,0.08872869,-0.6070506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.987298,-0.1538458,-0.2605186,0.7201689,0.1179781,-1.873053,0.02305034,-0.8600343,0.04370864,0.5078378,5.658185,241.136,0.2732375,0.4257337,0.05083658,-0.903419,-0.2282928,-0.01088924,0.01418429,-0.713917,0.3067648,-3.29652,-0.5525315,0.3820814,1.915,-0.4831388,0.004745644,0.8755309,-0.08404197,0.9951165,-0.05177019,-0.8715009,-0.09859353,-0.4803806,moving,52.44994,-8.315672,-16.09434,11.2835,5.019373878580871,5.066477232622763,71.2912748083802,22.010004221641243,109.94504545125639
8,05/15/2023 13:12:42.762856,190,True,True,True,True,Eyes,0.8255573,0.1088009,-1.887604,-0.7861843,0.08820273,-0.6116653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.980873,-0.1499961,-0.2877526,0.7111538,0.1176985,-1.873383,0.02545786,-0.8624386,0.04460058,0.5035499,5.887131,240.5615,0.05791962,0.4234033,0.05100161,-0.9045041,-0.2145952,-0.01023589,0.01333323,-0.7118417,0.2980407,-3.306753,-0.5485296,0.3793144,1.915,-0.491579,0.001005557,0.8708326,-0.0888289,0.9947253,-0.05129192,-0.8662907,-0.1025691,-0.4888968,moving,52.11645,-8.205544,-15.98374,11.20386,4.984248413553556,5.072859032469123,70.8121517938222,21.845954109966925,110.39401185084029
9,05/15/2023 13:12:42.782529,191,True,True,True,True,Eyes,0.8199866,0.1091955,-1.887245,-0.782665,0.08758684,-0.61625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974829,-0.1506673,-0.3101485,0.7025539,0.1185883,-1.873819,-0.02865636,0.8642612,-0.04782521,-0.4999442,6.391419,240.0902,359.9012,0.4210906,0.05117657,-0.9055732,-0.2017195,-0.009621733,0.01253324,-0.7121777,0.2807458,-3.315423,-0.5448129,0.3767443,1.915,-0.498469,-0.001713282,0.8669057,-0.09735303,0.9937831,-0.05401377,-0.8614237,-0.1113201,-0.495537,moving,51.78402,-8.089198,-15.88092,11.12985,4.949004851323115,5.079754740474161,70.34142386410659,21.69076812750312,110.834900969076
