Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
301,05/15/2023 17:16:32.563915,529,True,True,True,True,Eyes,1.300782,-0.3309148,-3.664968,0.4235048,-0.3097737,0.8512837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.375371,0.1109889,3.100252,1.298621,-0.3289562,-3.670373,0.03838029,0.1474604,-0.128863,0.9798861,6.501026,16.31413,345.9491,0.3329473,-0.08460701,-0.9391415,0,0,0,1.791114,-0.6680843,-2.650654,0.3363732,-0.1907404,1.124447,0.9232995,-0.241223,-0.2988804,0.2638613,0.9638425,0.03721222,0.2790972,-0.113221,0.9535648,static,26.44987,-19.99595,16.65431,-9.62746,6.822220127959994,-7.048348918845643
302,05/15/2023 17:16:32.583861,530,True,True,True,True,Eyes,1.300846,-0.3309527,-3.664892,0.4235138,-0.3099528,0.8512141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.375715,0.1106111,3.099945,1.298658,-0.3290087,-3.670307,0.0383973,0.1475071,-0.1289904,0.9798617,6.505701,16.3185,345.935,0.3329802,-0.08462474,-0.9391283,0,0,0,1.791114,-0.6680843,-2.650654,0.3298396,-0.1902931,1.126398,0.9232063,-0.2414577,-0.2989789,0.2641132,0.9637743,0.0371941,0.2791674,-0.1133021,0.9535346,static,26.45222,-20.0081,16.32145,-9.588979,6.823227938450767,-7.051708795525769
303,05/15/2023 17:16:32.593630,531,True,True,True,True,Eyes,1.300923,-0.3309918,-3.664822,0.423457,-0.3101186,0.851182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.374792,0.1101418,3.100705,1.298789,-0.3289867,-3.670294,0.03839096,0.1473393,-0.129134,0.9798683,6.504958,16.29827,345.9173,0.3330119,-0.08464178,-0.9391156,0,0,0,1.791114,-0.6680843,-2.650654,0.3237675,-0.1900986,1.128119,0.9232311,-0.2417557,-0.2986613,0.2643817,0.9637011,0.03718314,0.278831,-0.1132892,0.9536346,static,26.45002,-20.01864,16.01335,-9.565012,6.82299216693627,-7.054771983511141
304,05/15/2023 17:16:32.613693,532,True,True,True,True,Eyes,1.301001,-0.3310264,-3.664752,0.4233979,-0.3102561,0.8511612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.374177,0.1109134,3.101138,1.298869,-0.328957,-3.670259,0.03850029,0.1472173,-0.1291455,0.9798808,6.515748,16.28274,345.9168,0.3330426,-0.0846582,-0.9391032,0,0,0,1.791114,-0.6680843,-2.650654,0.3178206,-0.1896893,1.12976,0.923297,-0.2417586,-0.298455,0.2644303,0.9636782,0.03742647,0.2785664,-0.1134763,0.9536896,static,26.44739,-20.02726,15.71219,-9.53119,6.822581778877309,-7.0573062829599
305,05/15/2023 17:16:32.633979,533,True,True,True,True,Eyes,1.301077,-0.3310576,-3.664684,0.4233073,-0.3103891,0.8511578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.37341,0.108447,3.101761,1.298979,-0.328889,-3.670183,0.03818338,0.1471237,-0.1292309,0.979896,6.480055,16.27533,345.9017,0.3330726,-0.08467394,-0.9390911,0,0,0,1.791114,-0.6680843,-2.650654,0.3113221,-0.1893253,1.131412,0.923308,-0.2420302,-0.2982008,0.2645009,0.9636828,0.03680564,0.2784629,-0.1128573,0.9537933,static,26.44259,-20.03524,15.38491,-9.499599,6.8215824265537695,-7.059735304913566
306,05/15/2023 17:16:32.653671,534,True,True,True,True,Eyes,1.301157,-0.3310953,-3.664613,0.423221,-0.3104976,0.8511611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.371991,0.1068603,3.102859,1.298972,-0.3288373,-3.670154,0.03796658,0.1469273,-0.1293036,0.9799243,6.453984,16.25488,345.8888,0.3331018,-0.08468898,-0.9390794,0,0,0,1.791114,-0.6680843,-2.650654,0.3042511,-0.1894788,1.133045,0.9233859,-0.2422589,-0.2977737,0.2645722,0.9636782,0.03641227,0.2781368,-0.1124052,0.9539418,static,26.43784,-20.04161,15.03079,-9.493711,6.820544174913556,-7.061706444449428
307,05/15/2023 17:16:32.664244,535,True,True,True,True,Eyes,1.301245,-0.331141,-3.664551,0.4230949,-0.310631,0.8511751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.371494,0.1062819,3.103186,1.299128,-0.3290336,-3.67002,0.03776002,0.1468523,-0.1291457,0.9799644,6.427022,16.24979,345.9034,0.3331305,-0.08470356,-0.939068,0,0,0,1.791114,-0.6680843,-2.650654,0.2973953,-0.1901007,1.134564,0.9235116,-0.2420261,-0.2975731,0.2642067,0.9637911,0.03607623,0.2780669,-0.1119376,0.9540172,static,26.43066,-20.04923,14.68809,-9.511779,6.818909904323345,-7.064116874762682
308,05/15/2023 17:16:32.683918,536,True,True,True,True,Eyes,1.30134,-0.331176,-3.664482,0.4229701,-0.3107798,0.8511828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.370401,0.1081795,3.103998,1.299111,-0.3291829,-3.670048,0.03796024,0.1466472,-0.1290979,0.9799937,6.445914,16.2239,345.9106,0.3331588,-0.08471792,-0.9390566,0,0,0,1.791114,-0.6680843,-2.650654,0.2912383,-0.1899063,1.136063,0.9236567,-0.2418967,-0.2972278,0.2641638,0.9637855,0.0365379,0.2776254,-0.1122653,0.9541072,static,26.42372,-20.05791,14.37857,-9.489925,6.817372718615864,-7.066819204366684
309,05/15/2023 17:16:32.693789,537,True,True,True,True,Eyes,1.301438,-0.3312122,-3.664418,0.4228166,-0.3108938,0.8512174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.370688,0.1092235,3.103671,1.299386,-0.3288578,-3.669921,0.03828359,0.1466261,-0.1293025,0.9799572,6.485444,16.21613,345.8917,0.3331869,-0.0847318,-0.9390454,0,0,0,1.791114,-0.6680843,-2.650654,0.2848468,-0.190499,1.137146,0.9235634,-0.242195,-0.2972749,0.2646485,0.9636304,0.03711431,0.2774743,-0.1129508,0.9540703,static,26.4145,-20.06393,14.06281,-9.510099,6.815152526690488,-7.068847823387308
310,05/15/2023 17:16:32.713863,538,True,True,True,True,Eyes,1.301533,-0.3312503,-3.664358,0.4226518,-0.3110424,0.851245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.370018,0.1072936,3.104145,1.299379,-0.3289769,-3.669823,0.03789052,0.1465729,-0.1291544,0.98,6.437912,16.21582,345.9026,0.333215,-0.08474527,-0.9390342,0,0,0,1.791114,-0.6680843,-2.650654,0.2778808,-0.1883546,1.139029,0.9236711,-0.2420351,-0.2970702,0.26425,0.9637669,0.03640437,0.2774953,-0.1121265,0.9541614,static,26.40487,-20.07215,13.71023,-9.389697,6.812896008156658,-7.07151409333086
