Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY
301,05/15/2023 18:27:41.417360,523,True,True,True,True,Eyes,2.275349,0.1633128,-2.612276,-0.7547728,-0.5436024,-0.3671708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.464998,0.3298443,0.7624023,2.262022,0.1626865,-2.748282,0.1197611,-0.8364198,0.1379296,0.5167542,20.7633,242.7676,356.4567,0.6639721,0.04792,-0.7462199,0.09285612,-0.005261282,-0.1160754,1.24924,-0.8831077,-3.841688,0.5796001,-0.4008002,1.914999,-0.437245,-0.05778968,0.8974838,-0.3428924,0.9332654,-0.10696,-0.8314095,-0.3545081,-0.4278812,static,64.05869,55.96333,16.83914,-11.8211,68.04711440532901,56.32731428747523
302,05/15/2023 18:27:41.433407,524,True,True,True,True,Eyes,2.274131,0.1630058,-2.618496,-0.7591794,-0.5431516,-0.3586544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.460125,0.3310985,0.8049722,2.257517,0.1613184,-2.758198,0.1173739,-0.8333897,0.1334851,0.5233231,20.20249,243.6443,356.5837,0.663186,0.04783723,-0.7469239,0.08728475,-0.004945605,-0.1091109,1.218892,-0.888953,-3.821729,0.5796002,-0.4008,1.915,-0.4247132,-0.05592472,0.9035992,-0.335348,0.9368101,-0.09964131,-0.8409286,-0.3453391,-0.4166299,static,64.71283,56.56238,16.83914,-11.82109,68.70039674885426,56.887684897929155
303,05/15/2023 18:27:41.442420,525,True,True,True,True,Eyes,2.272759,0.1626756,-2.624855,-0.7634207,-0.5428104,-0.3500652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.453835,0.3431814,0.8477035,2.252737,0.1597778,-2.768572,0.1170647,-0.8296901,0.1305335,0.5299729,19.91873,244.539,356.5916,0.6623706,0.04774868,-0.7476529,0.08204766,-0.004648869,-0.1025642,1.188858,-0.8873992,-3.805687,0.5796002,-0.4008001,1.915,-0.4108493,-0.05589636,0.9099883,-0.3326132,0.9385138,-0.09252245,-0.848865,-0.3406869,-0.4041796,static,65.36626,57.18153,16.83913,-11.82109,69.35337951703713,57.46716985089519
304,05/15/2023 18:27:41.462163,526,True,True,True,True,Eyes,2.271243,0.1623399,-2.631379,-0.7675947,-0.5425314,-0.3412594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.445162,0.3629303,0.8929565,2.247763,0.1589157,-2.778585,0.1184483,-0.8252569,0.1292197,0.5368645,19.90491,245.484,356.5396,0.6615241,0.04765423,-0.748408,0.0771248,-0.004369937,-0.09641036,1.160287,-0.8873565,-3.789318,0.5796001,-0.4008,1.915,-0.3954934,-0.05675368,0.9167138,-0.3342475,0.9385445,-0.08609754,-0.8554904,-0.3404603,-0.3901581,static,66.03089,57.82956,16.83914,-11.82109,70.01791511985661,58.07395024317057
305,05/15/2023 18:27:41.482321,527,True,True,True,True,Eyes,2.269597,0.1620045,-2.638083,-0.771706,-0.5424315,-0.3320209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43676,0.3797677,0.9377613,2.242781,0.1584544,-2.789222,0.1197058,-0.8207496,0.1286166,0.5435977,19.95412,246.4263,356.5439,0.6606454,0.04755435,-0.74919,0.07249732,-0.004107741,-0.09062573,1.132015,-0.8843331,-3.774447,0.5796003,-0.4008,1.915001,-0.3803444,-0.05666567,0.9231076,-0.3363284,0.9382566,-0.0809804,-0.861523,-0.3412677,-0.3759188,static,66.72056,58.5293,16.83914,-11.82109,70.70802582591497,58.72953476592002
306,05/15/2023 18:27:41.492752,528,True,True,True,True,Eyes,2.267799,0.161684,-2.644929,-0.7756802,-0.5423597,-0.3227475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.430561,0.392653,0.974246,2.237801,0.1581012,-2.799881,0.120504,-0.8170003,0.1276784,0.5492609,19.93799,247.2177,356.5454,0.6597326,0.04744947,-0.7500005,0.06814747,-0.003861276,-0.08518819,1.104906,-0.8798655,-3.761051,0.5796002,-0.4008,1.915,-0.3675825,-0.05664618,0.9282641,-0.3371612,0.9383541,-0.07625026,-0.8667212,-0.3410029,-0.3640214,static,67.40863,59.24396,16.83914,-11.82109,71.39686198359924,59.399322428374596
307,05/15/2023 18:27:41.512626,529,True,True,True,True,Eyes,2.265818,0.1614492,-2.651948,-0.7794674,-0.5424851,-0.313274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.424957,0.4092034,1.003877,2.232318,0.1581462,-2.810212,0.1220374,-0.8136184,0.1266615,0.5541561,19.95998,247.8927,356.4498,0.6587854,0.04734061,-0.7508395,0.06405862,-0.0036296,-0.0800769,1.08086,-0.8812071,-3.744449,0.5795995,-0.4008002,1.914999,-0.3560361,-0.05820324,0.932658,-0.3389642,0.9381275,-0.07085273,-0.8708282,-0.3413638,-0.3537361,static,68.10442,59.99445,16.83912,-11.8211,72.09397558516078,60.10305927876037
308,05/15/2023 18:27:41.532499,530,True,True,True,True,Eyes,2.263654,0.1612743,-2.659098,-0.7832847,-0.5423719,-0.3038056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.418191,0.4310883,1.032885,2.225736,0.1599503,-2.820856,0.124476,-0.8100687,0.1251428,0.5591368,19.99552,248.5654,356.2339,0.6578014,0.04723057,-0.7517086,0.0,0.0,0.0,1.055596,-0.8802991,-3.727575,0.5795999,-0.4008002,1.915,-0.343744,-0.06172435,0.9370329,-0.341612,0.93769,-0.0635503,-0.8747237,-0.3419467,-0.3434111,static,68.80067,60.74496,16.83913,-11.8211,72.79154066496444,60.806808801410554
309,05/15/2023 18:27:41.552415,531,True,True,True,True,Eyes,2.261308,0.1612145,-2.666412,-0.7868948,-0.5424399,-0.2942033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.410632,0.4413024,1.067441,2.219172,0.1611655,-2.831235,0.1240915,-0.8069118,0.1204632,0.5647858,19.5468,249.306,356.0942,0.6567799,0.04712127,-0.7526081,0.0,0.0,0.0,1.033598,-0.8858159,-3.706634,0.5796003,-0.4007997,1.915001,-0.3312363,-0.06418996,0.9413617,-0.3363337,0.9401798,-0.05423619,-0.8815679,-0.3345767,-0.333011,static,69.5003,61.52591,16.83913,-11.82107,73.49302094473089,61.539444238661304
310,05/15/2023 18:27:41.562556,532,True,True,True,True,Eyes,2.258781,0.1611484,-2.673844,-0.7907044,-0.5420278,-0.2845916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.402946,0.4586159,1.098613,2.212267,0.1638493,-2.84189,0.1261684,-0.8031256,0.1196278,0.5698773,19.63052,250.0183,355.9628,0.6557186,0.04701584,-0.7535395,0.0,0.0,0.0,1.006993,-0.8839069,-3.687529,0.5795998,-0.4008002,1.914999,-0.3186431,-0.06631168,0.9455526,-0.3390045,0.9395415,-0.0483514,-0.8851795,-0.3359533,-0.3218583,static,70.2051,62.29829,16.83913,-11.8211,74.19940188720823,62.263862874191375
