,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
0,05/16/2023 16:03:51.816551,227,True,True,True,True,Eyes,1.26887,0.07836329,-1.764555,0.929344,0.08913716,0.3582937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.805211,-0.183286,-1.316545,1.391654,0.06905407,-1.756189,0.06431793,0.6937583,-0.03444763,0.7165026,8.045797,88.31441,2.308213,0.5573313,0.03687048,-0.8294708,0.2337381,0.007080589,0.05205821,2.572022,0.186337,-0.8072195,-0.5796001,0.4008,1.915,0.03502543,0.03987857,-0.9985904,0.1386058,0.9893531,0.04437127,0.9897281,-0.1399646,0.02912512,moving,68.91665,13.97056,-16.83913,11.82109,67.34603634283938,18.433673821152112,85.78271402030424,84.44446990160634,84.84873684005696
1,05/16/2023 16:03:51.836696,228,True,True,True,True,Eyes,1.422396,0.06542341,-1.762889,0.9582489,-0.007203763,0.2858448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.800632,-0.1909375,-1.33483,1.402676,0.06755456,-1.757396,0.06691449,0.6952952,-0.03635458,0.7146786,8.406718,88.59974,2.380363,0.5599675,0.03678831,-0.827697,0.2197138,0.006655754,0.04893472,2.585815,0.1874409,-0.8128436,-0.5757758,0.3981555,1.915001,0.03048598,0.04108697,-0.9986904,0.1450143,0.9884016,0.04509039,0.9889599,-0.146199,0.02417418,moving,73.39021,-1.443643,-16.73425,11.74526,70.63117299227494,3.650389617794713,91.0843864371661,87.73963791311101,90.20265383955049
2,05/16/2023 16:03:51.856403,229,True,True,True,True,Eyes,1.422831,0.06535908,-1.762944,0.9582863,-0.007165634,0.2857202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.795894,-0.1863436,-1.35539,1.414159,0.0661425,-1.758641,0.06620669,0.6970123,-0.03502053,0.7131369,8.235858,88.86633,2.452214,0.5694327,0.03577504,-0.8212587,0.6671084,-0.03256325,0.05099613,2.599361,0.1905395,-0.8182538,-0.5719478,0.3955083,1.915,0.02589478,0.04234489,-0.9987674,0.1422426,0.9887805,0.04560937,0.9894931,-0.1432483,0.01958102,moving,73.39766,-1.436631,-16.62916,11.66932,70.63892686071542,3.657047480663514,90.97578947679872,87.63512706245986,90.10601235016232
3,05/16/2023 16:03:51.866361,230,True,True,True,True,Eyes,1.423701,0.06523656,-1.763098,0.9583181,-0.006981121,0.2856178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.792877,-0.1826878,-1.372836,1.42504,0.06451608,-1.759988,0.06617428,0.6982391,-0.03410771,0.7119831,8.155525,89.06423,2.538496,0.5771546,0.03492572,-0.8158873,0.6270819,-0.03060945,0.04793636,2.612509,0.1879532,-0.8234035,-0.56806,0.39282,1.915,0.02259763,0.04384271,-0.9987831,0.1409792,0.9889153,0.04659926,0.9897548,-0.1418606,0.01616623,moving,73.4038,-1.400155,-16.52231,11.59216,70.64746163880288,3.691912104419188,90.85981239685302,87.5270415607238,90.00468379935347
4,05/16/2023 16:03:51.891409,231,True,True,True,True,Eyes,1.424981,0.0650394,-1.76334,0.9583596,-0.006756401,0.2854841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.792501,-0.1775871,-1.387785,1.436312,0.06294553,-1.761699,0.06669607,0.6988644,-0.03298168,0.7113737,8.1052,89.17349,2.680447,0.5834768,0.03420978,-0.8114085,0.589457,-0.02877288,0.04506018,2.626896,0.1881883,-0.8291878,-0.5642273,0.3901696,1.915001,0.02100159,0.04629841,-0.9987069,0.1401476,0.9889277,0.04879222,0.989908,-0.1409911,0.01428045,moving,73.41183,-1.355736,-16.41685,11.51604,70.6583941008094,3.7343649220321935,90.74620855956779,87.42226605524823,89.90610472838283
5,05/16/2023 16:03:51.907456,232,True,True,True,True,Eyes,1.426647,0.06480864,-1.763679,0.9584058,-0.006653046,0.2853315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.793435,-0.1686622,-1.40202,1.447423,0.0609225,-1.76402,0.06705119,0.6993161,-0.0311255,0.7109799,7.982881,89.25234,2.866288,0.5886775,0.03360055,-0.8076689,0.5540896,-0.02704651,0.04235657,2.640757,0.1946578,-0.8353044,-0.5602481,0.387418,1.915,0.01997632,0.04952074,-0.9985735,0.1380392,0.9890707,0.05181096,0.9902255,-0.1388772,0.01292218,moving,73.42095,-1.335718,-16.30725,11.43698,70.66868482097492,3.753457902651341,90.63272968105508,87.31465942098681,89.8058517016798
6,05/16/2023 16:03:51.916308,233,True,True,True,True,Eyes,1.428706,0.06457645,-1.764127,0.9584478,-0.00651618,0.2851936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.796216,-0.1664043,-1.413319,1.458336,0.05987728,-1.766699,0.07031576,0.6993016,-0.03089696,0.7106887,8.230617,89.30146,3.152517,0.5929815,0.03307717,-0.804536,0.5208442,-0.02542372,0.03981518,2.655503,0.2027197,-0.8418688,-0.5563073,0.3846927,1.915,0.02004522,0.05442762,-0.9983166,0.1422601,0.9882022,0.05673265,0.9896264,-0.1431578,0.01206586,moving,73.42922,-1.308882,-16.19858,11.35862,70.67862302980292,3.779081827192099,90.51855135694564,87.2072118875191,89.70525830103715
7,05/16/2023 16:03:51.942217,234,True,True,True,True,Eyes,1.431151,0.06433737,-1.764642,0.9591502,-0.00626778,0.2828279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.799487,-0.1571294,-1.425909,1.46984,0.05957173,-1.769769,0.07101377,0.6993563,-0.02867533,0.7106586,8.108127,89.32195,3.391744,0.5966508,0.03261592,-0.8018374,0.4895936,-0.0238983,0.03742627,2.670727,0.2071061,-0.8492418,-0.55255,0.3820944,1.915001,0.02015697,0.05857112,-0.9980797,0.1400846,0.9882696,0.06082454,0.9899344,-0.1410416,0.01171563,moving,73.57062,-1.26953,-16.09484,11.28387,70.81924255454958,3.815741544418116,90.53995012463615,87.23434351749391,89.73906236983599
8,05/16/2023 16:03:51.958242,235,True,True,True,True,Eyes,1.433955,0.06408259,-1.765265,0.9598241,-0.005900633,0.2805403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.802166,-0.1477705,-1.439457,1.481473,0.05909468,-1.77297,0.06978779,0.699609,-0.02627885,0.710624,7.813882,89.34336,3.489448,0.5999982,0.03218736,-0.7993531,0.460218,-0.0224644,0.03518069,2.687451,0.2118935,-0.8580393,-0.5486344,0.3793868,1.915001,0.01971323,0.06029957,-0.9979858,0.1349971,0.9888782,0.06241591,0.99065,-0.1359556,0.01135376,moving,73.70725,-1.20493,-15.98664,11.20594,70.95697484305299,3.876597734959793,90.5484599399073,87.25199951872305,89.76255384872451
9,05/16/2023 16:03:51.966445,236,True,True,True,True,Eyes,1.437132,0.06385314,-1.766,0.960518,-0.005362479,0.2781663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.804734,-0.1448233,-1.452241,1.492923,0.05843887,-1.776178,0.06848732,0.6998499,-0.02534095,0.7105473,7.631231,89.36184,3.461889,0.6030648,0.03178728,-0.7970582,0.4326049,-0.02111654,0.03306985,2.704321,0.2218414,-0.8679657,-0.5449051,0.3768079,1.915,0.01913577,0.05984981,-0.998024,0.1318736,0.9893347,0.06185723,0.9910818,-0.1327967,0.01103904,moving,73.84897,-1.104409,-15.88347,11.13168,71.10217934857033,3.9717948371514105,90.5628658025436,87.27982096760748,89.79424962759458
