Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
moving,05/16/2023 16:03:51.056289,62.86473,6.26675,0.30323485275277984,0.019928
moving,05/16/2023 16:03:51.066501,62.93027,6.555254,0.2958547779164629,0.010212
moving,05/16/2023 16:03:51.086674,62.9973,6.846193,0.2985607519768812,0.020173
moving,05/16/2023 16:03:51.106219,63.0873,7.140042,0.30732268839283444,0.019545
moving,05/16/2023 16:03:51.118156,63.17917,7.456261,0.3292940219029183,0.011937
moving,05/16/2023 16:03:51.136508,63.29137,7.767219,0.33058087930792446,0.018352
moving,05/16/2023 16:03:51.156363,63.4083,8.091509,0.3447268904509763,0.019855
moving,05/16/2023 16:03:51.166423,63.54446,8.422662,0.3580528662208995,0.01006
moving,05/16/2023 16:03:51.186521,63.68692,8.782289,0.3868157581187712,0.020098
moving,05/16/2023 16:03:51.206437,63.84079,9.135612,0.3853739991605545,0.019916
moving,05/16/2023 16:03:51.216686,63.99952,9.529425,0.4245985066730679,0.010249
moving,05/16/2023 16:03:51.236345,64.17045,9.912631,0.4195996941562297,0.019659
moving,05/16/2023 16:03:51.256186,64.34705,10.34038,0.4627707499410459,0.019841
moving,05/16/2023 16:03:51.266336,64.53248,10.71491,0.41791985571399215,0.01015
moving,05/16/2023 16:03:51.286130,64.72211,11.15927,0.4831307757740107,0.019794
moving,05/16/2023 16:03:51.306540,64.88898,11.58087,0.45342271325993616,0.02041
moving,05/16/2023 16:03:51.326410,65.05971,11.98044,0.43451687861347377,0.01987
moving,05/16/2023 16:03:51.336645,64.95685,12.07158,0.13742881502799434,0.010235
moving,05/16/2023 16:03:51.356828,64.87578,12.17435,0.1308969739909957,0.020183
moving,05/16/2023 16:03:51.366341,64.81631,12.21571,0.07243846008855016,0.009513
moving,05/16/2023 16:03:51.386351,64.77394,12.25554,0.058151920002700454,0.02001
moving,05/16/2023 16:03:51.406384,64.74183,12.21453,0.05208523975177795,0.020033
moving,05/16/2023 16:03:51.426513,64.71968,12.11022,0.10663582231126563,0.020129
moving,05/16/2023 16:03:51.436267,64.70545,11.98342,0.12759597525000455,0.009754
moving,05/16/2023 16:03:51.456659,64.70281,11.87703,0.10642274991748818,0.020392
moving,05/16/2023 16:03:51.466347,64.72137,11.85959,0.02546816051464502,0.009688
moving,05/16/2023 16:03:51.486337,64.7485,11.82257,0.04589681143609822,0.01999
moving,05/16/2023 16:03:51.506314,66.86451,17.86657,6.40370473398797,0.019977
moving,05/16/2023 16:03:51.526568,66.87472,17.82046,0.04722685888347753,0.020254
moving,05/16/2023 16:03:51.540882,66.89611,17.77444,0.05074812804429399,0.014314
moving,05/16/2023 16:03:51.556719,66.92698,17.69187,0.08815192453939925,0.015837
moving,05/16/2023 16:03:51.566377,66.96629,17.59745,0.10227615802326859,0.009658
moving,05/16/2023 16:03:51.586567,67.01246,17.48788,0.11890018418825045,0.02019
moving,05/16/2023 16:03:51.606244,67.07061,17.39832,0.1067820963457833,0.019677
moving,05/16/2023 16:03:51.616532,67.13659,17.28713,0.12929260032963535,0.010288
moving,05/16/2023 16:03:51.636375,67.22343,17.18327,0.13538125867341963,0.019843
moving,05/16/2023 16:03:51.656431,67.3182,17.06969,0.1479248772181402,0.020056
moving,05/16/2023 16:03:51.666377,67.43316,16.97916,0.1463266294971608,0.009946
moving,05/16/2023 16:03:51.686219,67.55655,16.90517,0.14387359799490812,0.019842
moving,05/16/2023 16:03:51.706184,67.6983,16.84962,0.152246067272689,0.019965
moving,05/16/2023 16:03:51.726202,67.84914,16.79627,0.15999665027743826,0.020018
moving,05/16/2023 16:03:51.736234,68.02033,16.35129,0.47677375819145024,0.010032
moving,05/16/2023 16:03:51.756572,68.19801,15.90198,0.48316628452324484,0.020338
moving,05/16/2023 16:03:51.766329,68.3744,15.4286,0.5051752730488694,0.009757
moving,05/16/2023 16:03:51.786413,68.55586,14.96876,0.4943486190938539,0.020084
moving,05/16/2023 16:03:51.806425,68.73437,14.48036,0.5200003654806421,0.020012
moving,05/16/2023 16:03:51.816551,68.91665,13.97056,0.5414074606061506,0.010126
moving,05/16/2023 16:03:51.836696,73.39021,-1.443643,16.050245892160312,0.020145
moving,05/16/2023 16:03:51.856403,73.39766,-1.436631,0.010230867216423328,0.019707
moving,05/16/2023 16:03:51.866361,73.4038,-1.400155,0.03698916295349249,0.009958
moving,05/16/2023 16:03:51.891409,73.41183,-1.355736,0.04513899047386696,0.025048
moving,05/16/2023 16:03:51.907456,73.42095,-1.335718,0.02199760723351943,0.016047
moving,05/16/2023 16:03:51.916308,73.42922,-1.308882,0.028081378100084875,0.008852
moving,05/16/2023 16:03:51.942217,73.57062,-1.26953,0.14677377117183182,0.025909
moving,05/16/2023 16:03:51.958242,73.70725,-1.20493,0.1511321173675506,0.016025
moving,05/16/2023 16:03:51.966445,73.84897,-1.104409,0.17374990601723453,0.008203
moving,05/16/2023 16:03:51.986478,73.98607,-0.9626112,0.19723850051356867,0.020033
moving,05/16/2023 16:03:52.006208,74.12938,-0.7582802,0.24957747025923616,0.01973
moving,05/16/2023 16:03:52.026152,74.27081,-0.5237384,0.2738837360035091,0.019944
moving,05/16/2023 16:03:52.036573,74.43076,-0.4051042,0.19914335517320916,0.010421
moving,05/16/2023 16:03:52.056683,74.59161,-0.2712218,0.2092778524587799,0.02011
moving,05/16/2023 16:03:52.066253,74.76763,-0.2034935,0.18860053823064216,0.00957
moving,05/16/2023 16:03:52.086406,74.9413,-0.1495171,0.18186456679892446,0.020153
moving,05/16/2023 16:03:52.109034,75.10651,-0.2072841,0.17501820016501315,0.022628
moving,05/16/2023 16:03:52.126534,75.27021,-0.2470465,0.16845990161982724,0.0175
moving,05/16/2023 16:03:52.136318,75.43238,-0.3957162,0.22000406495809677,0.009784
moving,05/16/2023 16:03:52.156207,75.59396,-0.5494404,0.22302292721969247,0.019889
moving,05/16/2023 16:03:52.166636,75.75172,-0.7135571,0.227645577200378,0.010429
moving,05/16/2023 16:03:52.186596,75.90656,-0.857086,0.21113022222128175,0.01996
moving,05/16/2023 16:03:52.206452,76.06429,-1.019795,0.2266119405084389,0.019856
moving,05/16/2023 16:03:52.216366,76.22277,-1.232919,0.26558943837434346,0.009914
moving,05/16/2023 16:03:52.236520,76.39183,-1.55355,0.362471408197944,0.020154
moving,05/16/2023 16:03:52.256493,76.56428,-1.873357,0.36333940021555494,0.019973
moving,05/16/2023 16:03:52.276567,76.75417,-2.179397,0.3601648146335258,0.020074
moving,05/16/2023 16:03:52.286515,76.95181,-2.503344,0.37947757299871765,0.009948
moving,05/16/2023 16:03:52.306638,77.16743,-2.856432,0.4137186485330346,0.020123
moving,05/16/2023 16:03:52.316393,77.39287,-3.222773,0.4301498830419496,0.009755
moving,05/16/2023 16:03:52.336417,77.63425,-3.632871,0.4758620325304346,0.020024
moving,05/16/2023 16:03:52.356431,77.88531,-4.055608,0.4916682771635821,0.020014
moving,05/16/2023 16:03:52.366303,78.14513,-4.48339,0.5005036182926101,0.009872
moving,05/16/2023 16:03:52.386518,78.41204,-4.898344,0.49338399874337757,0.020215
moving,05/16/2023 16:03:52.406466,78.6732,-5.241752,0.43143203411892667,0.019948
moving,05/16/2023 16:03:52.416366,78.94112,-5.564243,0.41926312916950165,0.0099
moving,05/16/2023 16:03:52.436312,79.20667,-5.869633,0.404697238191716,0.019946
moving,05/16/2023 16:03:52.456258,79.48024,-6.169008,0.4055439994932677,0.019946
moving,05/16/2023 16:03:52.466544,79.75283,-6.463452,0.40125126446654924,0.010286
moving,05/16/2023 16:03:52.486459,80.03448,-6.802517,0.4407854316161088,0.019915
