Movement,Time,GazeAngleX,GazeAngleY,euclideanDifference,temporalDifference
transition,05/17/2023 16:29:15.101070,3.133689,-3.671753,0.017272588051591826,0.019764
transition,05/17/2023 16:29:15.131286,3.149394,-3.677045,0.016572636754602618,0.030216
transition,05/17/2023 16:29:15.156336,3.165606,-3.681364,0.01677744631938944,0.02505
transition,05/17/2023 16:29:15.160992,3.181543,-3.685098,0.016368589584933816,0.004656
transition,05/17/2023 16:29:15.171041,3.195415,-3.690315,0.014820576000952298,0.010049
transition,05/17/2023 16:29:15.180955,3.208944,-3.694892,0.014282253673702543,0.009914
transition,05/17/2023 16:29:15.200949,3.224605,-3.700584,0.016663306544620955,0.019994
transition,05/17/2023 16:29:15.220804,3.239455,-3.706496,0.015983561680676803,0.019855
transition,05/17/2023 16:29:15.236272,3.254224,-3.713469,0.01633236327051272,0.015468
transition,05/17/2023 16:29:15.251054,3.268021,-3.720661,0.015558986888612387,0.014782
transition,05/17/2023 16:29:15.270943,3.280692,-3.727762,0.014525096970416292,0.019889
transition,05/17/2023 16:29:15.281012,3.29277,-3.734387,0.013775656390894658,0.010069
transition,05/17/2023 16:29:15.300904,3.302309,-3.740521,0.011341008641210328,0.019892
transition,05/17/2023 16:29:15.321189,3.311505,-3.74581,0.010608484198979338,0.020285
transition,05/17/2023 16:29:15.336283,3.320519,-3.750164,0.010010470118830543,0.015094
transition,05/17/2023 16:29:15.351214,3.329272,-3.753738,0.009454548376310734,0.014931
transition,05/17/2023 16:29:15.371083,3.337528,-3.756526,0.008714039247099953,0.019869
transition,05/17/2023 16:29:15.380929,3.044249,-3.877039,0.31707405288039536,0.009846
transition,05/17/2023 16:29:15.401320,2.761926,-3.991321,0.30457618398850594,0.020391
transition,05/17/2023 16:29:15.421071,2.472966,-4.126279,0.3189224723408496,0.019751
transition,05/17/2023 16:29:15.434303,2.18387,-4.279872,0.327364180791057,0.013232
transition,05/17/2023 16:29:15.451239,1.905559,-4.427175,0.31488916546937606,0.016936
transition,05/17/2023 16:29:15.471090,1.63012,-4.583178,0.3165494885953854,0.019851
transition,05/17/2023 16:29:15.480902,-5.032064,-8.327492,7.642289119135182,0.009812
transition,05/17/2023 16:29:15.500964,-5.039791,-8.34056,0.015181539875783823,0.020062
transition,05/17/2023 16:29:15.511057,-5.048278,-8.356027,0.017642484462228412,0.010093
transition,05/17/2023 16:29:15.531110,-5.066128,-8.3841,0.03326733877243648,0.020053
transition,05/17/2023 16:29:15.551276,-5.083982,-8.412034,0.033152280042253505,0.020166
transition,05/17/2023 16:29:15.570951,-5.116552,-8.449007,0.04927278791584682,0.019675
transition,05/17/2023 16:29:15.590872,-5.14833,-8.483683,0.047034734611772794,0.019921
static,05/17/2023 16:29:15.601094,-5.188755,-8.524165,0.057209902543179175,0.010222
static,05/17/2023 16:29:15.611072,-5.227061,-8.56164,0.053588480674488945,0.009978
static,05/17/2023 16:29:15.631325,-5.268647,-8.602937,0.05860748761890399,0.020253
static,05/17/2023 16:29:15.650965,-5.307847,-8.642091,0.05540465428102591,0.01964
static,05/17/2023 16:29:15.661143,-5.348298,-8.68447,0.05858551904694438,0.010178
static,05/17/2023 16:29:15.686897,-5.386704,-8.72322,0.0545580730598143,0.025754
static,05/17/2023 16:29:15.701276,-5.427864,-8.764724,0.05845278108011586,0.014379
static,05/17/2023 16:29:15.720910,-5.467774,-8.805147,0.05680516727376222,0.019634
static,05/17/2023 16:29:15.740842,-5.510463,-8.847849,0.060380555852028735,0.019932
static,05/17/2023 16:29:15.761062,-5.552079,-8.888667,0.05829237154208096,0.02022
static,05/17/2023 16:29:15.770930,-5.594559,-8.930895,0.059897866272514255,0.009868
static,05/17/2023 16:29:15.780931,-5.634972,-8.97155,0.05732398794571156,0.010001
static,05/17/2023 16:29:15.801008,-5.673906,-9.010291,0.05492468877472082,0.020077
static,05/17/2023 16:29:15.820998,-5.710745,-9.04692,0.05194993322421124,0.01999
static,05/17/2023 16:29:15.841273,-5.746335,-9.08262,0.05040970243911405,0.020275
static,05/17/2023 16:29:15.850827,-5.780157,-9.115921,0.04746455819872311,0.009554
static,05/17/2023 16:29:15.861009,-5.814261,-9.149531,0.04788230274328892,0.010182
static,05/17/2023 16:29:15.881316,-5.847106,-9.181564,0.045879266711664146,0.020307
static,05/17/2023 16:29:15.901389,-5.879725,-9.214005,0.04600453936298018,0.020073
static,05/17/2023 16:29:15.911010,-5.91101,-9.245805,0.04460931769260834,0.009621
static,05/17/2023 16:29:15.931407,-5.942925,-9.277876,0.04524506896889293,0.020397
static,05/17/2023 16:29:15.961163,-5.97353,-9.309071,0.04370119048721723,0.029756
static,05/17/2023 16:29:15.971151,-6.003223,-9.338498,0.04180457604138575,0.009988
static,05/17/2023 16:29:15.991164,-6.031641,-9.366375,0.03980841434922991,0.020013
static,05/17/2023 16:29:16.000744,-6.060304,-9.39136,0.03802391081937904,0.00958
static,05/17/2023 16:29:16.021066,-6.087934,-9.414533,0.036061126285793686,0.020322
static,05/17/2023 16:29:16.031180,-6.113174,-9.436545,0.033490084263853595,0.010114
static,05/17/2023 16:29:16.050912,-6.137374,-9.458049,0.03237378593862679,0.019732
static,05/17/2023 16:29:16.071264,-6.159378,-9.478357,0.029943127425170468,0.020352
static,05/17/2023 16:29:16.081073,-6.17997,-9.498327,0.028685037284269754,0.009809
static,05/17/2023 16:29:16.100822,-6.199367,-9.516033,0.026263016677449732,0.019749
static,05/17/2023 16:29:16.111516,-6.217789,-9.533841,0.025622157364281865,0.010694
static,05/17/2023 16:29:16.140975,-6.235344,-9.55207,0.025307597001691343,0.029459
static,05/17/2023 16:29:16.161186,-6.252497,-9.568682,0.023878524933504446,0.020211
