Unnamed: 0,Time,Frame,EyeTrackingEnabled,EyeCalibrationValid,EyeTrackingEnabledAndValid,EyeTrackingDataValid,GazeInputSource,EyeGazeOrigin.x,EyeGazeOrigin.y,EyeGazeOrigin.z,EyeGazeDirection.x,EyeGazeDirection.y,EyeGazeDirection.z,EyeHitInfo.distance,EyeHitPosition.x,EyeHitPosition.y,EyeHitPosition.z,EyeHitNormal.x,EyeHitNormal.y,EyeHitNormal.z,LocalEyeHitPosition.x,LocalEyeHitPosition.y,LocalEyeHitPosition.z,HeadGazeOrigin.x,HeadGazeOrigin.y,HeadGazeOrigin.z,HeadRotation.x,HeadRotation.y,HeadRotation.z,HeadRotation.w,HeadEulerAngles.x,HeadEulerAngles.y,HeadEulerAngles.z,HeadMovementDirection.x,HeadMovementDirection.y,HeadMovementDirection.z,HeadVelocity.x,HeadVelocity.y,HeadVelocity.z,transform.position.x,transform.position.y,transform.position.z,localTransform.position.x,localTransform.position.y,localTransform.position.z,localXAxis.x,localXAxis.y,localXAxis.z,localYAxis.x,localYAxis.y,localYAxis.z,localZAxis.x,localZAxis.y,localZAxis.z,Movement,GazeAngleX,GazeAngleY,TargetAngleX,TargetAngleY,CalibratedGazeAngleX,CalibratedGazeAngleY,euclideanError,recalibratedEuclideanError,cosineError
300,05/18/2023 12:16:54.758358,481,True,True,True,True,Eyes,1.696428,0.09302253,-1.935284,0.5305284,-0.4887218,-0.6925969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2174933,-1.168959,-2.511492,1.929396,0.09946345,-1.997223,0.04617154,0.9199283,-0.1962276,0.3362961,23.08431,139.2398,357.0694,0.6383671,0.03735763,-0.7688247,0.0,0.0,0.0,2.546602,-1.046865,-3.568462,0.5796003,-0.4008001,1.915,-0.7695464,-0.0470321,-0.6368567,0.2169301,0.9187259,-0.329976,0.6006162,-0.3920852,-0.6967995,static,-37.45207,35.2082,16.83914,-11.82109,-39.75797674151673,38.29422489415786,71.82819502930725,75.59615341003452,113.78461880170889
301,05/18/2023 12:16:54.788323,482,True,True,True,True,Eyes,1.70664,0.09307562,-1.938334,0.5224298,-0.492072,-0.6963708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2394983,-1.166155,-2.521016,1.937642,0.09965049,-2.002101,0.04468723,0.9211888,-0.1956973,0.3333422,22.97569,139.6043,357.0029,0.6404259,0.03723526,-0.7671166,0.0,0.0,0.0,2.546462,-1.044253,-3.578372,0.5796003,-0.4007998,1.915001,-0.7737722,-0.0481376,-0.6316324,0.2127991,0.9194112,-0.3307561,0.5966518,-0.3903406,-0.7011713,static,-36.87789,35.24593,16.83913,-11.82107,-39.172625843546165,38.34255175835986,71.42003029039122,75.19112807102194,114.10963017036596
302,05/18/2023 12:16:54.798390,483,True,True,True,True,Eyes,1.717111,0.09305432,-1.941652,0.5143806,-0.4951661,-0.7001593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2626655,-1.160417,-2.53167,1.946096,0.09920885,-2.006932,0.04219488,0.9224646,-0.1951545,0.3304444,22.8259,139.9409,356.82,0.6424431,0.0371145,-0.7654338,0.0,0.0,0.0,2.548178,-1.04216,-3.587622,0.5796003,-0.4007998,1.915001,-0.7780524,-0.05112885,-0.6261156,0.206822,0.9202687,-0.3321601,0.5931775,-0.3879323,-0.7054427,static,-36.30332,35.26868,16.83913,-11.82108,-38.58697167235303,38.37643918072085,71.00398220424049,74.77863116220337,114.43860284998583
303,05/18/2023 12:16:54.808248,484,True,True,True,True,Eyes,1.727164,0.09301957,-1.944829,0.5066413,-0.4981069,-0.7037074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3081813,-1.159652,-2.547338,1.962849,0.09736866,-2.016543,0.03881503,0.9245606,-0.1958849,0.3245153,22.79325,140.6243,356.5573,0.6444218,0.03699192,-0.7637746,0.0,0.0,0.0,2.547359,-1.045438,-3.602778,0.5795999,-0.4008,1.915,-0.7863662,-0.05536157,-0.6152746,0.1989089,0.9202451,-0.3370227,0.5848615,-0.387407,-0.7126378,static,-35.75239,35.2921,16.83913,-11.82109,-38.02540345193842,38.41048128258827,70.60821940742098,74.38634138345975,114.75053876744772
304,05/18/2023 12:16:54.818592,485,True,True,True,True,Eyes,1.737146,0.09294458,-1.948083,0.4990241,-0.5009117,-0.7071509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3045518,-1.160365,-2.54731,1.962856,0.09701339,-2.016375,0.03883977,0.9242948,-0.1960662,0.3251596,22.81173,140.5379,356.5353,0.6463584,0.03686775,-0.7621424,0.0,0.0,0.0,2.549599,-1.046504,-3.601274,0.5796006,-0.4007998,1.915001,-0.7855257,-0.05570684,-0.616317,0.1993044,0.920099,-0.3371877,0.5858564,-0.3877043,-0.7116588,static,-35.20995,35.31192,16.83914,-11.82108,-37.47250952830882,38.44087482494525,70.21842677551314,74.00013092765907,115.05655317310482
305,05/18/2023 12:16:54.848424,486,True,True,True,True,Eyes,1.747049,0.09282501,-1.951421,0.4915073,-0.5037087,-0.7104211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3200151,-1.16979,-2.55144,1.970985,0.09597604,-2.021551,0.03871081,0.9246629,-0.1977326,0.3231128,22.99732,140.7651,356.5003,0.6482527,0.03674068,-0.7605379,0.0,0.0,0.0,2.549212,-1.053017,-3.605619,0.5796005,-0.4007998,1.915001,-0.7881993,-0.05619102,-0.6128497,0.1993688,0.9188065,-0.3406561,0.5822321,-0.390688,-0.7129999,static,-34.67756,35.33772,16.83913,-11.82107,-36.92981939471781,38.47682686158626,69.8421135334563,73.62729349711623,115.35131206663519
306,05/18/2023 12:16:54.868063,487,True,True,True,True,Eyes,1.756853,0.09267847,-1.954875,0.4840289,-0.5064001,-0.713635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3376344,-1.179089,-2.555339,1.979048,0.09480827,-2.026914,0.03823061,0.9251075,-0.1995761,0.3207555,23.19015,141.0214,356.4264,0.6501045,0.03660938,-0.7589619,0.0,0.0,0.0,2.548007,-1.060197,-3.609966,0.5796003,-0.4007999,1.915001,-0.7913089,-0.05729539,-0.6087265,0.1987651,0.9174156,-0.3447332,0.5782068,-0.393784,-0.7145709,static,-34.14741,35.35976,16.83913,-11.82108,-36.38943554866782,38.50910597129712,69.46696282605998,73.255769808761,115.64405964240322
307,05/18/2023 12:16:54.888134,488,True,True,True,True,Eyes,1.766576,0.09244163,-1.958405,0.4764923,-0.5089905,-0.7168568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3565356,-1.186877,-2.559997,1.987335,0.0940938,-2.032491,0.03758176,0.9256799,-0.2010851,0.318228,23.34084,141.3028,356.3529,0.6519122,0.03647334,-0.7574164,0.0,0.0,0.0,2.54687,-1.065736,-3.615375,0.5795999,-0.4008,1.915001,-0.7946374,-0.05840446,-0.6042688,0.1975592,0.9163048,-0.3483618,0.5740403,-0.3962,-0.7165917,static,-33.61185,35.37593,16.83912,-11.82108,-35.84357557785175,38.53583620531509,69.0858750171191,72.87856628020153,115.94031993112108
308,05/18/2023 12:16:54.888134,489,True,True,True,True,Eyes,1.776222,0.09215348,-1.962012,0.4690387,-0.5115571,-0.7199389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375104,-1.191784,-2.565397,1.995236,0.09177576,-2.037872,0.03730314,0.9263481,-0.2021539,0.3156291,23.45806,141.6102,356.3438,0.6536762,0.03632971,-0.7559013,0.0,0.0,0.0,2.544827,-1.071376,-3.621801,0.5796,-0.4007999,1.915001,-0.7979736,-0.05849992,-0.5998467,0.1967227,0.9154846,-0.3509819,0.5696828,-0.3980777,-0.7190243,static,-33.08416,35.39594,16.83912,-11.82108,-35.305711335154115,38.56610632284244,68.71521566319063,72.51173684655824,116.22773841643372
309,05/18/2023 12:16:54.908434,490,True,True,True,True,Eyes,1.785779,0.09182389,-1.965706,0.4616783,-0.5140734,-0.7228981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3919449,-1.20096,-2.568871,2.003035,0.09021135,-2.043217,0.03755764,0.9268096,-0.2037044,0.3132378,23.64817,141.8919,356.3699,0.6553968,0.03617743,-0.7544173,0.0,0.0,0.0,2.54235,-1.077955,-3.626989,0.5796002,-0.4007999,1.915001,-0.800943,-0.05799824,-0.5959249,0.1972334,0.914188,-0.3540614,0.5653223,-0.4011193,-0.7207733,static,-32.5643,35.41771,16.83913,-11.82108,-34.77581513223593,38.59791108711131,68.35350888161486,72.15384413353134,116.50741911822371
